dataTime,so2Value,coValue,o3Value,no2Value,pm10Value,pm25Value
2022042114,0.003,0.3,0.047,0.023,25,18
2022042115,0.003,0.3,0.044000000000000004,0.022000000000000002,22,18
2022042116,0.003,0.3,0.047,0.017,22,18
2022042117,0.003,0.3,0.040999999999999995,0.021,16,15
2022042124,0.003,0.4,0.007,0.032,30,24
2022042201,0.003,0.4,0.015,0.027,40,28
2022042202,0.003,0.3,0.036,0.014,33,27
2022042203,0.003,0.3,0.037,0.011,25,19
2022042204,0.003,0.3,0.034,0.012,25,22
2022042205,0.003,0.4,0.024,0.015,28,22
2022042206,0.003,0.4,0.030,0.014,26,21
2022042207,0.003,0.4,0.025,0.022,28,
2022042208,0.003,0.4,0.022,0.027,30,26
2022042209,0.004,0.3,0.036,0.022,35,29
2022042210,0.004,0.3,0.052,0.016,33,17
2022042211,0.003,0.3,0.054,0.017,34,15
2022042212,0.003,0.3,0.053,0.018,30,18
2022042213,0.003,0.3,0.059,0.012,37,22
