dataTime,so2Value,coValue,o3Value,no2Value,pm10Value,pm25Value
2022042114,0.003,0.2,0.057,0.013,24,16.0
2022042115,0.003,0.3,0.05,0.013999999999999999,12,8.0
2022042116,0.003,0.3,0.041,0.02,7,
2022042117,0.002,0.2,0.051,0.011000000000000001,22,14.0
2022042124,0.002,0.3,0.028,0.016,34,30
2022042201,0.002,0.3,0.017,0.020,33,24
2022042202,0.002,0.3,0.025,0.014,39,26
2022042203,0.002,0.3,0.029,0.012,31,26
2022042204,0.002,0.3,0.030,0.012,32,21
2022042205,0.003,0.3,0.028,0.011,25,22
2022042206,0.002,0.3,0.024,0.013,33,29
2022042207,0.002,0.3,0.017,0.020,38,28
2022042208,0.003,0.3,0.018,0.021,42,31
2022042209,0.003,0.3,0.027,0.021,35,27
2022042210,0.003,0.3,0.042,0.018,40,25
2022042211,0.004,0.3,0.043,0.020,41,19
2022042212,0.004,0.3,0.045,0.020,51,15
2022042213,0.004,0.2,0.052,0.017,36,19
