dataTime,so2Value,coValue,o3Value,no2Value,pm10Value,pm25Value
2022042114,0.002,0.3,0.052000000000000005,0.014,36,19
2022042115,0.002,0.3,0.048,0.012,25,17
2022042116,0.002,0.3,0.053,0.008,26,14
2022042117,0.002,0.3,0.05,0.009000000000000001,19,11
2022042124,0.002,0.4,0.021,0.017,29,20
2022042201,0.002,0.3,0.035,0.010,35,27
2022042202,0.002,0.3,0.044,0.008,33,18
2022042203,0.002,0.3,0.046,0.006,25,14
2022042204,0.002,0.4,0.044,0.006,23,17
2022042205,0.003,0.4,0.041,0.006,25,16
2022042206,0.003,0.4,0.040,0.007,34,23
2022042207,0.002,0.3,0.039,0.009,35,21
2022042208,0.002,0.3,0.044,0.010,26,19
2022042209,0.003,0.3,0.046,0.011,34,14
2022042210,0.002,0.3,0.053,0.010,34,18
2022042211,0.002,0.3,0.050,0.009,35,9
2022042212,0.002,0.3,0.057,0.007,27,13
2022042213,0.002,0.3,0.063,0.006,23,17
