dataTime,so2Value,coValue,o3Value,no2Value,pm10Value,pm25Value
2022042114,,,0.054000000000000006,0.013,26,14
2022042115,,,0.036000000000000004,0.026000000000000002,20,14
2022042116,,,0.033,0.03,22,17
2022042117,,,0.027000000000000003,0.036000000000000004,20,17
2022042124,,,0.026,0.010,13,7
2022042201,,,0.012,0.016,17,7
2022042202,,,0.010,0.017,15,8
2022042203,,,0.019,0.011,13,11
2022042204,,,0.025,0.008,15,12
2022042205,,,0.023,0.010,14,13
2022042206,,,0.021,0.014,17,15
2022042207,,,0.017,0.020,21,17
2022042208,,,0.014,0.030,27,18
2022042209,,,0.025,0.027,35,26
2022042210,,,0.060,0.010,29,22
2022042211,,,0.061,0.014,31,16
2022042212,,,0.071,0.009,34,21
2022042213,,,0.072,0.008,32,21
