dataTime,so2Value,coValue,o3Value,no2Value,pm10Value,pm25Value
2022042114,0.002,0.2,0.058,0.016,24,17
2022042115,0.002,0.3,0.040999999999999995,0.028999999999999998,22,14
2022042116,0.002,0.3,0.043,0.026,28,19
2022042117,0.002,0.2,0.043,0.023,25,20
2022042124,0.002,0.2,0.035,0.017,19,10
2022042201,0.002,0.2,0.033,0.019,27,25
2022042202,0.002,0.3,0.037,0.016,28,22
2022042203,0.002,0.2,0.044,0.009,26,19
2022042204,0.002,0.2,0.042,0.010,25,23
2022042205,0.002,0.3,0.044,0.009,28,20
2022042206,0.002,0.5,0.042,0.014,30,21
2022042207,0.002,0.3,0.039,0.018,24,22
2022042208,0.003,0.2,0.045,0.016,24,17
2022042209,0.003,0.2,0.051,0.013,24,13
2022042210,0.003,0.2,0.051,0.013,21,13
2022042211,0.002,0.2,0.059,0.008,26,15
2022042212,0.002,0.2,0.062,0.006,24,10
2022042213,0.002,0.2,0.065,0.006,24,11
