dataTime,so2Value,coValue,o3Value,no2Value,pm10Value,pm25Value
2022042114,0.002,0.3,0.056,0.019,29,17
2022042115,0.002,0.3,0.052000000000000005,0.021,21,16
2022042116,0.002,0.3,0.051,0.02,26,16
2022042117,0.002,0.3,0.053,0.015,32,20
2022042124,0.002,0.3,0.037,0.013,19,14
2022042201,0.002,0.4,0.027,0.018,20,10
2022042202,0.002,0.4,0.017,0.030,25,17
2022042203,0.002,0.4,0.055,0.007,39,23
2022042204,0.003,0.4,0.047,0.012,19,11
2022042205,0.003,0.4,0.044,0.012,25,18
2022042206,0.002,0.4,0.023,0.025,24,19
2022042207,0.002,0.5,0.008,0.041,35,21
2022042208,0.003,0.5,0.014,0.044,44,29
2022042209,0.003,0.4,0.058,0.015,55,25
2022042210,0.003,0.3,0.055,0.016,28,11
2022042211,0.004,0.4,0.039,0.029,25,13
2022042212,0.004,0.3,0.045,0.026,43,19
2022042213,0.003,0.3,0.055,0.019,48,19
