dataTime,so2Value,coValue,o3Value,no2Value,pm10Value,pm25Value
2022042114,0.002,0.3,0.046,0.019,29,8
2022042115,0.002,0.3,0.046,0.013000000000000001,15,9
2022042116,0.002,0.3,0.047,0.019,22,10
2022042117,0.002,0.3,0.04,0.023,20,8
2022042124,0.002,0.3,0.008,0.041,33,17
2022042201,0.002,0.3,0.006,0.040,32,18
2022042202,0.002,0.3,0.021,0.023,29,14
2022042203,0.002,0.3,0.028,0.020,29,17
2022042204,0.002,0.3,0.028,0.019,20,17
2022042205,0.002,0.3,0.030,0.021,18,11
2022042206,0.002,0.3,0.040,0.016,22,13
2022042207,0.003,0.3,0.033,0.023,22,13
2022042208,0.003,0.3,0.027,0.029,18,11
2022042209,0.004,0.3,0.037,0.023,23,12
2022042210,0.003,0.3,0.039,0.018,24,12
2022042211,0.003,0.3,0.054,0.012,23,15
2022042212,0.003,0.3,0.055,0.015,22,12
2022042213,0.003,0.2,0.067,0.007,27,11
