dataTime,so2Value,coValue,o3Value,no2Value,pm10Value,pm25Value
2022042114,0.002,0.3,0.045,0.022,47,16
2022042115,0.003,0.3,0.032,0.033,47,23
2022042116,0.002,0.3,0.029,0.034,41,21
2022042117,0.003,0.3,0.033,0.025,43,28
2022042124,0.002,0.3,0.011,0.023,29,15
2022042201,0.002,0.3,0.009,0.026,26,20
2022042202,0.002,0.3,0.004,0.030,33,27
2022042203,0.002,0.3,0.004,0.025,39,26
2022042204,0.002,0.3,0.003,0.023,24,
2022042205,0.002,0.3,0.003,0.021,34,29
2022042206,0.002,0.3,0.003,0.022,28,17
2022042207,0.002,0.3,0.003,0.022,40,27
2022042208,0.003,0.4,0.004,0.024,47,37
2022042209,0.004,0.4,0.006,0.025,51,40
2022042210,0.004,0.3,0.036,0.018,70,40
2022042211,0.003,0.3,0.048,0.012,53,23
2022042212,0.004,0.3,0.053,0.011,55,17
2022042213,0.004,0.3,0.058,0.008,54,23
