dataTime,so2Value,coValue,o3Value,no2Value,pm10Value,pm25Value
2022042114,0.002,0.4,0.041,0.023,23,20.0
2022042115,0.002,0.4,0.036000000000000004,0.023,16,
2022042116,0.002,0.3,0.045,0.017,19,11.0
2022042117,0.002,0.3,0.042,0.016,21,14.0
2022042124,0.002,0.3,0.009,0.017,23,17
2022042201,0.002,0.3,0.010,0.015,12,
2022042202,0.002,0.3,0.007,0.017,18,18
2022042203,0.002,0.3,0.008,0.016,19,
2022042204,0.002,0.3,0.013,0.015,19,
2022042205,0.002,0.4,0.011,0.018,23,22
2022042206,0.002,0.5,0.005,0.025,28,21
2022042207,0.002,0.5,0.003,0.025,33,20
2022042208,0.002,0.6,0.005,0.033,32,20
2022042209,0.002,0.4,0.040,0.020,36,24
2022042210,0.003,0.4,0.045,0.022,29,19
2022042211,0.006,0.4,0.051,0.023,31,16
2022042212,0.004,0.3,0.059,0.020,36,14
2022042213,0.002,0.3,0.060,0.017,41,16
