dataTime,so2Value,coValue,o3Value,no2Value,pm10Value,pm25Value
2022040817,0.003,0.4,0.063,0.019,43,14
2022040818,0.003,0.4,0.058,0.018,48,15
2022040819,0.003,0.4,0.049,0.028,33,11
2022040820,0.003,0.4,0.047,0.029,39,16
2022040821,0.003,0.4,0.041,0.033,38,16
2022040822,0.003,0.4,0.043,0.029,46,16
2022040823,0.003,0.4,0.049,0.023,41,20
2022040824,0.003,0.4,0.055,0.016,45,16
2022040901,0.003,0.4,0.054,0.016,45,13
2022040902,0.003,0.4,0.049,0.017,49,14
2022040903,0.003,0.4,0.032,0.024,48,17
2022040904,0.003,0.4,0.022,0.030,48,20
2022040905,0.003,0.4,0.026,0.032,42,26
2022040906,0.004,0.5,0.029,0.035,49,23
2022040907,0.004,0.5,0.021,0.042,45,24
2022040908,0.004,0.4,0.028,0.039,59,35
2022040909,0.004,0.5,0.027,0.043,50,30
2022040910,0.004,0.4,0.043,0.028,62,31
2022040911,0.004,0.4,0.046,0.022,53,24
2022040912,0.003,0.3,0.049,0.019,38,15
2022040913,0.003,0.3,0.059,0.015,28,10
2022040914,0.003,0.3,0.058,0.017,33,11
2022040915,0.003,0.3,0.061,0.014,34,14
2022040916,0.003,0.3,0.058,0.014,26,10
2022040917,0.003,0.3,0.055,0.015,31,9
2022040918,0.003,0.3,0.049,0.019,27,10
2022040919,0.003,0.4,0.042,0.025,28,8
2022040920,0.003,0.4,0.042,0.024,29,9
2022040921,0.003,0.3,0.049,0.017,27,14
2022040922,0.003,0.3,0.051,0.015,28,10
2022040923,0.003,0.3,0.052,0.014,28,9
2022040924,0.003,0.3,0.052,0.012,29,13
2022041001,0.003,0.3,0.052,0.012,27,13
2022041002,0.003,0.3,0.054,0.009,25,11
2022041003,0.003,0.3,0.055,0.008,25,8
2022041004,0.003,0.3,0.055,0.007,21,6
2022041005,0.003,0.3,0.052,0.010,18,8
2022041006,0.003,0.3,0.046,0.016,24,9
2022041007,0.003,0.3,0.044,0.018,22,14
2022041008,0.003,0.3,0.048,0.015,27,9
2022041009,0.003,0.3,0.049,0.015,28,12
2022041010,0.003,0.3,0.055,0.010,30,10
2022041011,0.004,0.3,0.058,0.008,20,12
2022041012,0.004,0.3,0.060,0.008,26,9
2022041013,0.004,0.3,0.061,0.008,25,15
2022041014,0.004,0.3,0.059,0.010,28,14
2022041015,0.004,0.3,0.060,0.009,33,21
2022041016,0.003,0.3,0.060,0.008,32,10
2022041017,0.003,0.3,0.058,0.008,29,17
2022041018,0.003,0.3,0.056,0.008,32,16
2022041019,0.003,0.3,0.054,0.009,28,16
2022041020,0.003,0.4,0.051,0.012,28,18
2022041021,0.003,0.4,0.049,0.013,34,19
2022041022,0.003,0.4,0.038,0.021,32,20
2022041023,0.003,0.4,0.042,0.017,36,19
2022041024,0.003,0.3,0.044,0.013,38,25
2022041101,0.003,0.4,0.042,0.015,38,28
2022041102,0.004,0.4,0.037,0.017,39,25
2022041103,0.004,0.4,0.036,0.015,39,29
2022041104,0.004,0.4,0.036,0.016,39,25
2022041105,0.003,0.4,0.025,0.025,36,24
2022041106,0.004,0.4,0.011,0.041,39,24
2022041107,0.004,0.5,0.006,0.049,39,24
2022041108,0.004,0.6,0.006,0.059,46,25
2022041109,0.004,0.6,0.007,0.058,56,32
2022041110,0.005,0.4,0.022,0.032,74,35
2022041111,0.005,0.4,0.028,0.027,43,24
2022041112,0.004,0.3,0.034,0.018,38,23
2022041113,0.004,0.3,0.038,0.016,34,15
2022041114,0.004,0.3,0.034,0.022,36,19
2022041115,0.003,0.3,0.033,0.021,31,15
2022041116,0.003,0.3,0.024,0.031,24,14
2022041117,0.004,0.4,0.021,0.034,31,22
2022041118,0.004,0.4,0.019,0.036,37,18
