dataTime,so2Value,coValue,o3Value,no2Value,pm10Value,pm25Value
2022042101,0.004,0.4,0.056,0.028,44,22
2022042102,0.004,0.4,0.061,0.022,43,17
2022042103,0.004,0.4,0.065,0.018,34,13
2022042104,0.004,0.4,0.061,0.021,27,17
2022042105,0.004,0.4,0.033,0.039,29,15
2022042106,0.003,0.4,0.011,0.058,55,30
2022042107,0.004,0.5,0.004,0.074,47,25
2022042108,0.004,0.5,0.005,0.075,45,27
2022042109,0.004,0.5,0.009,0.075,56,27
2022042110,0.004,0.4,0.033,0.051,57,27
2022042111,0.003,0.4,0.050,0.033,45,22
2022042112,0.003,0.4,0.059,0.025,38,19
2022042113,0.003,0.4,0.052,0.031,31,18
2022042114,,,,,,
2022042115,,,,,,
2022042116,0.002,0.4,0.039,0.035,27,16
2022042117,0.002,0.4,0.035,0.036,29,24
2022042118,0.002,0.4,0.037,0.035,30,15
2022042119,0.002,0.4,0.033,0.036,20,16
2022042120,0.002,0.4,0.027,0.036,24,19
2022042121,0.002,0.5,0.010,0.048,35,28
2022042122,0.003,0.4,0.007,0.047,48,34
2022042123,0.003,0.5,0.003,0.046,38,29
2022042124,0.002,0.4,0.007,0.040,43,30
2022042201,0.002,0.4,0.012,0.033,41,32
2022042202,0.002,0.4,0.019,0.024,44,26
2022042203,0.002,0.4,0.017,0.025,29,26
2022042204,0.002,0.4,0.012,0.026,34,27
2022042205,0.002,0.4,0.005,0.028,33,30
2022042206,0.002,0.4,0.003,0.034,42,36
2022042207,0.002,0.5,0.003,0.041,38,38
2022042208,0.002,0.5,0.005,0.041,44,37
2022042209,0.002,0.5,0.010,0.045,47,36
2022042210,0.003,0.4,0.037,0.034,53,41
2022042211,0.003,0.4,0.054,0.022,60,47
2022042212,0.003,0.4,0.061,0.021,31,17
2022042213,0.003,0.4,0.072,0.013,35,18
2022042214,0.003,0.4,0.072,0.017,40,17
2022042215,0.003,0.3,0.075,0.013,40,18
2022042216,0.003,0.3,0.075,0.013,52,17
