dataTime,so2Value,coValue,o3Value,no2Value,pm10Value,pm25Value
2022040817,0.003,0.3,0.053,0.018,38,13
2022040818,0.003,0.3,0.049,0.015,35,14
2022040819,0.003,0.3,0.053,0.014,36,14
2022040820,0.003,0.4,0.047,0.019,37,14
2022040821,0.003,0.4,0.052,0.014,41,18
2022040822,0.004,0.4,0.051,0.014,37,18
2022040823,0.004,0.3,0.050,0.016,38,19
2022040824,0.004,0.3,0.056,0.010,37,17
2022040901,0.004,0.3,0.054,0.011,40,14
2022040902,0.003,0.3,0.056,0.009,51,22
2022040903,0.003,0.3,0.054,0.009,39,14
2022040904,0.004,0.4,0.052,0.010,34,16
2022040905,0.004,0.4,0.051,0.010,47,18
2022040906,0.005,0.4,0.042,0.015,36,17
2022040907,0.004,0.4,0.039,0.016,36,15
2022040908,0.003,0.3,0.048,0.011,32,18
2022040909,0.003,0.3,0.050,0.012,26,10
2022040910,0.004,0.3,0.042,0.020,32,7
2022040911,0.003,0.3,0.047,0.022,47,13
2022040912,0.003,0.3,0.055,0.018,40,17
2022040913,0.003,0.3,0.061,0.012,49,21
2022040914,0.003,0.3,0.059,0.011,42,15
2022040915,0.003,0.3,0.056,0.013,38,14
2022040916,0.003,0.3,0.054,0.011,39,15
2022040917,0.003,0.3,0.052,0.011,30,13
2022040918,0.003,0.3,0.051,0.010,28,12
2022040919,0.003,0.3,0.049,0.011,27,9
2022040920,0.003,0.3,0.046,0.013,28,15
2022040921,0.003,0.4,0.044,0.015,25,13
2022040922,0.003,0.3,0.047,0.012,31,13
2022040923,0.003,0.3,0.048,0.011,27,11
2022040924,0.003,0.3,0.050,0.009,22,11
2022041001,0.003,0.3,0.050,0.008,24,12
2022041002,0.003,0.3,0.051,0.007,22,11
2022041003,0.003,0.3,0.050,0.008,18,11
2022041004,0.003,0.3,0.052,0.006,23,11
2022041005,0.003,0.3,0.052,0.006,21,12
2022041006,0.003,0.3,0.050,0.008,19,9
2022041007,0.003,0.3,0.048,0.009,21,7
2022041008,0.003,0.3,0.049,0.007,21,11
2022041009,0.003,0.3,0.049,0.007,22,11
2022041010,0.003,0.3,0.052,0.006,21,13
2022041011,0.003,0.3,0.054,0.006,18,10
2022041012,0.003,0.3,0.056,0.006,19,11
2022041013,0.003,0.3,0.052,0.011,19,11
2022041014,0.004,0.3,0.050,0.012,25,15
2022041015,0.004,0.3,0.050,0.013,25,20
2022041016,0.004,0.3,0.048,0.014,29,18
2022041017,0.004,0.3,0.048,0.011,35,24
2022041018,0.005,0.3,0.046,0.012,28,22
2022041019,0.004,0.3,0.048,0.010,34,30
2022041020,0.004,0.3,0.049,0.008,31,24
2022041021,0.004,0.3,0.046,0.011,30,25
2022041022,0.003,0.3,0.045,0.010,32,22
2022041023,0.003,0.3,0.043,0.011,30,26
2022041024,0.003,0.3,0.043,0.011,34,21
2022041101,0.003,0.3,0.043,0.010,33,20
2022041102,0.004,0.3,0.040,0.011,37,22
2022041103,0.004,0.3,0.045,0.008,33,19
2022041104,0.004,0.3,0.027,0.021,35,16
2022041105,0.004,0.3,0.014,0.031,29,22
2022041106,0.004,0.4,0.003,0.046,35,27
2022041107,0.005,0.5,0.004,0.045,44,33
2022041108,0.005,0.4,0.008,0.045,37,28
2022041109,0.006,0.4,0.013,0.039,54,30
2022041110,0.006,0.3,0.021,0.030,45,24
2022041111,0.006,0.3,0.022,0.032,45,27
2022041112,0.005,0.3,0.036,0.019,44,29
2022041113,0.005,0.3,0.037,0.019,39,19
2022041114,0.005,0.3,0.028,0.027,33,21
2022041115,0.004,0.3,0.034,0.017,38,23
2022041116,0.004,0.3,0.035,0.016,22,20
2022041117,0.004,0.3,0.034,0.016,26,19
2022041118,0.004,0.3,0.038,0.012,28,20
2022041119,0.004,0.3,0.033,0.015,27,21
2022041120,0.003,0.3,0.026,0.021,31,27
2022041121,0.003,0.3,0.020,0.025,30,19
2022041122,0.003,0.3,0.011,0.033,32,18
2022041123,0.004,0.3,0.024,0.019,31,25
2022041124,0.004,0.3,0.027,0.015,21,17
2022041201,0.003,0.3,0.033,0.009,16,11
2022041202,0.003,0.3,0.033,0.007,11,8
2022041203,0.003,0.2,0.032,0.007,13,6
2022041204,0.003,0.3,0.018,0.018,10,9
2022041205,0.003,0.3,0.008,0.029,8,
2022041206,0.003,0.3,0.007,0.029,16,12
2022041207,0.004,0.3,0.004,0.032,27,13
2022041208,0.004,0.3,0.006,0.032,26,19
2022041209,0.004,0.3,0.010,0.028,26,16
2022041210,0.004,0.3,0.015,0.025,21,18
2022041211,0.004,0.3,0.021,0.022,26,20
2022041212,,,,,16,12
2022041213,,,,,24,18
2022041214,0.003,0.3,0.025,0.018,21,10
2022041215,0.003,0.3,0.025,0.020,22,15
2022041216,0.003,0.3,0.027,0.018,25,18
2022041217,0.003,0.3,0.029,0.017,27,15
2022041218,0.002,0.3,0.028,0.017,23,17
2022041219,0.002,0.3,0.028,0.015,19,12
2022041220,0.002,0.3,0.024,0.017,10,10
2022041221,0.002,0.3,0.012,0.029,16,15
2022041222,0.002,0.3,0.014,0.025,19,14
2022041223,0.002,0.3,0.023,0.015,11,
2022041224,0.002,0.3,0.031,0.010,15,11
2022041301,0.002,0.3,0.028,0.011,21,16
2022041302,0.002,0.3,0.036,0.013,21,17
2022041303,0.002,0.3,0.045,0.006,37,25
2022041304,0.002,0.3,0.039,0.013,36,21
2022041305,0.002,0.3,0.037,0.013,39,22
