dataTime,so2Value,coValue,o3Value,no2Value,pm10Value,pm25Value
2022042101,0.003,0.3,0.067,0.016,36,21
2022042102,0.003,0.3,0.067,0.011,37,16
2022042103,0.005,0.3,0.064,0.009,29,12
2022042104,0.004,0.3,0.036,0.014,27,17
2022042105,0.003,0.3,0.037,0.020,33,16
2022042106,0.004,0.3,0.034,0.022,30,15
2022042107,0.004,0.3,0.027,0.028,31,18
2022042108,0.004,0.4,0.034,0.031,35,19
2022042109,0.004,0.4,0.025,0.036,32,16
2022042110,0.004,0.4,0.022,0.042,44,23
2022042111,0.003,0.4,0.036,0.043,47,22
2022042112,0.003,0.3,0.052,0.031,44,29
2022042113,0.003,0.3,0.052,0.024,36,24
2022042114,0.002,0.3,0.058,0.019,26,21
2022042115,0.002,0.3,0.044,0.019,19,16
2022042116,0.002,0.3,0.046,0.021,25,18
2022042117,0.002,0.4,0.043,0.021,23,18
2022042118,0.002,0.3,0.046,0.020,27,25
2022042119,0.002,0.4,0.041,0.019,21,20
2022042120,0.002,0.4,0.032,0.021,24,22
2022042121,0.002,0.4,0.033,0.020,21,
2022042122,0.002,0.4,0.033,0.018,29,23
2022042123,0.002,0.4,0.035,0.017,35,31
2022042124,0.003,0.4,0.027,0.017,23,
2022042201,0.002,0.3,0.026,0.020,26,
2022042202,0.002,0.3,0.037,0.015,32,27
2022042203,0.002,0.3,0.040,0.012,30,24
2022042204,0.003,0.3,0.037,0.012,27,24
2022042205,0.002,0.3,0.039,0.011,29,27
2022042206,0.003,0.3,0.036,0.011,27,23
2022042207,0.003,0.3,0.040,0.012,27,
2022042208,0.003,0.3,0.045,0.012,24,21
2022042209,0.003,0.3,0.049,0.013,24,16
2022042210,0.003,0.4,0.044,0.014,24,16
2022042211,0.003,0.3,0.041,0.023,26,20
2022042212,0.003,0.3,0.047,0.024,36,23
2022042213,0.003,0.3,0.052,0.021,36,16
2022042214,0.003,0.3,0.054,0.021,29,20
2022042215,0.003,0.3,0.062,0.018,40,19
2022042216,0.003,0.3,0.064,0.012,44,17
