dataTime,so2Value,coValue,o3Value,no2Value,pm10Value,pm25Value
2022040817,,,0.054,0.012,46,10
2022040818,,,0.052,0.010,47,11
2022040819,,,0.051,0.010,36,10
2022040820,,,0.043,0.017,45,10
2022040821,,,0.044,0.014,43,10
2022040822,,,0.051,0.011,45,14
2022040823,,,0.056,0.008,41,14
2022040824,,,0.058,0.006,41,10
2022040901,,,0.056,0.006,41,11
2022040902,,,0.050,0.008,46,12
2022040903,,,0.045,0.010,42,13
2022040904,,,0.036,0.013,43,16
2022040905,,,0.028,0.017,43,11
2022040906,,,0.029,0.019,43,16
2022040907,,,0.019,0.029,47,19
2022040908,,,0.019,0.029,40,17
2022040909,,,0.044,0.011,44,18
2022040910,,,0.041,0.015,38,9
2022040911,,,0.044,0.013,41,11
2022040912,,,0.051,0.011,35,11
2022040913,,,0.059,0.008,42,11
2022040914,,,0.057,0.009,47,10
2022040915,,,0.056,0.008,43,10
2022040916,,,0.054,0.008,41,16
2022040917,,,0.050,0.008,37,10
2022040918,,,0.049,0.008,37,8
2022040919,,,0.046,0.010,31,9
2022040920,,,0.041,0.012,37,14
2022040921,,,0.046,0.008,26,9
2022040922,,,0.047,0.007,25,6
2022040923,,,0.051,0.005,25,10
2022040924,,,0.051,0.005,23,6
2022041001,,,0.052,0.004,27,8
2022041002,,,0.047,0.007,24,7
2022041003,,,0.052,0.004,25,6
2022041004,,,0.050,0.004,22,5
2022041005,,,0.052,0.004,13,5
2022041006,,,0.053,0.003,21,7
2022041007,,,0.051,0.004,27,8
2022041008,,,0.051,0.003,27,7
2022041009,,,0.051,0.004,22,8
2022041010,,,0.050,0.005,28,9
2022041011,,,0.052,0.004,19,8
2022041012,,,0.054,0.005,25,6
2022041013,,,0.055,0.005,28,10
2022041014,,,0.054,0.006,24,9
2022041015,,,0.054,0.006,33,16
2022041016,,,0.052,0.006,36,11
2022041017,,,0.051,0.004,33,14
2022041018,,,0.049,0.005,31,15
2022041019,,,0.046,0.007,37,18
2022041020,,,0.043,0.010,37,20
2022041021,,,0.042,0.010,38,21
2022041022,,,0.043,0.009,36,16
2022041023,,,0.041,0.009,38,17
2022041024,,,0.046,0.006,33,18
2022041101,,,0.044,0.007,34,18
2022041102,,,0.038,0.010,31,14
2022041103,,,0.038,0.009,36,16
2022041104,,,0.033,0.010,37,15
2022041105,,,0.024,0.016,38,18
2022041106,,,0.021,0.020,40,17
2022041107,,,0.017,0.025,38,22
2022041108,,,0.016,0.026,43,21
2022041109,,,0.022,0.022,41,22
2022041110,,,0.024,0.020,45,22
2022041111,,,0.031,0.015,41,18
2022041112,,,0.034,0.013,41,15
2022041113,,,0.027,0.020,36,15
2022041114,,,0.035,0.014,47,16
2022041115,,,0.028,0.018,43,19
2022041116,,,0.035,0.010,35,15
2022041117,,,0.029,0.014,29,12
2022041118,,,0.031,0.012,30,15
2022041119,,,0.032,0.012,24,13
2022041120,,,0.028,0.015,31,21
2022041121,,,0.024,0.016,32,15
2022041122,,,0.012,0.025,31,21
2022041123,,,0.013,0.022,35,19
2022041124,,,0.009,0.027,32,15
2022041201,,,0.018,0.017,35,12
2022041202,,,0.031,0.005,18,8
2022041203,,,0.028,0.007,9,5
2022041204,,,0.026,0.008,10,4
2022041205,,,0.023,0.009,13,5
2022041206,,,0.017,0.015,13,3
2022041207,,,0.013,0.019,12,4
2022041208,,,0.010,0.021,13,7
2022041209,,,0.013,0.020,19,9
2022041210,,,0.023,0.012,24,11
2022041211,,,0.028,0.012,25,11
2022041212,,,0.032,0.009,23,7
2022041213,,,0.036,0.008,19,6
2022041214,,,0.033,0.011,23,11
2022041215,,,0.036,0.010,22,8
2022041216,,,0.038,0.007,20,9
2022041217,,,0.036,0.008,27,8
2022041218,,,0.033,0.009,20,7
2022041219,,,0.029,0.010,19,11
2022041220,,,0.026,0.012,15,9
2022041221,,,0.018,0.017,17,7
2022041222,,,0.010,0.025,26,13
2022041223,,,0.010,0.024,22,8
2022041224,,,0.017,0.018,26,9
2022041301,,,0.037,0.007,24,17
2022041302,,,0.046,0.004,29,12
2022041303,,,0.047,0.003,43,18
2022041304,,,0.045,0.004,42,17
2022041305,,,0.045,0.004,37,20
2022041306,,,0.042,0.005,36,19
2022041307,,,0.037,0.007,34,14
2022041308,,,0.033,0.010,32,12
2022041309,,,0.029,0.013,31,13
2022041310,,,0.028,0.014,32,18
2022041311,,,0.028,0.012,30,13
2022041312,,,0.029,0.010,26,10
2022041313,,,0.033,0.009,21,7
2022041314,,,0.037,0.008,22,12
2022041315,,,0.037,0.008,24,10
2022041316,,,0.037,0.008,24,9
2022041317,,,0.037,0.007,26,7
2022041318,,,0.035,0.006,14,5
2022041319,,,0.033,0.007,11,6
2022041320,,,0.032,0.007,9,6
2022041321,,,0.034,0.007,12,5
2022041322,,,0.037,0.005,15,5
2022041323,,,0.037,0.006,17,6
2022041324,,,0.036,0.005,19,9
2022041401,,,0.036,0.005,27,10
2022041402,,,0.036,0.004,19,8
2022041403,,,0.034,0.004,20,8
2022041404,,,0.035,0.004,21,8
2022041405,,,0.035,0.004,20,10
2022041406,,,0.035,0.004,21,8
2022041407,,,0.035,0.006,22,6
2022041408,,,0.033,0.008,21,8
2022041409,,,0.031,0.008,18,5
2022041410,,,0.032,0.007,10,3
2022041411,,,0.032,0.007,7,2
2022041412,,,,,5,2
2022041413,,,,,10,5
2022041414,,,0.036,0.005,8,5
2022041415,,,0.036,0.005,7,2
2022041416,,,0.037,0.004,9,2
2022041417,,,0.037,0.005,10,2
2022041418,,,0.035,0.007,7,4
2022041419,,,0.036,0.007,7,4
2022041420,,,0.038,0.005,10,4
2022041421,,,0.039,0.005,11,3
2022041422,,,0.040,0.005,17,3
2022041423,,,0.042,0.004,23,5
2022041424,,,0.041,0.005,24,6
2022041501,,,0.040,0.004,22,5
2022041502,,,0.039,0.004,18,6
2022041503,,,0.039,0.004,17,7
2022041504,,,0.041,0.003,21,6
2022041505,,,0.042,0.003,17,6
2022041506,,,0.040,0.004,20,8
2022041507,,,0.038,0.005,20,6
2022041508,,,0.037,0.006,16,3
