dataTime,so2Value,coValue,o3Value,no2Value,pm10Value,pm25Value
2022042101,,,0.066,0.009,44,19
2022042102,,,0.070,0.006,46,16
2022042103,,,0.062,0.010,35,14
2022042104,,,0.057,0.013,42,12
2022042105,,,0.028,0.032,37,13
2022042106,,,0.044,0.017,36,16
2022042107,,,0.049,0.017,33,14
2022042108,,,0.046,0.022,30,17
2022042109,,,0.030,0.035,33,11
2022042110,,,0.035,0.030,47,13
2022042111,,,0.046,0.021,51,11
2022042112,,,0.050,0.017,44,15
2022042113,,,0.051,0.017,32,12
2022042114,,,0.052,0.016,30,15
2022042115,,,0.053,0.012,28,12
2022042116,,,0.049,0.013,31,13
2022042117,,,0.048,0.012,26,16
2022042118,,,0.046,0.013,24,11
2022042119,,,0.042,0.015,20,11
2022042120,,,0.033,0.020,22,17
2022042121,,,0.027,0.022,20,13
2022042122,,,0.028,0.019,32,17
2022042123,,,0.021,0.023,34,17
2022042124,,,0.016,0.025,28,16
2022042201,,,0.022,0.020,32,16
2022042202,,,0.035,0.012,32,19
2022042203,,,0.048,0.005,30,18
2022042204,,,0.041,0.008,24,14
2022042205,,,0.040,0.007,29,15
2022042206,,,0.036,0.010,28,21
2022042207,,,0.031,0.015,36,24
2022042208,,,0.032,0.018,34,17
2022042209,,,0.050,0.012,34,17
2022042210,,,0.052,0.012,35,13
2022042211,,,0.051,0.014,37,14
2022042212,,,0.051,0.015,35,16
2022042213,,,0.060,0.008,37,10
2022042214,,,0.062,0.009,38,10
2022042215,,,0.063,0.009,38,14
2022042216,,,0.066,0.008,43,10
