dataTime,so2Value,coValue,o3Value,no2Value,pm10Value,pm25Value
2022040817,0.003,0.3,0.065,0.005,45,10
2022040818,0.003,0.3,0.059,0.007,44,15
2022040819,0.003,0.3,0.055,0.007,33,15
2022040820,0.003,0.3,0.052,0.008,34,15
2022040821,0.003,0.3,0.046,0.010,31,13
2022040822,0.003,0.3,0.051,0.008,41,14
2022040823,0.003,0.3,0.055,0.007,34,18
2022040824,0.003,0.3,0.058,0.006,36,16
2022040901,0.003,0.3,0.058,0.005,40,14
2022040902,0.003,0.3,0.058,0.005,38,17
2022040903,0.002,0.3,0.050,0.005,34,17
2022040904,0.003,0.3,0.055,0.004,29,12
2022040905,0.003,0.3,0.055,0.004,33,18
2022040906,0.003,0.3,0.051,0.005,36,16
2022040907,0.004,0.3,0.050,0.005,30,14
2022040908,0.003,0.3,0.050,0.005,30,14
2022040909,0.003,0.3,0.049,0.005,36,11
2022040910,0.003,0.3,0.050,0.004,29,13
2022040911,0.003,0.2,0.052,0.004,25,10
2022040912,0.003,0.2,0.056,0.004,29,8
2022040913,0.003,0.2,0.061,0.004,33,8
2022040914,0.003,0.2,0.062,0.003,25,11
2022040915,0.003,0.2,0.065,0.004,36,9
2022040916,0.003,0.2,0.062,0.004,35,16
2022040917,0.003,0.2,0.060,0.004,31,7
2022040918,0.003,0.2,0.056,0.004,24,8
2022040919,0.003,0.2,0.052,0.005,26,11
2022040920,0.003,0.2,0.053,0.005,27,14
2022040921,0.002,0.2,0.055,0.004,20,12
2022040922,0.002,0.2,0.055,0.004,24,8
2022040923,0.002,0.2,0.057,0.003,19,8
2022040924,0.002,0.2,0.057,0.003,20,6
2022041001,0.002,0.2,0.057,0.003,21,9
2022041002,0.002,0.2,0.055,0.003,27,9
2022041003,0.002,0.2,0.055,0.003,29,8
2022041004,0.002,0.2,0.056,,20,7
2022041005,0.002,0.2,0.058,0.002,18,8
2022041006,0.002,0.2,0.057,0.003,20,11
2022041007,0.002,0.2,0.057,0.003,21,8
2022041008,0.003,0.2,0.057,0.003,18,14
2022041009,0.003,0.2,0.057,0.003,21,12
2022041010,0.003,0.2,0.057,0.003,20,13
2022041011,0.003,0.2,0.058,,18,11
2022041012,0.003,0.2,0.062,,23,9
