dataTime,so2Value,coValue,o3Value,no2Value,pm10Value,pm25Value
2022042101,0.002,0.3,0.063,0.005,39,21
2022042102,0.002,0.3,0.061,0.004,50,19
2022042103,0.002,0.3,0.058,0.005,38,17
2022042104,0.002,0.3,0.052,0.005,35,18
2022042105,0.002,0.3,0.043,0.008,27,18
2022042106,0.002,0.3,0.035,0.017,29,18
2022042107,0.002,0.3,0.021,0.025,36,24
2022042108,0.002,0.3,0.023,0.018,41,22
2022042109,0.002,0.4,0.026,0.025,28,28
2022042110,0.002,0.3,0.027,0.017,36,16
2022042111,0.002,0.3,0.032,0.017,35,14
2022042112,0.002,0.3,0.042,0.008,35,16
2022042113,0.002,0.3,0.044,0.009,27,15
2022042114,0.002,0.3,0.039,0.010,23,17
2022042115,0.002,0.3,0.043,0.007,20,
2022042116,0.002,0.3,0.040,0.009,16,
2022042117,0.002,0.3,0.036,0.011,18,14
2022042118,0.002,0.3,0.037,0.009,25,16
2022042119,0.002,0.3,0.037,0.009,15,
2022042120,0.001,0.3,0.032,0.009,11,
2022042121,0.001,0.3,0.023,0.014,11,
2022042122,0.001,0.3,0.023,0.010,20,
2022042123,0.002,0.3,0.019,0.010,25,22
2022042124,0.002,0.3,0.020,0.010,24,21
2022042201,0.002,0.3,0.024,0.011,28,24
2022042202,0.002,0.3,0.023,0.012,33,25
2022042203,0.002,0.3,0.032,0.007,32,25
2022042204,0.002,0.3,0.035,0.006,16,15
2022042205,0.002,0.3,0.032,0.007,26,17
2022042206,0.002,0.4,0.029,0.008,25,22
2022042207,0.003,0.4,0.030,0.009,30,27
2022042208,0.002,0.3,0.031,0.010,30,26
2022042209,0.002,0.3,0.037,0.008,33,20
2022042210,0.002,0.3,0.037,0.010,37,21
2022042211,0.002,0.3,0.049,0.006,54,17
2022042212,0.002,0.3,0.061,0.006,60,22
2022042213,0.002,0.3,0.052,0.008,78,19
2022042214,0.002,0.3,0.052,0.007,36,19
2022042215,0.002,0.3,0.053,0.007,37,17
2022042216,0.002,0.3,0.057,0.006,53,17
