dataTime,so2Value,coValue,o3Value,no2Value,pm10Value,pm25Value
2022040817,0.005,0.2,0.057,0.006,49,18
2022040818,0.005,0.2,0.052,0.005,40,13
2022040819,0.005,0.2,0.048,0.019,36,15
2022040820,0.005,0.2,0.043,0.029,39,20
2022040821,0.005,0.2,0.028,0.037,47,19
2022040822,0.005,0.2,0.048,0.019,41,21
2022040823,0.005,0.2,0.050,0.014,42,17
2022040824,0.005,0.2,0.033,0.024,42,20
2022040901,0.005,0.2,0.039,0.017,37,25
2022040902,0.005,0.2,0.045,0.017,40,15
2022040903,0.005,0.2,0.041,0.015,44,27
2022040904,0.005,0.2,0.026,0.025,42,21
2022040905,0.005,0.3,0.021,0.031,45,22
2022040906,0.005,0.2,0.017,0.038,40,18
2022040907,0.005,0.2,0.017,0.041,46,27
2022040908,0.006,0.2,0.017,0.040,47,27
2022040909,0.006,0.2,0.017,0.043,42,23
2022040910,0.006,0.2,0.036,0.026,46,26
2022040911,0.006,0.2,0.039,0.026,51,18
2022040912,0.006,0.2,0.050,0.013,36,20
2022040913,0.005,0.2,0.057,0.012,35,16
2022040914,0.005,0.1,0.061,0.010,45,13
2022040915,0.005,0.1,0.059,0.012,34,12
2022040916,0.005,0.1,0.052,0.016,30,11
2022040917,0.005,0.1,0.044,0.023,28,13
2022040918,0.005,0.2,0.040,0.026,29,16
2022040919,0.005,0.2,0.043,0.020,26,10
2022040920,0.005,0.1,0.056,0.009,29,14
2022040921,0.005,0.1,0.047,0.016,28,12
2022040922,0.005,0.2,0.047,0.014,23,13
2022040923,0.005,0.1,0.040,0.025,23,15
2022040924,0.005,0.1,0.033,0.030,27,13
2022041001,0.005,0.1,0.051,0.011,23,17
2022041002,0.005,0.1,0.044,0.013,17,9
2022041003,0.005,0.1,0.050,0.010,20,13
2022041004,0.005,0.1,0.023,0.033,20,13
2022041005,0.005,0.1,0.009,0.051,22,16
2022041006,0.005,0.1,0.007,0.053,23,12
2022041007,0.005,0.2,0.010,0.047,23,12
2022041008,0.005,0.2,0.030,0.023,29,23
2022041009,0.005,0.2,0.035,0.021,21,15
2022041010,0.005,0.1,0.048,0.012,26,14
2022041011,0.005,0.1,0.058,0.006,28,10
2022041012,0.006,0.1,0.052,0.012,26,10
2022041013,0.006,0.1,0.050,0.012,25,15
2022041014,0.006,0.2,0.054,0.011,27,14
2022041015,0.006,0.1,0.053,0.012,21,17
2022041016,0.006,0.2,0.058,0.008,24,14
2022041017,0.006,0.2,0.057,0.006,27,18
2022041018,0.006,0.2,0.055,0.005,29,18
2022041019,0.005,0.2,0.051,0.007,25,22
2022041020,0.006,0.2,0.042,0.015,26,20
2022041021,0.006,0.2,0.020,0.036,25,21
2022041022,0.006,0.2,0.017,0.043,27,25
2022041023,0.006,0.2,0.009,0.053,31,25
2022041024,0.006,0.2,0.016,0.040,37,27
2022041101,0.005,0.2,0.014,0.036,36,26
2022041102,0.006,0.2,0.006,0.048,38,28
2022041103,0.006,0.2,0.005,0.053,38,27
2022041104,0.006,0.2,0.005,0.051,36,29
2022041105,0.006,0.2,0.014,0.031,40,30
2022041106,0.005,0.2,0.011,0.028,33,27
2022041107,0.005,0.2,0.004,0.036,44,39
2022041108,0.006,0.2,0.008,0.038,42,36
2022041109,0.006,0.2,0.013,0.035,45,31
2022041110,0.007,0.2,0.021,0.024,47,36
2022041111,0.007,0.2,0.018,0.018,47,29
2022041112,0.008,0.2,0.024,0.007,36,24
2022041113,0.007,0.2,0.031,0.008,41,26
2022041114,0.006,0.2,0.033,0.007,38,21
2022041115,0.006,0.2,0.035,0.011,31,20
2022041116,,,,,30,25
2022041117,,,,,33,22
2022041118,0.005,0.2,0.033,0.007,34,27
2022041119,0.005,0.3,0.016,0.033,37,27
2022041120,0.004,0.3,0.031,0.008,45,31
2022041121,0.004,0.2,0.020,0.015,28,27
2022041122,0.003,0.2,0.008,0.030,34,30
2022041123,0.003,0.2,0.002,0.039,32,23
2022041124,0.004,0.2,0.002,0.044,35,27
2022041201,0.003,0.2,0.006,0.037,29,26
2022041202,0.003,0.1,0.015,0.026,24,20
2022041203,0.003,0.1,0.016,0.024,16,15
2022041204,0.003,0.1,0.024,0.013,6,
2022041205,0.003,0.2,0.016,0.020,8,
2022041206,0.003,0.2,0.003,0.034,17,15
2022041207,0.003,0.2,0.015,0.015,16,
2022041208,0.003,0.2,0.008,0.030,11,
2022041209,0.004,0.2,0.008,0.032,23,22
2022041210,0.004,0.2,0.015,0.019,21,
2022041211,0.005,0.2,0.022,0.007,15,15
2022041212,0.004,0.2,0.024,0.009,13,12
2022041213,0.004,0.2,0.025,0.010,13,11
2022041214,0.004,0.2,0.025,0.008,15,10
2022041215,0.004,0.2,0.030,0.004,16,13
2022041216,0.003,0.2,0.029,0.006,21,15
2022041217,0.004,0.2,0.030,0.004,19,15
2022041218,0.003,0.2,0.033,0.005,26,18
2022041219,0.003,0.2,0.025,0.016,22,19
2022041220,0.003,0.2,0.023,0.020,19,13
2022041221,0.003,0.1,0.020,0.019,27,18
2022041222,0.003,0.1,0.019,0.018,17,
2022041223,0.003,0.1,0.035,0.006,12,
2022041224,0.003,0.1,0.030,0.010,20,18
2022041301,0.003,0.1,0.022,0.017,16,12
2022041302,0.003,0.2,0.020,0.015,9,
2022041303,0.003,0.2,0.031,0.010,21,18
2022041304,0.003,0.2,0.037,0.006,36,27
2022041305,0.003,0.2,0.033,0.008,28,23
2022041306,0.003,0.2,0.033,0.011,31,27
