dataTime,so2Value,coValue,o3Value,no2Value,pm10Value,pm25Value
2022042101,0.005,0.2,0.025,0.023,45,27
2022042102,0.004,0.3,0.026,0.022,41,28
2022042103,0.004,0.3,0.009,0.035,34,30
2022042104,0.004,0.2,0.010,0.039,32,27
2022042105,0.003,0.2,0.040,0.019,35,25
2022042106,0.003,0.2,0.022,0.031,27,15
2022042107,0.003,0.2,0.032,0.023,27,27
2022042108,0.003,0.2,0.026,0.033,36,27
2022042109,0.003,0.2,0.020,0.038,31,25
2022042110,0.004,0.3,0.016,0.048,39,27
2022042111,0.005,0.3,0.012,0.056,65,42
2022042112,0.004,0.3,0.017,0.052,52,30
2022042113,0.004,0.2,0.010,0.062,47,26
2022042114,0.004,0.3,0.029,0.041,44,34
2022042115,0.003,0.4,0.042,0.026,40,37
2022042116,0.003,0.3,0.041,0.021,31,27
2022042117,0.003,0.2,0.044,0.021,27,25
2022042118,0.003,0.2,0.031,0.030,23,19
2022042119,0.004,0.2,0.019,0.040,25,22
2022042120,0.003,0.2,0.005,0.054,25,
2022042121,0.003,0.4,0.005,0.046,55,52
2022042122,0.003,0.3,0.005,0.039,48,41
2022042123,0.004,0.4,0.002,0.037,93,
2022042124,0.004,0.2,0.014,0.028,47,
2022042201,0.004,0.2,0.011,0.026,33,33
2022042202,0.004,0.2,0.021,0.017,26,23
2022042203,0.003,0.2,0.024,0.020,28,25
2022042204,0.003,0.2,0.026,0.019,28,28
2022042205,0.003,0.2,0.028,0.019,31,31
2022042206,0.003,0.2,0.021,0.024,33,30
2022042207,0.003,0.3,0.024,0.026,29,27
2022042208,0.004,0.2,0.030,0.021,34,30
2022042209,0.005,0.2,0.031,0.021,28,25
2022042210,0.005,0.2,0.040,0.019,21,
2022042211,0.005,0.3,0.035,0.007,21,18
2022042212,0.005,0.2,0.042,0.003,30,20
2022042213,0.006,0.2,0.047,0.002,26,20
2022042214,0.006,0.3,0.043,0.002,33,18
2022042215,0.006,0.2,0.059,0.005,42,24
2022042216,0.004,0.2,0.067,0.012,92,29
