dataTime,so2Value,coValue,o3Value,no2Value,pm10Value,pm25Value
2022040817,0.003,0.3,0.067,0.013999999999999999,42,15.0
2022040818,0.003,0.3,0.062,0.012,37,12.0
2022040819,0.002,0.3,0.06,0.015,35,9.0
2022040820,0.002,0.3,0.055999999999999994,0.018000000000000002,43,15.0
2022040821,0.003,0.3,0.055999999999999994,0.017,44,15.0
2022040822,0.002,0.3,0.053,0.018000000000000002,41,17.0
2022040823,0.002,0.3,0.051,0.02,38,15.0
2022040824,0.002,0.3,0.057,0.013000000000000001,40,15.0
2022040901,0.002,0.3,0.054000000000000006,0.015,34,15.0
2022040902,0.002,0.3,0.055999999999999994,0.013999999999999999,37,15.0
2022040903,0.002,0.4,0.045,0.019,38,17.0
2022040904,0.003,0.4,0.032,0.022000000000000002,45,19.0
2022040905,0.003,0.4,0.045,0.013000000000000001,42,23.0
2022040906,0.003,0.5,0.032,0.023,30,15.0
2022040907,0.003,0.4,0.03,0.025,29,18.0
2022040908,0.003,0.4,0.040999999999999995,0.024,32,14.0
2022040909,0.003,0.3,0.047,0.025,38,20.0
2022040910,0.003,0.3,0.051,0.021,37,17.0
2022040911,0.003,0.3,0.059000000000000004,0.015,33,13.0
2022040912,0.002,0.3,0.066,0.011000000000000001,36,12.0
2022040913,0.002,0.3,0.07200000000000001,0.009000000000000001,40,15.0
2022040914,0.002,0.3,0.07,0.008,47,15.0
2022040915,0.002,0.3,0.068,0.006999999999999999,48,15.0
2022040916,0.002,0.3,0.065,0.006999999999999999,39,13.0
2022040917,0.002,0.3,0.062,0.008,39,12.0
2022040918,0.002,0.3,0.059000000000000004,0.009000000000000001,34,12.0
2022040919,0.002,0.3,0.054000000000000006,0.013000000000000001,28,11.0
2022040920,0.002,0.3,0.040999999999999995,0.024,27,13.0
2022040921,0.002,0.3,0.049,0.017,28,13.0
2022040922,0.002,0.3,0.055,0.011000000000000001,29,11.0
2022040923,0.002,0.3,0.057999999999999996,0.009000000000000001,24,12.0
2022040924,0.002,0.3,0.054000000000000006,0.011000000000000001,26,9.0
2022041001,0.002,0.3,0.051,0.012,25,13.0
2022041002,0.002,0.3,0.051,0.012,22,9.0
2022041003,0.002,0.3,0.049,0.013999999999999999,18,8.0
2022041004,0.002,0.2,0.051,0.012,25,8.0
2022041005,0.002,0.3,0.046,0.015,21,7.0
2022041006,0.002,0.3,0.045,0.017,19,12.0
2022041007,0.002,0.4,0.051,0.011000000000000001,30,10.0
2022041008,0.002,0.3,0.053,0.01,27,11.0
2022041009,0.002,0.3,0.051,0.013000000000000001,28,13.0
2022041010,0.002,0.3,0.057,0.008,26,17.0
2022041011,0.003,0.3,0.057,0.009000000000000001,27,13.0
2022041012,0.003,0.3,0.061,0.006999999999999999,25,10.0
2022041013,0.003,0.3,0.064,0.006,25,12.0
2022041014,0.003,0.3,0.062,0.008,24,15.0
2022041015,0.003,0.3,0.062,0.008,26,13.0
2022041016,0.003,0.3,0.063,0.005,28,14.0
2022041017,0.003,0.3,0.061,0.005,34,20.0
2022041018,0.003,0.3,0.059000000000000004,0.005,28,19.0
2022041019,0.003,0.3,0.057,0.006999999999999999,32,18.0
2022041020,0.003,0.3,0.057,0.006999999999999999,32,24.0
2022041021,0.003,0.3,0.054000000000000006,0.009000000000000001,33,23.0
