dataTime,so2Value,coValue,o3Value,no2Value,pm10Value,pm25Value
2022042101,0.002,0.3,0.064,0.016,32,19.0
2022042102,0.003,0.3,0.066,0.013999999999999999,30,13.0
2022042103,0.002,0.3,0.071,0.006999999999999999,26,12.0
2022042104,0.003,0.3,0.07,0.01,23,16.0
2022042105,0.003,0.3,0.064,0.013999999999999999,24,14.0
2022042106,0.002,0.3,0.055999999999999994,0.02,26,14.0
2022042107,0.002,0.4,0.051,0.027000000000000003,28,15.0
2022042108,0.002,0.4,0.046,0.034,31,12.0
2022042109,0.002,0.4,0.048,0.033,37,14.0
2022042110,0.003,0.4,0.05,0.032,32,17.0
2022042111,0.002,0.4,0.053,0.027999999999999997,40,15.0
2022042112,0.002,0.3,0.061,0.02,41,25.0
2022042113,0.003,0.3,0.063,0.019,42,23.0
2022042114,0.002,0.3,0.057,0.022000000000000002,22,18.0
2022042115,0.002,0.3,0.049,0.027999999999999997,21,12.0
2022042116,0.002,0.3,0.045,0.028999999999999998,27,20.0
2022042117,0.002,0.4,0.047,0.026000000000000002,31,22.0
2022042118,0.002,0.4,0.051,0.022000000000000002,30,19.0
2022042119,0.002,0.3,0.046,0.022000000000000002,26,24.0
2022042120,0.002,0.3,0.038,0.023,27,20.0
2022042121,0.002,0.3,0.039,0.017,36,23.0
2022042122,0.002,0.3,0.037000000000000005,0.019,33,29.0
2022042123,0.002,0.4,0.035,0.017,24,23.0
2022042124,0.002,0.4,0.023,0.022000000000000002,18,13.0
2022042201,0.002,0.4,0.024,0.024,20,15.0
2022042202,0.002,0.4,0.033,0.017,34,25.0
2022042203,0.002,0.4,0.032,0.017,31,22.0
2022042204,0.002,0.4,0.032,0.016,31,25.0
2022042205,0.002,0.4,0.015,0.025,34,25.0
2022042206,0.002,0.4,0.01,0.031,37,30.0
2022042207,0.002,0.4,0.028999999999999998,0.026000000000000002,34,28.0
2022042208,0.002,0.5,0.023,0.035,34,29.0
2022042209,0.003,0.4,0.027999999999999997,0.034,43,31.0
2022042210,0.003,0.3,0.049,0.02,35,27.0
2022042211,0.004,0.4,0.057,0.021,21,15.0
2022042212,0.003,0.3,0.065,0.013000000000000001,28,15.0
2022042213,0.002,0.3,0.07,0.009000000000000001,44,24.0
2022042214,0.002,0.3,0.073,0.011000000000000001,36,15.0
2022042215,0.002,0.3,0.075,0.01,50,15.0
2022042216,0.002,0.3,0.076,0.011000000000000001,50,14.0
