dataTime,so2Value,coValue,o3Value,no2Value,pm10Value,pm25Value
2022040817,0.003,0.4,0.064,0.017,45,13
2022040818,0.003,0.3,0.059,0.015,51,14
2022040819,0.003,0.4,0.056,0.017,41,11
2022040820,0.003,0.4,0.060,0.013,39,12
2022040821,0.003,0.4,0.050,0.018,41,11
2022040822,0.003,0.3,0.063,0.010,40,15
2022040823,0.003,0.3,0.069,0.007,42,13
2022040824,0.003,0.3,0.068,0.007,44,12
2022040901,0.003,0.3,0.061,0.009,38,14
2022040902,0.004,0.4,0.064,0.008,41,14
2022040903,0.003,0.4,0.059,0.009,43,15
2022040904,0.003,0.4,0.042,0.019,37,16
2022040905,0.003,0.4,0.036,0.023,43,9
2022040906,0.004,0.5,0.040,0.020,36,13
2022040907,0.005,0.3,0.049,0.012,37,14
2022040908,0.003,0.3,0.059,0.007,32,14
2022040909,0.003,0.3,0.058,0.008,27,10
2022040910,0.003,0.3,0.056,0.009,34,9
2022040911,0.003,0.3,0.057,0.011,32,7
2022040912,0.003,0.4,0.061,0.013,38,16
2022040913,0.003,0.3,0.066,0.011,50,17
2022040914,0.003,0.4,0.065,0.012,47,14
2022040915,0.003,0.4,0.061,0.012,43,11
2022040916,0.003,0.3,0.062,0.007,41,17
2022040917,0.003,0.3,0.059,0.007,33,10
2022040918,0.003,0.3,0.058,0.008,27,10
2022040919,0.003,0.3,0.058,0.008,33,8
2022040920,0.003,0.3,0.047,0.016,31,7
2022040921,0.003,0.3,0.057,0.009,25,8
2022040922,0.003,0.3,0.058,0.007,25,6
2022040923,0.003,0.3,0.060,0.006,23,14
2022040924,0.003,0.3,0.060,0.005,20,11
2022041001,0.003,0.3,0.060,0.006,25,11
2022041002,0.003,0.3,0.059,0.005,23,10
2022041003,0.003,0.3,0.060,0.005,22,13
2022041004,0.003,0.3,0.059,0.004,26,10
2022041005,0.003,0.3,0.060,0.004,27,6
2022041006,0.003,0.3,0.059,0.005,23,8
2022041007,0.003,0.3,0.057,0.006,20,7
2022041008,0.003,0.3,0.057,0.006,24,8
2022041009,0.003,0.3,0.055,0.006,25,9
2022041010,0.003,0.3,0.057,0.006,25,16
2022041011,0.003,0.3,0.057,0.006,24,13
2022041012,0.003,0.3,0.061,,26,11
2022041013,0.003,0.3,0.063,0.005,27,11
2022041014,0.003,0.3,0.062,0.006,25,12
2022041015,0.003,0.3,0.062,0.007,25,17
2022041016,0.003,0.3,0.056,0.011,27,20
2022041017,0.003,0.5,0.054,0.013,39,18
2022041018,0.004,0.5,0.051,0.012,34,23
2022041019,0.003,0.3,0.055,0.007,40,24
2022041020,0.003,0.3,0.056,0.006,32,20
2022041021,0.003,0.3,0.057,0.006,27,19
2022041022,0.003,0.3,0.052,0.009,30,20
2022041023,0.003,0.3,0.053,0.008,29,17
2022041024,0.003,0.3,0.055,0.006,38,18
2022041101,0.004,0.3,0.053,0.007,34,23
2022041102,0.003,0.3,0.045,0.009,35,19
2022041103,0.003,0.3,0.047,0.008,35,20
2022041104,0.003,0.3,0.042,0.013,35,15
2022041105,0.003,0.3,0.030,0.020,32,14
2022041106,0.003,0.4,0.013,0.035,23,21
2022041107,0.003,0.4,0.008,0.039,34,18
2022041108,0.004,0.4,0.017,0.032,42,21
2022041109,0.005,0.3,0.036,0.016,43,17
2022041110,0.005,0.3,0.037,0.014,38,17
2022041111,0.005,0.3,0.038,0.013,41,21
2022041112,0.004,0.3,0.032,0.023,34,14
2022041113,0.004,0.3,0.038,0.018,45,18
2022041114,0.004,0.3,0.042,0.013,40,13
2022041115,0.003,0.3,0.042,0.012,36,19
2022041116,0.004,0.3,0.046,0.010,32,21
2022041117,0.004,0.3,0.042,0.012,25,17
2022041118,0.004,0.3,0.043,0.011,37,19
2022041119,0.004,0.3,0.042,0.011,34,20
2022041120,0.004,0.3,0.031,0.018,33,17
2022041121,0.003,0.4,0.014,0.020,33,18
2022041122,0.003,0.5,0.008,0.025,28,18
2022041123,0.003,0.4,0.028,0.015,31,14
2022041124,0.003,0.3,0.040,0.005,16,10
2022041201,0.003,0.3,0.041,0.004,9,6
2022041202,0.003,0.3,0.039,0.005,6,3
2022041203,0.003,0.3,0.037,0.005,5,5
2022041204,0.003,0.3,0.036,0.006,5,5
2022041205,0.003,0.3,0.033,0.007,7,3
2022041206,0.003,0.3,0.026,0.012,9,
2022041207,0.003,0.4,0.014,0.023,8,
2022041208,0.003,0.4,0.013,0.025,16,11
2022041209,0.004,0.4,0.021,0.020,20,9
2022041210,0.003,0.3,0.033,0.011,29,10
2022041211,0.003,0.3,0.035,0.013,17,6
2022041212,0.003,0.3,0.040,0.008,20,7
2022041213,0.003,0.3,0.041,0.009,17,8
2022041214,0.003,0.3,0.046,0.010,26,13
2022041215,0.003,0.3,0.040,0.014,26,12
2022041216,0.003,0.3,0.038,0.014,30,17
2022041217,0.003,0.3,0.037,0.015,25,16
2022041218,0.003,0.4,0.027,0.023,30,11
2022041219,0.003,0.3,0.034,0.013,27,16
2022041220,0.003,0.3,0.026,0.019,17,12
2022041221,0.003,0.3,0.024,0.021,19,13
2022041222,0.003,0.3,0.030,0.013,26,10
2022041223,0.003,0.3,0.035,0.009,11,10
2022041224,0.003,0.3,0.037,0.008,19,8
2022041301,0.003,0.3,0.030,0.013,22,8
2022041302,0.003,0.3,0.042,0.013,17,17
2022041303,0.003,0.3,0.047,0.010,40,19
2022041304,0.003,0.4,0.045,0.012,42,24
2022041305,0.003,0.3,0.047,0.009,44,21
2022041306,0.003,0.4,0.039,0.015,50,21
2022041307,0.004,0.4,0.036,0.017,42,18
2022041308,0.005,0.4,0.037,0.018,32,17
2022041309,0.004,0.4,0.032,0.019,41,24
2022041310,0.005,0.4,0.031,0.020,34,23
2022041311,0.003,0.4,0.031,0.018,33,21
