dataTime,so2Value,coValue,o3Value,no2Value,pm10Value,pm25Value
2022042101,0.003,0.3,0.086,0.005,43,20
2022042102,0.003,0.3,0.088,0.005,40,14
2022042103,0.003,0.3,0.086,0.007,34,15
2022042104,0.003,0.4,0.068,0.017,38,22
2022042105,0.004,0.4,0.052,0.026,38,13
2022042106,0.004,0.4,0.040,0.032,33,18
2022042107,0.004,0.4,0.034,0.039,41,17
2022042108,0.003,0.4,0.042,0.035,40,15
2022042109,0.004,0.4,0.055,0.027,37,17
2022042110,0.004,0.4,0.046,0.035,38,12
2022042111,0.003,0.4,0.057,0.025,49,19
2022042112,0.003,0.4,0.064,0.016,41,21
2022042113,0.003,0.3,0.068,0.013,30,16
2022042114,0.003,0.3,0.057,0.018,24,14
2022042115,0.003,0.4,0.041,0.031,24,13
2022042116,0.003,0.4,0.042,0.031,25,21
2022042117,0.003,0.4,0.037,0.034,33,21
2022042118,0.003,0.4,0.035,0.036,32,18
2022042119,0.003,0.4,0.030,0.036,34,14
2022042120,0.003,0.4,0.027,0.031,32,21
2022042121,0.003,0.4,0.031,0.024,33,20
2022042122,0.003,0.4,0.032,0.020,38,22
2022042123,0.003,0.4,0.030,0.017,44,27
2022042124,0.003,0.3,0.035,0.009,30,9
2022042201,0.003,0.3,0.051,0.007,20,10
2022042202,0.003,0.3,0.063,0.004,20,14
2022042203,0.003,0.3,0.062,0.004,13,10
2022042204,0.004,0.4,0.059,0.005,19,13
2022042205,0.004,0.4,0.060,0.005,19,17
2022042206,0.003,0.3,0.058,0.007,22,
2022042207,0.004,0.4,0.055,0.013,14,13
2022042208,0.004,0.3,0.062,0.014,22,12
2022042209,0.004,0.3,0.063,0.012,27,11
2022042210,0.004,0.3,0.062,0.010,19,16
2022042211,0.004,0.4,0.062,0.014,27,15
2022042212,0.004,0.4,0.063,0.015,35,14
2022042213,0.004,0.3,0.066,0.013,42,13
2022042214,0.003,0.3,0.069,0.013,41,16
2022042215,0.003,0.3,0.072,0.012,57,17
2022042216,0.003,0.3,0.075,0.011,61,17
