dataTime,so2Value,coValue,o3Value,no2Value,pm10Value,pm25Value
2022040817,0.002,0.4,0.052,0.019,44,12
2022040818,0.002,0.4,0.053,0.011,64,14
2022040819,0.002,0.4,0.048,0.017,47,15
2022040820,0.002,0.4,0.043,0.022,39,13
2022040821,0.002,0.4,0.045,0.018,36,12
2022040822,0.002,0.4,0.042,0.020,37,14
2022040823,0.002,0.4,0.046,0.018,36,14
2022040824,0.002,0.4,0.051,0.012,37,18
2022040901,0.002,0.4,0.052,0.011,40,16
2022040902,0.002,0.4,0.051,0.011,40,12
2022040903,0.002,0.4,0.049,0.010,41,14
2022040904,0.002,0.5,0.038,0.020,37,15
2022040905,0.002,0.5,0.038,0.017,53,29
2022040906,0.003,0.5,0.025,0.032,47,23
2022040907,0.003,0.5,0.025,0.030,45,20
2022040908,0.004,0.5,0.026,0.032,38,23
2022040909,0.002,0.4,0.039,0.024,53,16
2022040910,0.003,0.4,0.035,0.029,51,14
2022040911,0.002,0.4,0.045,0.022,77,15
2022040912,0.002,0.4,0.055,0.014,54,18
2022040913,0.002,0.4,0.058,0.013,50,15
2022040914,0.002,0.4,0.056,0.013,76,15
2022040915,0.002,0.4,0.058,0.010,58,17
2022040916,0.002,0.4,0.055,0.012,70,13
2022040917,0.002,0.4,0.052,0.010,37,17
2022040918,0.002,0.4,0.049,0.011,30,11
2022040919,0.002,0.4,0.046,0.013,32,13
2022040920,0.002,0.4,0.038,0.018,26,13
2022040921,0.002,0.4,0.032,0.024,27,12
2022040922,0.002,0.4,0.029,0.028,26,10
2022040923,0.002,0.4,0.030,0.028,32,13
2022040924,0.002,0.4,0.041,0.017,24,9
2022041001,0.002,0.4,0.038,0.019,27,7
2022041002,0.002,0.4,0.043,0.014,27,9
2022041003,0.002,0.4,0.042,0.015,18,7
2022041004,0.002,0.4,0.047,0.010,23,8
2022041005,0.002,0.4,0.039,0.018,18,10
2022041006,0.002,0.4,0.040,0.016,18,10
2022041007,0.002,0.4,0.036,0.020,20,9
2022041008,0.002,0.4,0.044,0.013,24,12
2022041009,0.002,0.4,0.046,0.011,22,9
2022041010,0.003,0.4,0.050,0.008,28,13
2022041011,0.002,0.4,0.052,0.007,31,17
2022041012,0.003,0.4,0.053,0.008,27,16
2022041013,0.002,0.4,0.054,0.009,22,16
2022041014,0.002,0.4,0.053,0.009,21,12
2022041015,0.002,0.4,0.054,0.008,28,13
2022041016,0.002,0.4,0.053,0.008,31,18
2022041017,0.003,0.4,0.052,0.005,30,20
2022041018,0.002,0.4,0.049,0.007,31,18
2022041019,0.002,0.4,0.046,0.011,35,19
2022041020,0.002,0.4,0.042,0.013,35,24
2022041021,0.002,0.4,0.041,0.014,32,25
2022041022,0.002,0.4,0.034,0.020,35,25
2022041023,0.003,0.4,0.028,0.024,38,21
2022041024,0.003,0.4,0.031,0.020,35,28
2022041101,0.003,0.4,0.033,0.017,34,24
2022041102,0.002,0.4,0.030,0.017,35,25
2022041103,0.003,0.4,0.022,0.025,39,23
2022041104,0.002,0.4,0.020,0.027,33,29
2022041105,0.002,0.4,0.020,0.025,32,25
2022041106,0.002,0.4,0.011,0.031,39,19
2022041107,0.002,0.5,0.009,0.035,43,22
2022041108,0.003,0.5,0.011,0.041,45,28
2022041109,0.003,0.4,0.018,0.033,47,28
2022041110,0.004,0.4,0.024,0.024,57,23
2022041111,0.003,0.4,0.027,0.022,83,28
2022041112,0.003,0.4,0.032,0.018,65,23
2022041113,0.003,0.4,0.028,0.024,36,16
2022041114,0.003,0.4,0.030,0.024,37,19
2022041115,0.003,0.4,0.026,0.024,67,23
2022041116,0.002,0.4,0.025,0.024,66,26
2022041117,0.003,0.4,0.023,0.027,111,31
2022041118,0.003,0.4,0.030,0.020,37,24
2022041119,0.002,0.4,0.027,0.021,33,19
2022041120,0.002,0.4,0.027,0.018,26,25
2022041121,0.002,0.4,0.023,0.020,28,19
2022041122,0.002,0.4,0.012,0.029,30,22
2022041123,0.003,0.5,0.004,0.039,38,20
2022041124,0.002,0.4,0.004,0.036,40,30
2022041201,0.002,0.4,0.008,0.031,28,23
2022041202,0.002,0.4,0.020,0.014,22,11
2022041203,0.002,0.4,0.022,0.014,9,7
2022041204,0.002,0.4,0.021,0.013,9,7
2022041205,0.002,0.4,0.005,0.033,9,8
2022041206,0.002,0.4,0.005,0.032,20,15
2022041207,0.002,0.4,0.005,0.032,18,17
2022041208,0.002,0.4,0.008,0.029,18,17
2022041209,0.003,0.4,0.014,0.025,35,19
2022041210,0.002,0.4,0.021,0.019,35,18
2022041211,0.002,0.4,0.026,0.018,31,11
2022041212,0.002,0.4,0.028,0.014,39,12
2022041213,0.002,0.4,0.030,0.014,26,16
2022041214,0.002,0.4,0.033,0.015,22,9
2022041215,0.002,0.4,0.034,0.014,40,13
2022041216,0.002,0.4,0.032,0.014,42,16
2022041217,0.002,0.4,0.031,0.014,37,13
2022041218,0.002,0.4,0.030,0.014,30,12
2022041219,0.002,0.4,0.025,0.016,21,10
2022041220,0.002,0.4,0.023,0.017,15,14
2022041221,0.002,0.4,0.017,0.022,15,14
2022041222,0.002,0.3,0.017,0.021,18,10
2022041223,0.002,0.4,0.011,0.026,14,14
2022041224,0.002,0.4,0.017,0.022,15,10
2022041301,0.002,0.4,0.034,0.010,18,15
2022041302,0.002,0.4,0.048,0.004,20,15
2022041303,0.002,0.4,0.049,0.004,27,19
2022041304,0.002,0.4,0.048,0.004,40,19
2022041305,0.002,0.4,0.047,0.005,34,23
2022041306,0.002,0.4,0.044,0.007,32,20
2022041307,0.002,0.4,0.038,0.011,36,18
2022041308,0.002,0.5,0.031,0.017,32,18
2022041309,0.003,0.5,0.026,0.021,26,15
2022041310,0.004,0.5,0.027,0.021,29,20
2022041311,0.003,0.5,0.029,0.016,32,20
2022041312,0.002,0.4,0.028,0.016,22,13
2022041313,0.002,0.4,0.034,0.013,18,10
2022041314,0.002,0.4,0.038,0.012,22,10
2022041315,0.002,0.4,0.039,0.012,21,9
2022041316,0.002,0.4,0.040,0.009,25,11
2022041317,0.002,0.4,0.039,0.009,18,13
2022041318,0.002,0.4,0.037,0.008,10,7
2022041319,0.002,0.4,0.035,0.007,8,2
2022041320,0.002,0.4,0.035,0.008,6,2
2022041321,0.002,0.4,0.036,0.008,6,
2022041322,0.002,0.4,0.039,0.007,17,8
2022041323,0.003,0.4,0.039,0.006,13,12
2022041324,0.002,0.4,0.038,0.006,16,13
2022041401,0.002,0.4,0.038,0.005,18,11
2022041402,0.002,0.4,0.037,0.005,16,10
2022041403,0.002,0.4,0.036,0.005,18,12
2022041404,0.002,0.4,0.037,0.005,17,13
2022041405,0.002,0.4,0.037,0.005,23,10
2022041406,0.002,0.4,0.037,0.006,18,13
2022041407,0.002,0.4,0.037,0.007,19,10
2022041408,0.002,0.4,0.036,0.009,16,7
2022041409,0.002,0.4,0.034,0.009,15,12
2022041410,0.002,0.4,0.034,0.008,10,9
2022041411,0.002,0.4,0.035,0.008,8,4
2022041412,0.002,0.4,0.034,0.008,5,2
2022041413,0.002,0.4,0.035,0.007,4,
2022041414,0.002,0.4,0.037,0.006,5,2
2022041415,0.002,0.4,0.037,0.006,8,2
2022041416,0.002,0.4,0.039,0.005,9,4
2022041417,0.002,0.4,0.038,0.006,8,3
2022041418,0.002,0.4,0.037,0.007,8,2
2022041419,0.002,0.4,0.037,0.008,10,3
2022041420,0.002,0.4,0.040,0.006,9,5
2022041421,0.002,0.4,0.040,0.006,11,9
2022041422,0.002,0.4,0.042,0.005,16,8
2022041423,0.002,0.4,0.043,0.005,19,9
2022041424,0.002,0.4,0.043,0.005,14,9
2022041501,0.002,0.4,0.042,0.004,18,9
2022041502,0.002,0.4,0.042,0.004,17,6
