dataTime,so2Value,coValue,o3Value,no2Value,pm10Value,pm25Value
2022042101,0.003,0.3,0.043,0.033,39,23
2022042102,0.003,0.3,0.057,0.017,35,24
2022042103,0.003,0.3,0.063,0.012,28,16
2022042104,0.004,0.3,0.049,0.024,27,17
2022042105,0.003,0.3,0.035,0.033,29,16
2022042106,0.003,0.3,0.042,0.024,39,19
2022042107,0.003,0.3,0.033,0.039,36,18
2022042108,0.004,0.3,0.022,0.055,38,18
2022042109,0.003,0.3,0.024,0.053,57,18
2022042110,0.003,0.3,0.029,0.046,59,19
2022042111,0.002,0.3,0.029,0.046,52,19
2022042112,0.002,0.3,0.035,0.039,45,23
2022042113,0.002,0.3,0.042,0.032,32,24
2022042114,0.002,0.3,0.033,0.041,28,25
2022042115,0.002,0.3,0.037,0.031,41,17
2022042116,0.002,0.3,0.040,0.028,31,21
2022042117,0.002,0.3,0.051,0.014,26,12
2022042118,0.002,0.3,0.048,0.016,21,14
2022042119,0.002,0.3,0.042,0.019,13,
2022042120,0.002,0.4,0.028,0.029,17,
2022042121,0.002,0.4,0.027,0.028,24,20
2022042122,0.002,0.3,0.029,0.023,32,23
2022042123,0.002,0.3,0.028,0.024,36,29
2022042124,0.002,0.3,0.019,0.035,27,19
2022042201,0.003,0.3,0.009,0.041,22,19
2022042202,0.002,0.3,0.027,0.021,31,28
2022042203,0.002,0.3,0.033,0.017,29,20
2022042204,0.002,0.4,0.035,0.014,22,15
2022042205,0.002,0.3,0.032,0.018,22,20
2022042206,0.002,0.3,0.029,0.020,23,20
2022042207,0.002,0.4,0.026,0.025,28,19
2022042208,0.003,0.4,0.026,0.029,29,23
2022042209,0.003,0.3,0.036,0.027,29,23
2022042210,0.003,0.3,0.044,0.024,45,19
2022042211,0.003,0.3,0.045,0.026,41,16
2022042212,0.002,0.3,0.053,0.019,41,20
2022042213,0.002,0.3,0.059,0.012,39,12
2022042214,0.002,0.3,0.063,0.011,33,13
2022042215,0.002,0.3,0.061,0.013,45,13
2022042216,0.002,0.3,0.062,0.016,64,17
