dataTime,so2Value,coValue,o3Value,no2Value,pm10Value,pm25Value
2022040817,0.003,0.3,0.063,0.008,42,16
2022040818,0.003,0.3,0.055,0.007,34,16
2022040819,0.003,0.3,0.051,0.011,27,9
2022040820,0.003,0.3,0.047,0.014,31,11
2022040821,0.003,0.3,0.044,0.016,35,14
2022040822,0.003,0.3,0.040,0.018,33,12
2022040823,0.003,0.3,0.036,0.018,35,14
2022040824,0.002,0.3,0.031,0.016,36,14
2022040901,0.003,0.3,0.033,0.012,35,17
2022040902,0.003,0.3,0.023,0.018,33,17
2022040903,0.002,0.3,0.009,0.032,31,17
2022040904,0.002,0.3,0.014,0.021,34,16
2022040905,0.003,0.3,0.009,0.025,31,16
2022040906,0.003,0.4,0.002,0.034,37,18
2022040907,0.003,0.4,0.004,0.037,37,18
2022040908,0.004,0.4,0.004,0.044,44,19
2022040909,0.004,0.4,0.012,0.036,65,33
2022040910,0.004,0.3,0.036,0.022,57,34
2022040911,0.003,0.3,0.046,0.014,38,21
2022040912,0.003,0.3,0.052,0.010,28,12
2022040913,0.003,0.3,0.059,0.007,36,15
2022040914,0.003,0.3,0.058,0.007,41,13
2022040915,0.002,0.3,0.058,0.005,37,9
2022040916,0.002,0.2,0.050,0.003,35,9
2022040917,0.002,0.2,0.051,0.005,25,7
2022040918,0.002,0.2,0.048,0.008,23,6
2022040919,0.003,0.3,0.043,0.013,27,12
2022040920,0.003,0.3,0.044,0.010,27,10
2022040921,0.003,0.3,0.042,0.012,23,11
2022040922,0.003,0.3,0.049,0.007,20,11
2022040923,0.002,0.3,0.045,0.008,21,6
2022040924,0.002,0.3,0.039,0.008,24,11
2022041001,0.002,0.3,0.039,0.010,21,10
2022041002,0.002,0.3,0.025,0.014,19,9
2022041003,0.002,0.3,0.024,0.012,17,10
2022041004,0.002,0.3,0.024,0.010,23,11
2022041005,0.003,0.3,0.026,0.010,17,9
2022041006,0.003,0.3,0.021,0.014,20,9
2022041007,0.003,0.3,0.009,0.032,19,9
2022041008,0.003,0.3,0.019,0.025,26,15
2022041009,0.003,0.3,0.034,0.015,23,12
2022041010,0.003,0.3,0.049,0.005,25,18
2022041011,0.003,0.2,0.053,0.003,22,12
2022041012,0.003,0.2,0.054,0.002,17,11
2022041013,0.003,0.3,0.055,0.002,22,10
2022041014,0.003,0.3,0.055,0.005,15,13
2022041015,0.003,0.3,0.053,0.006,23,11
2022041016,0.003,0.3,0.053,0.005,21,16
2022041017,0.003,0.3,0.050,0.005,28,17
2022041018,0.003,0.3,0.049,0.003,27,21
2022041019,0.003,0.3,0.047,0.005,22,19
2022041020,0.003,0.3,0.045,0.006,32,20
2022041021,0.003,0.3,0.040,0.009,32,21
2022041022,0.003,0.3,0.039,0.010,28,19
2022041023,0.003,0.3,0.037,0.011,32,22
2022041024,0.003,0.3,0.034,0.012,32,22
2022041101,0.003,0.3,0.033,0.011,39,25
2022041102,0.002,0.3,0.019,0.016,38,26
2022041103,0.002,0.3,0.011,0.019,31,20
2022041104,0.002,0.3,0.006,0.026,32,22
2022041105,0.003,0.3,0.004,0.028,27,19
2022041106,0.003,0.3,0.002,0.032,33,25
2022041107,0.003,0.4,0.002,0.034,35,28
2022041108,0.003,0.4,0.005,0.032,46,31
2022041109,0.003,0.3,0.011,0.028,46,30
2022041110,0.004,0.3,0.016,0.030,46,31
2022041111,0.004,0.3,0.032,0.013,41,20
2022041112,0.004,0.3,0.037,0.009,31,17
2022041113,0.003,0.2,0.040,0.005,32,19
2022041114,0.003,0.2,0.039,0.008,26,13
2022041115,0.003,0.3,0.034,0.012,31,11
2022041116,,,,,26,11
2022041117,0.004,0.3,0.036,0.011,28,18
2022041118,0.004,0.3,0.037,0.011,27,15
2022041119,0.003,0.3,0.036,0.012,29,21
2022041120,0.003,0.3,0.027,0.017,33,20
2022041121,0.003,0.3,0.025,0.015,34,19
2022041122,0.003,0.3,0.019,0.017,31,20
2022041123,0.003,0.3,0.006,0.025,30,20
2022041124,0.002,0.3,0.005,0.025,33,22
2022041201,0.002,0.3,0.002,0.023,29,22
2022041202,0.002,0.3,0.003,0.019,26,20
2022041203,0.002,0.3,0.003,0.015,25,14
2022041204,0.002,0.3,0.002,0.014,16,14
2022041205,0.002,0.3,0.002,0.016,19,12
2022041206,0.002,0.3,0.003,0.022,16,13
2022041207,0.002,0.3,0.003,0.021,25,21
2022041208,0.003,0.3,0.007,0.023,27,19
2022041209,0.003,0.3,0.019,0.014,23,18
2022041210,0.003,0.3,0.022,0.014,12,9
2022041211,0.003,0.2,0.029,0.010,12,7
2022041212,0.003,0.2,0.032,0.008,14,7
2022041213,0.003,0.2,0.035,0.008,14,8
2022041214,0.003,0.2,0.039,0.008,12,8
2022041215,0.003,0.2,0.040,0.008,18,8
2022041216,0.003,0.2,0.035,0.009,23,12
2022041217,0.003,0.2,0.035,0.010,18,13
2022041218,0.003,0.2,0.032,0.011,19,12
2022041219,0.003,0.2,0.029,0.011,12,11
2022041220,0.002,0.3,0.024,0.014,13,8
2022041221,0.002,0.3,0.022,0.016,14,10
2022041222,0.002,0.3,0.021,0.015,19,11
2022041223,0.002,0.3,0.022,0.013,17,12
2022041224,0.002,0.2,0.025,0.009,12,
2022041301,0.002,0.3,0.026,0.010,14,11
2022041302,0.002,0.3,0.033,0.008,15,15
2022041303,0.002,0.3,0.039,0.006,24,14
2022041304,0.002,0.3,0.040,0.007,34,17
2022041305,0.002,0.3,0.038,0.009,34,21
2022041306,0.002,0.3,0.031,0.017,31,21
2022041307,0.005,0.4,0.022,0.028,32,19
2022041308,0.004,0.4,0.019,0.028,31,25
2022041309,0.003,0.4,0.014,0.031,38,29
2022041310,0.003,0.3,0.021,0.023,27,20
2022041311,0.003,0.3,0.015,0.027,14,6
2022041312,0.002,0.3,0.018,0.022,11,
2022041313,0.002,0.3,0.022,0.019,22,11
2022041314,0.002,0.3,0.028,0.016,21,8
2022041315,0.002,0.3,0.031,0.015,20,4
2022041316,0.002,0.3,0.029,0.019,15,6
2022041317,0.002,0.3,0.030,0.016,25,6
2022041318,0.002,0.3,0.023,0.022,20,5
2022041319,0.002,0.3,0.021,0.021,17,12
2022041320,0.002,0.3,0.025,0.015,16,8
2022041321,0.002,0.3,0.027,0.012,11,8
2022041322,0.002,0.3,0.031,0.010,9,5
2022041323,0.002,0.3,0.033,0.008,6,2
2022041324,0.002,0.3,0.032,0.008,8,2
2022041401,0.002,0.3,0.033,0.007,9,2
2022041402,0.002,0.3,0.033,0.005,11,6
2022041403,0.002,0.3,0.032,0.006,7,6
2022041404,0.002,0.3,0.031,0.008,6,5
2022041405,0.002,0.3,0.029,0.011,15,6
2022041406,0.002,0.3,0.025,0.017,10,8
2022041407,0.002,0.3,0.022,0.020,11,10
2022041408,0.002,0.3,0.017,0.026,14,8
2022041409,0.002,0.3,0.017,0.026,15,8
2022041410,0.002,0.3,0.018,0.025,14,7
2022041411,0.002,0.3,0.016,0.028,18,6
2022041412,0.002,0.4,0.019,0.025,14,7
2022041413,0.002,0.4,0.024,0.020,15,9
2022041414,0.003,0.3,0.024,0.020,21,7
