dataTime,so2Value,coValue,o3Value,no2Value,pm10Value,pm25Value
2022042101,0.002,0.3,0.046,0.016,32,21
2022042102,0.003,0.3,0.040,0.023,27,20
2022042103,0.003,0.4,0.009,0.052,34,22
2022042104,0.003,0.4,0.012,0.047,37,21
2022042105,0.003,0.4,0.006,0.050,40,24
2022042106,0.003,0.4,0.003,0.059,40,26
2022042107,0.004,0.4,0.003,0.062,41,24
2022042108,0.004,0.4,0.004,0.060,47,31
2022042109,0.004,0.4,0.005,0.063,57,33
2022042110,0.003,0.4,0.015,0.053,57,28
2022042111,0.003,0.4,0.028,0.036,56,26
2022042112,0.003,0.3,0.040,0.025,41,21
2022042113,0.002,0.3,0.048,0.018,36,20
2022042114,0.002,0.3,0.049,0.018,29,19
2022042115,0.002,0.3,0.036,0.032,14,12
2022042116,0.002,0.3,0.033,0.030,17,
2022042117,0.002,0.3,0.034,0.032,25,21
2022042118,0.002,0.3,0.034,0.030,18,14
2022042119,0.002,0.3,0.033,0.026,18,
2022042120,0.002,0.3,0.025,0.021,20,16
2022042121,0.002,0.4,0.012,0.026,21,20
2022042122,0.002,0.4,0.006,0.029,29,20
2022042123,0.002,0.3,0.021,0.012,25,24
2022042124,0.002,0.3,0.013,0.017,18,14
2022042201,0.002,0.3,0.016,0.013,18,15
2022042202,0.002,0.3,0.011,0.012,22,17
2022042203,0.002,0.3,0.006,0.017,20,18
2022042204,0.002,0.4,0.002,0.021,10,
2022042205,0.002,0.4,0.005,0.018,17,16
2022042206,0.002,0.4,0.007,0.017,18,
2022042207,0.002,0.4,0.010,0.019,22,20
2022042208,0.002,0.4,0.008,0.024,27,25
2022042209,0.002,0.4,0.016,0.017,29,25
2022042210,0.003,0.4,0.023,0.025,31,28
2022042211,0.003,0.3,0.046,0.015,33,27
2022042212,0.003,0.3,0.056,0.010,25,17
2022042213,0.002,0.3,0.061,0.006,26,15
2022042214,0.002,0.3,0.064,0.006,27,14
2022042215,0.002,0.3,0.064,0.007,37,15
2022042216,0.002,0.3,0.068,0.006,34,12
