dataTime,so2Value,coValue,o3Value,no2Value,pm10Value,pm25Value
2022042101,0.003,0.4,0.033,0.034,41,24
2022042102,0.003,0.4,0.030,0.032,40,23
2022042103,0.002,0.4,0.024,0.035,39,22
2022042104,0.002,0.4,0.039,0.020,41,22
2022042105,0.002,0.4,0.040,0.019,37,22
2022042106,0.002,0.4,0.015,0.043,38,19
2022042107,0.003,0.5,0.005,0.058,42,23
2022042108,0.003,0.5,0.011,0.055,55,28
2022042109,0.003,0.4,0.016,0.054,54,28
2022042110,0.003,0.5,0.013,0.059,53,25
2022042111,0.003,0.4,0.037,0.040,58,27
2022042112,0.003,0.4,0.052,0.026,47,25
2022042113,0.003,0.4,0.063,0.018,34,24
2022042114,0.002,0.3,0.060,0.017,28,21
2022042115,0.002,0.3,0.052,0.025,23,16
2022042116,,,,,24,19
2022042117,,,,,30,15
2022042118,,,,,20,18
2022042119,0.002,0.4,0.051,0.019,21,18
2022042120,0.002,0.4,0.034,0.028,16,
2022042121,0.002,0.5,0.015,0.033,33,20
2022042122,0.002,0.4,0.010,0.033,37,26
2022042123,0.002,0.4,0.010,0.031,38,31
2022042124,0.002,0.4,0.017,0.025,36,28
2022042201,0.002,0.4,0.016,0.021,33,23
2022042202,0.002,0.4,0.009,0.025,34,27
2022042203,0.002,0.4,0.010,0.021,38,26
2022042204,0.002,0.4,0.012,0.019,42,32
2022042205,0.002,0.4,0.008,0.023,44,37
2022042206,0.002,0.4,0.005,0.026,45,34
2022042207,0.002,0.4,0.005,0.028,49,39
2022042208,0.002,0.4,0.006,0.033,34,
2022042209,0.002,0.5,0.007,0.036,44,40
2022042210,0.002,0.4,0.027,0.030,50,36
2022042211,0.003,0.4,0.054,0.020,43,27
2022042212,0.002,0.4,0.063,0.016,38,22
2022042213,0.002,0.4,0.070,0.014,48,17
2022042214,0.003,0.4,0.074,0.013,51,18
2022042215,0.003,0.4,0.072,0.015,59,19
2022042216,0.002,0.4,0.073,0.014,53,19
