dataTime,so2Value,coValue,o3Value,no2Value,pm10Value,pm25Value
2022042101,0.003,0.3,0.053,0.017,38,22
2022042102,0.003,0.3,0.039,0.027,35,18
2022042103,0.003,0.4,0.021,0.037,41,22
2022042104,0.003,0.3,0.016,0.037,52,35
2022042105,0.003,0.3,0.018,0.035,56,40
2022042106,0.003,0.3,0.017,0.036,52,34
2022042107,0.003,0.6,0.009,0.050,48,26
2022042108,0.003,0.5,0.005,0.061,48,32
2022042109,0.004,0.4,0.008,0.064,52,28
2022042110,0.004,0.3,0.029,0.041,54,32
2022042111,0.003,0.3,0.034,0.035,44,17
2022042112,0.003,0.3,0.043,0.027,39,13
2022042113,0.003,0.3,0.046,0.023,33,23
2022042114,0.003,0.3,0.042,0.027,30,18
2022042115,0.003,0.3,0.045,0.024,25,19
2022042116,0.003,0.4,0.034,0.031,27,20
2022042117,,,,,,
2022042118,,,,,,
2022042119,0.003,0.3,0.035,0.024,26,18
2022042120,0.003,0.3,0.026,0.028,29,19
2022042121,0.003,0.4,0.013,0.033,35,26
2022042122,0.003,0.4,0.009,0.032,42,38
2022042123,0.003,0.4,0.002,0.036,49,40
2022042124,0.002,0.3,0.006,0.029,42,30
2022042201,0.002,0.3,0.005,0.031,38,34
2022042202,0.002,0.3,0.004,0.031,42,30
2022042203,0.003,0.3,0.009,0.021,40,38
2022042204,0.003,0.3,0.007,0.021,38,34
2022042205,0.002,0.3,0.003,0.024,48,38
2022042206,0.002,0.3,0.002,0.026,31,
2022042207,0.002,0.3,0.003,0.027,39,37
2022042208,0.003,0.4,0.004,0.029,38,35
2022042209,0.003,0.4,0.008,0.030,48,39
2022042210,0.003,0.3,0.024,0.031,60,32
2022042211,0.003,0.3,0.045,0.016,45,28
2022042212,0.003,0.3,0.049,0.016,33,17
2022042213,0.004,0.3,0.047,0.018,27,16
2022042214,0.003,0.3,0.054,0.017,44,21
2022042215,0.003,0.3,0.056,0.015,52,19
2022042216,0.003,0.3,0.060,0.012,57,20
