dataTime,so2Value,coValue,o3Value,no2Value,pm10Value,pm25Value
2022040817,,,0.051,0.014,41,17
2022040818,,,0.052,0.009,47,14
2022040819,,,0.046,0.013,34,13
2022040820,,,0.041,0.017,37,17
2022040821,,,0.041,0.017,40,19
2022040822,,,0.045,0.013,41,15
2022040823,,,0.043,0.015,37,17
2022040824,,,0.044,0.012,38,16
2022040901,,,0.046,0.010,36,15
2022040902,,,0.043,0.010,38,16
2022040903,,,0.025,0.018,47,18
2022040904,,,0.024,0.017,45,21
2022040905,,,0.025,0.018,32,16
2022040906,,,0.009,0.034,37,18
2022040907,,,0.006,0.044,40,20
2022040908,,,0.015,0.036,42,19
2022040909,,,0.031,0.021,38,14
2022040910,,,0.037,0.017,28,12
2022040911,,,0.043,0.010,32,13
2022040912,,,0.044,0.010,30,9
2022040913,,,0.049,0.009,34,14
2022040914,,,0.049,0.007,37,13
2022040915,,,0.052,0.009,31,10
2022040916,,,0.049,0.008,40,11
2022040917,,,0.049,0.007,32,11
2022040918,,,0.047,0.007,26,13
2022040919,,,0.043,0.009,27,12
2022040920,,,0.041,0.011,24,13
2022040921,,,0.043,0.008,28,13
2022040922,,,0.044,0.008,22,11
2022040923,,,0.043,0.008,27,10
2022040924,,,0.042,0.009,25,12
2022041001,,,0.043,0.007,26,11
2022041002,,,0.041,0.008,25,9
2022041003,,,0.042,0.007,25,11
2022041004,,,0.042,0.006,19,10
2022041005,,,0.046,0.004,20,13
2022041006,,,0.043,0.006,19,7
2022041007,,,0.038,0.010,22,7
2022041008,,,0.038,0.011,20,10
2022041009,,,0.045,0.005,27,13
2022041010,,,0.046,0.006,20,9
2022041011,,,0.047,0.005,26,10
2022041012,,,0.050,0.004,21,9
2022041013,,,0.052,0.004,25,12
2022041014,,,0.052,0.005,26,16
2022041015,,,0.052,0.004,28,16
2022041016,,,0.049,0.007,27,16
2022041017,,,0.048,0.006,27,17
2022041018,,,0.045,0.007,34,19
2022041019,,,0.041,0.009,33,20
2022041020,,,0.042,0.007,30,22
2022041021,,,0.044,0.005,31,22
2022041022,,,0.041,0.007,31,24
2022041023,,,0.039,0.008,32,20
2022041024,,,0.041,0.007,35,25
2022041101,,,0.042,0.005,33,22
2022041102,,,0.040,0.006,34,17
2022041103,,,0.038,0.006,32,23
2022041104,,,0.035,0.007,33,18
2022041105,,,0.037,0.007,36,22
2022041106,,,0.011,0.029,36,23
2022041107,,,0.003,0.040,34,24
2022041108,,,0.005,0.040,39,25
2022041109,,,0.015,0.030,43,29
2022041110,,,0.022,0.022,36,24
2022041111,,,0.024,0.019,33,22
2022041112,,,0.032,0.013,39,17
2022041113,,,0.033,0.013,32,23
2022041114,,,0.034,0.011,34,19
2022041115,,,0.033,0.010,30,20
2022041116,,,0.028,0.014,30,19
2022041117,,,0.025,0.016,23,17
2022041118,,,0.023,0.018,27,15
2022041119,,,0.021,0.022,28,16
2022041120,,,0.021,0.022,33,19
2022041121,,,0.020,0.020,33,23
2022041122,,,0.013,0.024,35,22
2022041123,,,0.013,0.022,34,15
2022041124,,,0.022,0.013,23,16
2022041201,,,0.025,0.009,21,10
2022041202,,,0.024,0.008,10,6
2022041203,,,0.023,0.008,8,5
2022041204,,,0.023,0.007,11,8
2022041205,,,0.022,0.008,11,8
2022041206,,,0.021,0.010,8,7
2022041207,,,0.017,0.013,12,5
2022041208,,,0.014,0.019,15,6
2022041209,,,0.017,0.017,13,10
2022041210,,,0.027,0.009,13,8
2022041211,,,0.034,0.007,12,9
2022041212,,,0.033,0.010,14,6
2022041213,,,0.037,0.010,24,8
2022041214,,,0.038,0.010,19,12
2022041215,,,0.038,0.011,23,18
2022041216,,,0.036,0.011,27,13
2022041217,,,0.032,0.011,23,13
2022041218,,,0.030,0.012,20,12
2022041219,,,0.025,0.015,20,13
2022041220,,,0.022,0.016,15,12
2022041221,,,0.022,0.016,14,11
2022041222,,,0.023,0.012,22,13
2022041223,,,0.024,0.010,17,11
2022041224,,,0.025,0.009,15,14
2022041301,,,0.038,0.005,16,10
2022041302,,,0.043,0.003,28,18
2022041303,,,0.043,0.003,34,24
2022041304,,,0.042,0.003,37,21
2022041305,,,0.039,0.004,38,21
2022041306,,,0.036,0.006,37,18
2022041307,,,0.034,0.008,31,16
2022041308,,,0.029,0.012,27,18
2022041309,,,0.023,0.016,32,21
2022041310,,,0.025,0.014,31,23
2022041311,,,,,16,
2022041312,,,,,9,9
2022041313,,,0.028,0.008,14,6
2022041314,,,0.031,0.007,11,6
2022041315,,,0.031,0.010,11,7
2022041316,,,0.032,0.008,19,13
2022041317,,,0.032,0.007,20,9
2022041318,,,0.030,0.007,13,6
2022041319,,,0.029,0.008,14,4
2022041320,,,0.029,0.006,10,2
2022041321,,,0.030,0.006,7,2
2022041322,,,0.030,0.006,7,5
2022041323,,,0.032,0.005,6,4
2022041324,,,0.033,0.004,14,8
2022041401,,,0.033,0.004,12,9
2022041402,,,0.033,0.003,13,6
2022041403,,,0.032,0.003,16,4
2022041404,,,0.032,0.004,14,11
2022041405,,,0.032,0.004,15,12
2022041406,,,0.031,0.005,17,9
2022041407,,,0.028,0.009,15,6
2022041408,,,0.027,0.011,13,8
2022041409,,,0.025,0.012,10,9
2022041410,,,0.025,0.010,10,7
2022041411,,,0.025,0.011,11,4
2022041412,,,0.025,0.010,8,6
2022041413,,,0.027,0.009,7,3
2022041414,,,0.030,0.007,7,3
2022041415,,,0.030,0.007,11,2
2022041416,,,0.030,0.007,11,3
2022041417,,,0.030,0.008,7,6
2022041418,,,0.030,0.009,10,8
2022041419,,,0.030,0.009,13,8
2022041420,,,0.032,0.007,12,4
