dataTime,so2Value,coValue,o3Value,no2Value,pm10Value,pm25Value
2022042101,,,0.049,0.014,37,20
2022042102,,,0.043,0.016,45,22
2022042103,,,0.036,0.019,32,24
2022042104,,,0.030,0.022,40,23
2022042105,,,0.024,0.026,40,22
2022042106,,,0.016,0.035,42,24
2022042107,,,0.003,0.054,40,25
2022042108,,,0.002,0.063,41,25
2022042109,,,0.003,0.065,61,27
2022042110,,,0.029,0.037,66,27
2022042111,,,0.044,0.022,39,15
2022042112,,,0.047,0.018,36,19
2022042113,,,0.048,0.016,29,21
2022042114,,,0.049,0.013,29,20
2022042115,,,0.041,0.015,24,17
2022042116,,,0.037,0.018,18,13
2022042117,,,0.033,0.021,22,17
2022042118,,,0.029,0.023,23,14
2022042119,,,0.023,0.026,22,22
2022042120,,,0.017,0.029,20,
2022042121,,,0.016,0.027,25,25
2022042122,,,0.012,0.023,31,29
2022042123,,,0.007,0.026,30,22
2022042124,,,0.002,0.028,31,27
2022042201,,,0.012,0.024,33,25
2022042202,,,0.008,0.024,35,23
2022042203,,,0.021,0.016,37,36
2022042204,,,0.032,0.009,28,
2022042205,,,0.028,0.010,27,23
2022042206,,,0.023,0.014,29,26
2022042207,,,0.020,0.018,33,
2022042208,,,0.024,0.020,32,30
2022042209,,,0.029,0.020,33,27
2022042210,,,0.039,0.019,30,19
2022042211,,,0.053,0.011,36,18
2022042212,,,0.055,0.012,33,10
2022042213,,,0.053,0.012,36,17
2022042214,,,0.056,0.011,34,18
2022042215,,,0.056,0.012,41,16
2022042216,,,0.060,0.009,43,18
