dataTime,so2Value,coValue,o3Value,no2Value,pm10Value,pm25Value
2022040817,0.003,0.3,0.061,0.007,44,11
2022040818,0.003,0.3,0.057,0.007,37,15
2022040819,0.003,0.3,0.055,0.011,43,14
2022040820,0.002,0.4,0.052,0.013,40,14
2022040821,0.002,0.4,0.046,0.018,45,13
2022040822,0.002,0.3,0.044,0.018,39,22
2022040823,0.002,0.4,0.050,0.011,43,20
2022040824,0.002,0.4,0.047,0.013,46,18
2022040901,0.002,0.4,0.042,0.017,45,23
2022040902,0.002,0.4,0.034,0.015,48,19
2022040903,0.002,0.4,0.022,0.020,49,22
2022040904,0.002,0.4,0.014,0.026,43,19
2022040905,0.002,0.5,0.010,0.030,48,26
2022040906,0.002,0.4,0.029,0.021,54,26
2022040907,0.003,0.4,0.038,0.017,52,23
2022040908,0.003,0.4,0.013,0.032,47,24
2022040909,0.004,0.4,0.030,0.028,68,41
2022040910,0.003,0.3,0.047,0.015,54,19
2022040911,0.003,0.3,0.054,0.011,35,17
2022040912,0.003,0.4,0.064,0.007,39,14
2022040913,0.003,0.3,0.066,0.008,51,21
2022040914,0.003,0.3,0.064,0.006,48,20
2022040915,0.003,0.3,0.061,0.004,40,12
2022040916,0.003,0.3,0.058,0.005,39,11
2022040917,0.003,0.3,0.054,0.007,33,13
2022040918,0.003,0.3,0.052,0.008,31,12
2022040919,0.003,0.3,0.044,0.016,27,9
2022040920,0.003,0.3,0.042,0.017,29,11
2022040921,0.002,0.3,0.054,0.007,34,14
2022040922,0.002,0.3,0.053,0.007,31,12
2022040923,0.002,0.3,0.052,0.007,27,12
2022040924,0.002,0.3,0.048,0.008,24,16
2022041001,0.002,0.3,0.042,0.011,29,13
2022041002,0.002,0.3,0.043,0.011,35,13
2022041003,0.002,0.3,0.047,0.007,27,11
2022041004,0.002,0.3,0.044,0.009,26,14
2022041005,0.002,0.3,0.036,0.017,25,11
2022041006,0.002,0.3,0.041,0.014,23,11
2022041007,0.002,0.3,0.043,0.010,31,10
2022041008,0.002,0.3,0.047,0.007,27,17
2022041009,0.003,0.3,0.048,0.007,30,13
2022041010,0.003,0.3,0.053,0.004,27,13
2022041011,0.003,0.3,0.056,0.003,20,10
2022041012,0.003,0.3,0.057,0.004,27,11
2022041013,0.003,0.3,0.056,0.005,25,13
2022041014,0.003,0.3,0.054,0.007,27,13
2022041015,0.003,0.3,0.054,0.008,27,14
2022041016,0.003,0.3,0.056,0.006,27,15
2022041017,0.003,0.3,0.055,0.005,33,18
2022041018,0.003,0.3,0.053,0.004,32,17
2022041019,0.003,0.3,0.052,0.005,34,20
2022041020,0.003,0.3,0.051,0.004,36,21
2022041021,0.003,0.3,0.046,0.008,36,23
2022041022,0.003,0.3,0.041,0.013,38,27
2022041023,0.003,0.3,0.042,0.012,35,26
2022041024,0.002,0.3,0.029,0.018,34,27
2022041101,0.002,0.3,0.022,0.023,40,25
2022041102,0.002,0.4,0.010,0.032,44,26
2022041103,0.002,0.4,0.011,0.028,46,33
2022041104,0.003,0.3,0.018,0.022,53,34
2022041105,0.002,0.4,0.006,0.034,49,37
2022041106,0.002,0.4,0.002,0.038,49,36
2022041107,0.002,0.4,0.003,0.030,46,32
2022041108,0.003,0.4,0.009,0.028,46,27
2022041109,0.003,0.4,0.014,0.028,49,31
2022041110,0.004,0.3,0.026,0.020,54,33
2022041111,0.004,0.3,0.034,0.013,49,25
2022041112,0.004,0.3,0.045,0.005,41,18
2022041113,0.004,0.3,0.047,0.005,37,19
2022041114,0.003,0.3,0.040,0.009,31,18
2022041115,0.003,0.3,0.042,0.008,29,16
2022041116,0.003,0.3,0.044,0.008,26,18
2022041117,0.003,0.3,0.041,0.010,27,21
2022041118,0.003,0.3,0.040,0.014,32,20
2022041119,0.003,0.3,0.036,0.016,37,21
2022041120,0.003,0.3,0.032,0.017,33,22
2022041121,0.003,0.3,0.031,0.013,34,19
2022041122,0.002,0.3,0.021,0.020,37,22
2022041123,0.002,0.3,0.019,0.019,37,24
2022041124,0.002,0.3,0.012,0.026,35,26
2022041201,0.002,0.3,0.010,0.026,35,20
2022041202,0.002,0.3,0.011,0.025,30,19
2022041203,0.002,0.3,0.019,0.017,23,15
2022041204,0.002,0.3,0.012,0.018,12,7
2022041205,0.002,0.3,0.009,0.022,20,8
