dataTime,so2Value,coValue,o3Value,no2Value,pm10Value,pm25Value
2022042101,0.003,0.3,0.052,0.021,37,19
2022042102,0.002,0.4,0.048,0.019,43,25
2022042103,0.002,0.4,0.045,0.019,42,18
2022042104,0.002,0.4,0.026,0.031,38,24
2022042105,0.002,0.3,0.043,0.015,43,24
2022042106,0.002,0.4,0.041,0.014,28,17
2022042107,0.002,0.3,0.034,0.029,35,26
2022042108,0.002,0.3,0.037,0.028,38,25
2022042109,0.002,0.3,0.046,0.022,33,15
2022042110,0.003,0.3,0.045,0.022,28,18
2022042111,0.002,0.3,0.045,0.024,31,13
2022042112,0.002,0.3,0.046,0.024,34,16
2022042113,0.002,0.3,0.049,0.024,34,19
2022042114,0.002,0.3,0.045,0.028,27,22
2022042115,0.002,0.3,0.042,0.027,31,29
2022042116,0.002,0.3,0.042,0.025,38,25
2022042117,0.002,0.3,0.039,0.026,38,29
2022042118,0.002,0.3,0.044,0.019,39,28
2022042119,0.002,0.3,0.042,0.019,28,26
2022042120,0.002,0.3,0.033,0.024,30,24
2022042121,0.002,0.4,0.017,0.034,29,22
2022042122,0.002,0.4,0.006,0.037,31,16
2022042123,0.002,0.4,0.004,0.037,44,27
2022042124,0.002,0.4,0.005,0.037,36,20
2022042201,0.002,0.3,0.023,0.016,43,24
2022042202,0.002,0.3,0.017,0.020,28,26
2022042203,0.002,0.3,0.010,0.022,38,26
2022042204,0.002,0.3,0.011,0.018,29,23
2022042205,0.002,0.3,0.006,0.020,38,27
2022042206,0.002,0.4,0.002,0.023,32,27
2022042207,0.002,0.4,0.004,0.022,29,24
2022042208,0.002,0.4,0.011,0.020,31,25
2022042209,0.002,0.4,0.019,0.021,37,27
2022042210,0.002,0.3,0.049,0.011,37,28
2022042211,0.002,0.3,0.052,0.010,27,15
2022042212,0.002,0.3,0.058,0.007,27,13
2022042213,0.002,0.3,0.062,0.007,28,13
2022042214,0.002,0.3,0.067,0.005,29,15
2022042215,0.002,0.3,0.068,0.005,31,14
2022042216,0.002,0.3,0.071,0.007,44,16
