dataTime,so2Value,coValue,o3Value,no2Value,pm10Value,pm25Value
2022040817,0.001,0.4,0.052,0.004,35,11
2022040818,0.001,0.4,0.054,0.004,41,13
2022040819,0.001,0.4,0.053,0.004,37,9
2022040820,0.001,0.4,0.054,0.007,48,14
2022040821,0.002,0.5,0.065,0.004,53,19
2022040822,0.002,0.5,0.067,0.003,47,16
2022040823,0.002,0.5,0.068,0.003,49,20
2022040824,0.002,0.5,0.065,0.004,52,22
2022040901,0.002,0.5,0.064,0.004,56,19
2022040902,0.002,0.5,0.062,0.004,51,17
2022040903,0.002,0.5,0.061,0.004,60,20
2022040904,0.002,0.5,0.060,0.004,61,21
2022040905,0.002,0.5,0.059,0.004,62,24
2022040906,0.002,0.5,0.059,0.004,59,21
2022040907,0.001,0.5,0.057,0.006,64,27
2022040908,0.002,0.5,0.054,0.007,64,24
2022040909,0.002,0.5,0.054,0.007,68,25
2022040910,0.002,0.5,0.053,0.007,73,22
2022040911,0.002,0.5,0.056,0.006,75,30
2022040912,0.002,0.5,0.059,0.006,73,27
2022040913,0.002,0.5,0.059,0.006,70,27
2022040914,0.002,0.5,0.061,0.006,73,27
2022040915,0.002,0.5,0.066,0.004,76,30
2022040916,0.002,0.5,0.069,0.004,75,30
2022040917,0.002,0.5,0.072,0.004,73,32
2022040918,0.002,0.5,0.072,0.004,78,32
2022040919,0.002,0.5,0.070,0.006,73,30
2022040920,0.002,0.5,0.065,0.010,71,34
2022040921,0.002,0.5,0.070,0.007,66,27
2022040922,0.002,0.5,0.071,0.007,68,28
2022040923,0.002,0.5,0.071,0.007,70,29
2022040924,0.002,0.5,0.076,0.004,57,26
2022041001,0.002,0.5,0.076,0.003,62,25
2022041002,0.001,0.5,0.075,0.004,72,33
2022041003,0.001,0.5,0.070,0.004,70,32
2022041004,0.002,0.5,0.067,0.004,64,29
2022041005,0.001,0.5,0.063,0.004,69,23
2022041006,0.001,0.5,0.061,0.004,57,26
2022041007,0.001,0.5,0.060,0.004,64,26
2022041008,0.001,0.5,0.058,0.006,67,31
2022041009,0.001,0.5,0.058,0.006,63,27
2022041010,0.002,0.5,0.055,0.005,59,26
2022041011,0.001,0.4,0.050,0.006,56,20
2022041012,0.001,0.4,0.053,0.005,47,14
2022041013,0.002,0.4,0.051,0.005,45,15
2022041014,0.001,0.4,0.049,0.006,43,15
2022041015,0.002,0.4,0.053,0.004,37,13
2022041016,0.001,0.4,0.051,0.005,48,16
2022041017,0.001,0.4,0.051,0.003,32,15
2022041018,0.002,0.4,0.050,0.002,33,14
2022041019,0.001,0.4,0.049,0.002,47,20
2022041020,0.002,0.4,0.049,0.002,40,21
2022041021,0.002,0.4,0.049,0.002,45,18
2022041022,0.002,0.5,0.051,0.002,44,19
2022041023,0.002,0.4,0.052,0.002,41,20
2022041024,0.002,0.4,0.050,0.002,40,22
2022041101,0.001,0.4,0.044,0.002,36,14
2022041102,0.001,0.4,0.044,0.003,36,16
2022041103,0.002,0.4,0.042,0.003,38,16
2022041104,0.002,0.4,0.044,0.003,44,15
2022041105,0.001,0.4,0.045,0.003,34,17
2022041106,0.001,0.4,0.041,0.007,41,17
2022041107,0.002,0.4,0.037,0.010,44,21
2022041108,0.002,0.4,0.039,0.005,46,22
2022041109,0.002,0.4,0.038,0.005,53,25
2022041110,0.002,0.4,0.037,0.008,50,25
2022041111,0.002,0.4,0.039,0.007,51,24
2022041112,0.002,0.4,0.038,0.008,55,27
2022041113,0.002,0.4,0.035,0.012,48,25
2022041114,0.002,0.4,0.040,0.004,35,13
2022041115,0.002,0.4,0.037,0.003,22,12
2022041116,0.002,0.4,0.037,0.004,22,12
2022041117,0.002,0.4,0.031,0.010,21,14
2022041118,0.002,0.5,0.033,0.005,9,8
2022041119,0.002,0.4,0.034,0.003,9,4
2022041120,0.002,0.4,0.032,0.003,13,4
2022041121,0.001,0.4,0.031,0.003,10,5
2022041122,0.001,0.4,0.030,0.003,9,4
2022041123,0.001,0.4,0.029,0.003,9,3
2022041124,0.001,0.4,0.028,0.004,11,4
2022041201,0.001,0.4,0.027,0.003,10,3
2022041202,0.001,0.4,0.027,0.003,10,4
2022041203,0.001,0.4,0.026,0.003,8,6
2022041204,0.001,0.4,0.025,0.003,7,5
2022041205,0.001,0.4,0.023,0.006,9,2
2022041206,0.001,0.4,0.026,0.008,11,5
2022041207,0.001,0.4,0.028,0.004,12,6
2022041208,0.001,0.4,0.023,0.008,13,8
2022041209,0.001,0.4,0.020,0.011,10,8
2022041210,0.001,0.4,0.026,0.004,10,6
2022041211,0.001,0.4,0.025,0.004,9,4
2022041212,0.001,0.4,0.021,0.004,7,3
2022041213,0.001,0.4,0.023,0.003,8,3
2022041214,0.001,0.4,0.023,0.003,8,6
2022041215,0.001,0.4,0.024,0.003,5,
2022041216,0.001,0.5,0.027,0.003,6,4
2022041217,0.001,0.5,0.035,0.003,11,7
2022041218,0.001,0.5,0.037,0.004,27,13
2022041219,0.001,0.5,0.037,0.004,41,19
2022041220,0.001,0.5,0.036,0.004,38,20
2022041221,0.001,0.5,0.036,0.004,38,15
2022041222,0.001,0.5,0.037,0.003,28,12
2022041223,0.001,0.5,0.035,0.003,21,12
2022041224,0.001,0.5,0.032,0.003,23,9
2022041301,0.001,0.5,0.031,0.003,23,9
2022041302,0.001,0.5,0.032,0.003,19,13
2022041303,0.001,0.5,0.031,0.002,24,12
2022041304,0.001,0.5,0.032,0.002,26,11
2022041305,0.002,0.5,0.031,0.002,23,11
2022041306,0.002,0.5,0.029,0.003,28,11
2022041307,0.002,0.5,0.029,0.002,27,14
2022041308,0.002,0.5,0.029,0.002,27,12
2022041309,0.002,0.5,0.028,0.003,25,13
2022041310,0.002,0.6,0.028,0.003,26,12
2022041311,0.002,0.6,0.029,0.003,30,13
2022041312,0.002,0.6,0.033,0.003,22,12
2022041313,0.002,0.6,0.034,0.003,22,14
2022041314,,,,,,
2022041315,,,,,,
2022041316,,,,,22,10
2022041317,0.001,0.5,0.030,0.003,25,15
2022041318,0.001,0.5,0.030,0.003,23,9
2022041319,0.001,0.5,0.029,0.003,14,8
2022041320,0.001,0.5,0.031,0.003,22,9
2022041321,0.001,0.4,0.028,0.008,24,7
2022041322,0.001,0.4,0.028,0.006,27,6
2022041323,0.001,0.4,0.025,0.006,23,11
2022041324,0.001,0.4,0.026,0.005,22,11
2022041401,0.001,0.5,0.024,0.004,23,12
2022041402,0.001,0.4,0.026,0.003,14,8
2022041403,0.001,0.4,0.029,0.002,15,4
2022041404,0.001,0.4,0.030,0.002,15,5
2022041405,0.001,0.4,0.029,0.002,17,6
2022041406,0.001,0.4,0.026,0.002,22,6
2022041407,0.001,0.4,0.025,0.002,19,10
2022041408,0.001,0.4,0.025,0.002,17,7
2022041409,0.001,0.4,0.027,0.002,18,7
2022041410,0.001,0.4,0.028,0.002,24,9
2022041411,0.002,0.4,0.029,0.002,28,9
2022041412,0.001,0.4,0.031,0.002,23,8
2022041413,0.001,0.4,0.031,0.002,24,9
2022041414,0.001,0.5,0.032,0.002,27,10
2022041415,0.002,0.5,0.033,0.002,25,12
2022041416,0.002,0.4,0.034,0.002,25,9
2022041417,0.002,0.4,0.035,0.002,25,11
2022041418,0.002,0.4,0.035,0.002,24,11
2022041419,0.002,0.4,0.036,0.002,,12
2022041420,0.002,0.5,0.035,0.002,35,15
2022041421,0.002,0.4,0.034,0.002,32,12
2022041422,0.002,0.4,0.034,0.002,27,13
2022041423,0.001,0.4,0.033,0.002,27,13
2022041424,0.001,0.4,0.033,0.002,20,11
2022041501,0.001,0.4,0.033,0.002,15,8
2022041502,0.002,0.4,0.033,0.002,21,6
2022041503,0.002,0.4,0.033,0.002,17,6
2022041504,0.002,0.4,0.033,0.002,16,6
2022041505,0.002,0.4,0.033,0.001,19,5
2022041506,0.002,0.4,0.033,0.002,18,6
2022041507,0.002,0.4,0.032,0.002,23,9
2022041508,0.002,0.4,0.031,0.003,31,13
2022041509,0.002,0.5,0.028,0.003,41,17
2022041510,0.002,0.5,0.027,0.004,53,29
2022041511,0.002,0.6,0.033,0.005,82,38
2022041512,0.002,0.6,0.038,0.005,94,45
2022041513,0.002,0.7,0.041,0.006,108,55
2022041514,0.002,0.7,0.043,0.006,114,61
2022041515,0.002,0.8,0.048,0.007,132,76
2022041516,0.002,0.7,0.053,0.006,116,63
2022041517,0.002,0.7,0.056,0.006,94,54
2022041518,0.002,0.6,0.049,0.012,84,42
2022041519,0.002,0.5,0.050,0.006,59,30
2022041520,0.002,0.5,0.049,0.005,64,35
2022041521,0.002,0.5,0.051,0.004,59,31
