dataTime,so2Value,coValue,o3Value,no2Value,pm10Value,pm25Value
2022042101,0.002,0.5,0.058,0.008,42,21
2022042102,0.002,0.5,0.057,0.007,42,21
2022042103,0.002,0.5,0.059,0.007,44,17
2022042104,0.002,0.5,0.060,0.006,46,17
2022042105,0.002,0.5,0.059,0.006,44,21
2022042106,0.002,0.5,0.056,0.008,51,20
2022042107,0.002,0.5,0.052,0.009,50,24
2022042108,0.002,0.5,0.047,0.014,48,27
2022042109,0.002,0.5,0.050,0.007,56,24
2022042110,0.002,0.5,0.050,0.008,52,23
2022042111,0.002,0.5,0.054,0.008,53,18
2022042112,0.002,0.5,0.058,0.006,48,20
2022042113,0.002,0.5,0.059,0.006,47,22
2022042114,0.002,0.5,0.059,0.006,55,21
2022042115,0.002,0.5,0.057,0.006,53,24
2022042116,0.002,0.5,0.057,0.006,62,21
2022042117,0.002,0.5,0.059,0.005,60,25
2022042118,0.002,0.5,0.060,0.005,72,26
2022042119,0.001,0.6,0.066,0.006,72,33
2022042120,0.001,0.6,0.069,0.006,71,35
2022042121,0.002,0.5,0.063,0.006,64,25
2022042122,0.002,0.5,0.060,0.005,53,21
2022042123,0.002,0.5,0.059,0.005,56,23
2022042124,0.001,0.5,0.058,0.005,48,18
2022042201,0.001,0.5,0.061,0.005,52,22
2022042202,0.002,0.5,0.062,0.005,60,25
2022042203,0.001,0.5,0.063,0.005,49,26
2022042204,0.001,0.5,0.063,0.005,38,21
2022042205,0.001,0.6,0.061,0.005,46,20
2022042206,0.001,0.6,0.060,0.005,48,25
2022042207,0.001,0.6,0.058,0.005,58,27
2022042208,0.002,0.6,0.058,0.006,70,31
2022042209,0.001,0.6,0.056,0.006,67,33
2022042210,0.002,0.6,0.055,0.007,74,36
2022042211,0.002,0.6,0.054,0.006,101,45
2022042212,0.001,0.6,0.051,0.006,109,54
2022042213,0.001,0.7,0.048,0.009,87,48
2022042214,0.002,0.7,0.044,0.007,63,46
2022042215,0.002,0.7,0.038,0.007,71,45
2022042216,0.002,0.8,0.039,0.006,66,44
