dataTime,so2Value,coValue,o3Value,no2Value,pm10Value,pm25Value
2022040817,0.002,0.2,0.064,0.019,50,16
2022040818,0.002,0.2,0.060,0.019,48,17
2022040819,0.002,0.3,0.052,0.023,43,17
2022040820,0.002,0.3,0.053,0.022,36,11
2022040821,0.002,0.3,0.054,0.021,41,14
2022040822,0.002,0.2,0.065,0.013,44,13
2022040823,0.002,0.2,0.061,0.012,42,16
2022040824,0.002,0.2,0.062,0.010,40,18
2022040901,0.002,0.2,0.055,0.013,36,14
2022040902,0.002,0.2,0.054,0.012,38,15
2022040903,0.002,0.3,0.041,0.016,37,12
2022040904,0.002,0.2,0.044,0.012,40,15
2022040905,0.002,0.3,0.034,0.017,30,13
2022040906,0.002,0.3,0.020,0.029,34,14
2022040907,0.002,0.3,0.017,0.031,38,19
2022040908,0.002,0.3,0.009,0.037,34,10
2022040909,0.002,0.3,0.039,0.019,39,16
2022040910,0.002,0.2,0.052,0.013,76,12
2022040911,0.002,0.2,0.055,0.013,37,9
2022040912,0.002,0.2,0.055,0.014,39,11
2022040913,0.002,0.2,0.057,0.013,35,11
2022040914,0.002,0.2,0.060,0.009,26,9
2022040915,0.002,0.2,0.064,0.009,33,8
2022040916,0.002,0.2,0.062,0.008,36,7
2022040917,0.001,0.2,0.059,0.010,32,6
2022040918,0.002,0.2,0.055,0.012,25,9
2022040919,0.002,0.2,0.052,0.013,28,10
2022040920,0.002,0.2,0.054,0.012,25,9
2022040921,0.002,0.2,0.059,0.008,25,8
2022040922,0.001,0.2,0.060,0.007,19,8
2022040923,0.001,0.2,0.065,0.005,23,9
2022040924,0.002,0.2,0.064,0.006,30,9
2022041001,0.002,0.2,0.061,0.006,29,9
2022041002,0.002,0.2,0.055,0.009,24,8
2022041003,0.002,0.2,0.057,0.007,27,10
2022041004,0.002,0.2,0.055,0.007,24,11
2022041005,0.002,0.2,0.062,0.004,24,11
2022041006,0.002,0.1,0.063,0.004,21,9
2022041007,0.002,0.2,0.063,0.005,23,9
2022041008,0.002,0.2,0.063,0.005,23,7
2022041009,0.002,0.2,0.062,0.005,25,12
2022041010,0.002,0.2,0.060,0.007,24,9
2022041011,0.002,0.2,0.064,0.006,25,10
2022041012,0.002,0.2,0.065,0.006,29,14
2022041013,0.002,0.2,0.067,0.006,24,11
2022041014,0.002,0.2,0.067,0.005,26,11
2022041015,0.002,0.2,0.067,0.006,28,20
2022041016,0.002,0.2,0.064,0.008,26,18
2022041017,0.002,0.2,0.061,0.009,31,16
2022041018,0.002,0.2,0.057,0.010,31,15
2022041019,0.002,0.2,0.057,0.008,41,15
2022041020,0.002,0.2,0.056,0.008,36,20
2022041021,0.002,0.2,0.056,0.007,29,15
2022041022,0.002,0.2,0.057,0.007,35,16
2022041023,0.002,0.2,0.057,0.007,31,18
2022041024,0.002,0.2,0.056,0.006,33,14
2022041101,0.002,0.2,0.053,0.007,38,18
2022041102,0.002,0.2,0.053,0.006,36,23
2022041103,0.002,0.2,0.053,0.005,33,18
2022041104,0.002,0.2,0.054,0.005,35,15
2022041105,0.002,0.2,0.045,0.008,34,15
2022041106,0.002,0.2,0.038,0.012,38,13
2022041107,0.002,0.2,0.022,0.021,32,17
2022041108,0.002,0.3,0.011,0.033,39,20
2022041109,0.003,0.3,0.013,0.036,41,19
2022041110,0.003,0.3,0.026,0.025,51,18
2022041111,0.003,0.2,0.034,0.016,47,21
2022041112,0.003,0.2,0.039,0.014,41,14
2022041113,0.003,0.2,0.042,0.013,41,16
2022041114,0.003,0.2,0.042,0.013,36,14
2022041115,0.002,0.2,0.041,0.013,36,16
2022041116,0.002,0.2,0.033,0.016,33,13
2022041117,0.002,0.2,0.035,0.014,23,10
2022041118,0.002,0.2,0.029,0.018,30,9
2022041119,0.002,0.3,0.025,0.021,33,12
2022041120,0.002,0.3,0.024,0.024,34,15
2022041121,0.002,0.2,0.020,0.025,36,23
2022041122,0.002,0.2,0.026,0.018,38,22
2022041123,0.002,0.2,0.030,0.012,20,14
2022041124,0.002,0.2,0.030,0.013,14,11
2022041201,0.002,0.2,0.036,0.007,14,9
2022041202,0.002,0.2,0.033,0.007,12,6
2022041203,0.002,0.2,0.033,0.007,12,3
2022041204,0.002,0.1,0.032,0.006,16,2
2022041205,0.002,0.1,0.037,0.004,8,5
2022041206,0.002,0.2,0.029,0.009,7,5
2022041207,0.002,0.2,0.022,0.013,9,6
2022041208,0.002,0.2,0.019,0.016,12,7
2022041209,0.002,0.2,0.030,0.012,13,3
2022041210,0.002,0.2,0.031,0.015,16,3
2022041211,0.002,0.2,0.042,0.010,22,11
2022041212,0.002,0.2,0.045,0.011,15,12
2022041213,0.002,0.2,0.049,0.011,22,11
2022041214,0.002,0.2,0.050,0.012,21,13
2022041215,0.002,0.2,0.044,0.017,24,9
2022041216,0.002,0.2,0.043,0.017,33,8
2022041217,0.002,0.2,0.038,0.019,37,8
2022041218,0.002,0.2,0.035,0.020,27,10
2022041219,0.002,0.2,0.028,0.023,27,15
2022041220,0.002,0.2,0.023,0.023,24,12
2022041221,0.002,0.2,0.029,0.017,24,14
2022041222,0.002,0.2,0.038,0.008,24,14
2022041223,0.002,0.2,0.031,0.009,12,8
2022041224,0.002,0.2,0.029,0.010,13,7
2022041301,0.002,0.2,0.048,0.006,18,9
2022041302,0.002,0.2,0.056,0.004,32,15
2022041303,0.002,0.2,0.057,0.004,36,21
2022041304,0.002,0.2,0.055,0.004,35,16
2022041305,0.002,0.2,0.052,0.004,35,19
2022041306,0.002,0.2,0.045,0.008,38,16
2022041307,0.003,0.2,0.044,0.012,39,20
2022041308,0.003,0.3,0.043,0.012,42,18
2022041309,0.002,0.3,0.036,0.012,34,21
2022041310,0.002,0.3,0.036,0.012,21,12
2022041311,0.002,0.2,0.035,0.011,19,12
2022041312,0.002,0.2,0.036,0.009,12,8
2022041313,,,,,12,8
