dataTime,so2Value,coValue,o3Value,no2Value,pm10Value,pm25Value
2022042101,0.002,0.2,0.082,0.010,40,18
2022042102,0.002,0.2,0.070,0.013,43,15
2022042103,0.002,0.2,0.069,0.010,33,14
2022042104,0.002,0.2,0.060,0.012,32,17
2022042105,0.002,0.2,0.057,0.014,31,16
2022042106,0.002,0.2,0.049,0.018,38,19
2022042107,0.002,0.2,0.042,0.023,32,23
2022042108,0.002,0.3,0.023,0.040,38,16
2022042109,0.002,0.4,0.008,0.055,36,22
2022042110,0.003,0.4,0.012,0.058,45,28
2022042111,0.002,0.3,0.036,0.044,52,21
2022042112,0.002,0.3,0.060,0.023,47,15
2022042113,0.002,0.3,0.063,0.019,36,13
2022042114,0.002,0.2,0.062,0.016,31,13
2022042115,0.002,0.2,0.055,0.015,24,15
2022042116,0.002,0.3,0.052,0.019,20,15
2022042117,,,,,22,13
2022042118,0.002,0.3,0.042,0.019,23,17
2022042119,0.002,0.3,0.037,0.023,22,15
2022042120,0.002,0.2,0.037,0.018,21,13
2022042121,0.002,0.2,0.038,0.014,22,10
2022042122,0.002,0.2,0.026,0.019,23,9
2022042123,0.002,0.2,0.024,0.017,30,12
2022042124,0.002,0.3,0.010,0.024,27,21
2022042201,0.002,0.3,0.016,0.022,33,20
2022042202,0.002,0.3,0.027,0.018,29,17
2022042203,0.002,0.2,0.034,0.012,26,15
2022042204,0.002,0.2,0.035,0.011,27,13
2022042205,0.002,0.2,0.034,0.010,29,16
2022042206,0.002,0.3,0.034,0.012,28,18
2022042207,0.002,0.3,0.029,0.013,32,22
2022042208,0.002,0.3,0.036,0.016,30,19
2022042209,0.003,0.3,0.049,0.017,31,2
2022042210,0.003,0.2,0.062,0.014,29,17
2022042211,0.003,0.2,0.076,0.011,33,14
2022042212,0.002,0.2,0.080,0.012,42,17
2022042213,0.003,0.3,0.072,0.015,45,14
2022042214,0.002,0.2,0.077,0.014,45,17
2022042215,0.002,0.2,0.079,0.014,53,15
2022042216,0.002,0.2,0.080,0.014,60,19
