dataTime,so2Value,coValue,o3Value,no2Value,pm10Value,pm25Value
2022040817,0.002,0.3,0.053,0.025,48.0,16.0
2022040818,0.002,0.3,0.05,0.02,38.0,13.0
2022040819,0.003,0.3,0.048,0.023,40.0,10.0
2022040820,0.002,0.3,0.036000000000000004,0.034,43.0,12.0
2022040821,0.002,0.3,0.045,0.025,40.0,10.0
2022040822,0.002,0.3,0.043,0.026000000000000002,33.0,13.0
2022040823,0.002,0.3,0.037000000000000005,0.036000000000000004,39.0,10.0
2022040824,0.002,0.3,0.06,0.011000000000000001,48.0,11.0
2022040901,0.002,0.3,0.059000000000000004,0.011000000000000001,39.0,12.0
2022040902,0.002,0.3,0.033,0.033,46.0,11.0
2022040903,0.002,0.3,0.038,0.028999999999999998,43.0,14.0
2022040904,0.002,0.3,0.021,0.044000000000000004,48.0,11.0
2022040905,0.002,0.4,0.021,0.04,46.0,14.0
2022040906,0.002,0.4,0.003,0.062,50.0,19.0
2022040907,0.003,0.4,0.005,0.062,51.0,22.0
2022040908,0.003,0.4,0.021,0.051,48.0,18.0
2022040909,0.003,0.3,0.035,0.035,42.0,14.0
2022040910,0.003,0.3,0.033,0.036000000000000004,51.0,11.0
2022040911,0.003,0.3,0.046,0.027000000000000003,49.0,16.0
2022040912,0.003,0.3,0.055,0.023,45.0,13.0
2022040913,0.003,0.3,0.062,0.016,45.0,16.0
2022040914,0.003,0.3,0.057,0.02,48.0,14.0
2022040915,0.002,0.3,0.059000000000000004,0.016,48.0,10.0
2022040916,0.003,0.3,0.047,0.027999999999999997,47.0,12.0
2022040917,0.003,0.3,0.043,0.028999999999999998,42.0,12.0
2022040918,0.002,0.3,0.043,0.022000000000000002,31.0,10.0
2022040919,0.003,0.3,0.025,0.040999999999999995,27.0,9.0
2022040920,0.003,0.3,0.031,0.034,29.0,11.0
2022040921,0.002,0.3,0.037000000000000005,0.027000000000000003,24.0,8.0
2022040922,0.002,0.3,0.038,0.026000000000000002,31.0,11.0
2022040923,0.002,0.3,0.045,0.019,23.0,10.0
2022040924,0.002,0.3,0.046,0.018000000000000002,25.0,8.0
2022041001,0.002,0.3,0.043,0.022000000000000002,26.0,8.0
2022041002,0.002,0.3,0.05,0.013000000000000001,24.0,8.0
2022041003,0.002,0.2,0.05,0.013000000000000001,22.0,6.0
2022041004,0.002,0.2,0.051,0.012,18.0,4.0
2022041005,0.002,0.2,0.045,0.019,21.0,7.0
2022041006,0.002,0.2,0.046,0.017,24.0,7.0
2022041007,0.002,0.3,0.039,0.025,18.0,9.0
2022041008,0.002,0.3,0.043,0.02,20.0,10.0
2022041009,0.002,0.3,0.048,0.015,19.0,15.0
2022041010,0.002,0.3,0.052000000000000005,0.012,25.0,10.0
2022041011,0.003,0.3,0.054000000000000006,0.01,25.0,8.0
2022041012,0.003,0.3,0.059000000000000004,0.008,25.0,8.0
2022041013,0.003,0.3,0.054000000000000006,0.015,29.0,9.0
2022041014,0.003,0.3,0.042,0.026000000000000002,27.0,13.0
2022041015,0.003,0.3,0.043,0.027000000000000003,31.0,17.0
2022041016,0.003,0.3,0.049,0.02,35.0,13.0
2022041017,0.003,0.3,0.046,0.018000000000000002,28.0,15.0
2022041018,0.003,0.3,0.039,0.023,33.0,16.0
2022041019,0.003,0.3,0.034,0.027999999999999997,37.0,22.0
2022041020,0.003,0.3,0.03,0.031,34.0,17.0
2022041021,0.003,0.3,0.035,0.025,32.0,25.0
2022041022,0.003,0.3,0.036000000000000004,0.024,33.0,19.0
2022041023,0.003,0.3,0.038,0.019,33.0,19.0
2022041024,0.003,0.3,0.04,0.018000000000000002,33.0,19.0
2022041101,0.003,0.3,0.031,0.027999999999999997,31.0,19.0
2022041102,0.003,0.3,0.025,0.03,36.0,18.0
2022041103,0.003,0.4,0.01,0.048,37.0,22.0
2022041104,0.003,0.4,0.019,0.036000000000000004,45.0,26.0
2022041105,0.003,0.3,0.011000000000000001,0.040999999999999995,38.0,22.0
2022041106,0.003,0.4,0.004,0.061,46.0,23.0
2022041107,0.004,0.6,0.004,0.079,52.0,27.0
2022041108,0.004,0.5,0.006,0.062,67.0,39.0
2022041109,0.005,0.4,0.009000000000000001,0.051,49.0,28.0
2022041110,0.006,0.4,0.013999999999999999,0.047,54.0,24.0
2022041111,0.005,0.3,0.023,0.031,48.0,28.0
2022041112,0.005,0.4,0.023,0.032,53.0,18.0
2022041113,0.005,0.4,0.023,0.035,39.0,18.0
2022041114,0.004,0.3,0.019,0.043,37.0,20.0
2022041115,,,,,43.0,20.0
2022041116,,,,,22.0,17.0
2022041117,0.003,0.3,0.021,0.038,36.0,21.0
2022041118,0.003,0.2,0.026000000000000002,0.027999999999999997,37.0,18.0
2022041119,0.003,0.3,0.022000000000000002,0.031,38.0,17.0
2022041120,0.003,0.2,0.016,0.036000000000000004,27.0,18.0
2022041121,0.003,0.3,0.017,0.032,32.0,17.0
2022041122,0.003,0.3,0.006,0.044000000000000004,28.0,17.0
2022041123,0.003,0.3,0.005,0.044000000000000004,36.0,25.0
2022041124,0.003,0.3,0.011000000000000001,0.034,40.0,22.0
2022041201,0.003,0.4,0.004,0.046,24.0,16.0
2022041202,0.003,0.2,0.013999999999999999,0.031,42.0,20.0
2022041203,0.002,0.2,0.017,0.024,4.0,
2022041204,0.002,0.2,0.01,0.031,4.0,
2022041205,0.003,0.3,0.004,0.039,9.0,6.0
2022041206,0.003,0.3,0.006,0.036000000000000004,16.0,7.0
2022041207,0.003,0.3,0.005,0.037000000000000005,17.0,8.0
2022041208,0.004,0.4,0.006,0.065,23.0,15.0
2022041209,0.003,0.3,0.011000000000000001,0.035,34.0,18.0
2022041210,0.003,0.3,0.015,0.033,31.0,17.0
2022041211,0.003,0.2,0.021,0.026000000000000002,27.0,11.0
2022041212,0.003,0.3,0.022000000000000002,0.027000000000000003,17.0,8.0
2022041213,0.003,0.2,0.026000000000000002,0.023,26.0,16.0
2022041214,0.003,0.2,0.021,0.03,15.0,14.0
2022041215,0.003,0.2,0.027000000000000003,0.024,28.0,11.0
2022041216,0.003,0.2,0.026000000000000002,0.025,27.0,16.0
2022041217,0.003,0.2,0.025,0.027000000000000003,27.0,10.0
2022041218,0.003,0.2,0.02,0.031,24.0,13.0
2022041219,0.003,0.2,0.02,0.027000000000000003,25.0,9.0
2022041220,0.002,0.2,0.018000000000000002,0.027000000000000003,18.0,11.0
2022041221,0.003,0.2,0.006999999999999999,0.039,19.0,11.0
2022041222,0.003,0.3,0.006,0.039,16.0,10.0
2022041223,0.003,0.3,0.009000000000000001,0.035,24.0,12.0
2022041224,0.003,0.2,0.023,0.021,24.0,17.0
2022041301,0.003,0.3,0.019,0.027999999999999997,21.0,8.0
2022041302,0.003,0.3,0.034,0.021,29.0,17.0
2022041303,0.003,0.3,0.036000000000000004,0.021,40.0,20.0
2022041304,0.002,0.3,0.024,0.034,40.0,18.0
2022041305,0.002,0.3,0.027000000000000003,0.028999999999999998,36.0,20.0
2022041306,0.002,0.3,0.027000000000000003,0.027000000000000003,36.0,21.0
2022041307,0.003,0.4,0.023,0.049,35.0,18.0
2022041308,0.003,0.4,0.018000000000000002,0.04,41.0,15.0
2022041309,0.003,0.4,0.02,0.03,35.0,20.0
2022041310,0.004,0.3,0.018000000000000002,0.034,37.0,21.0
2022041311,0.003,0.3,0.018000000000000002,0.031,34.0,17.0
2022041312,0.003,0.3,0.023,0.025,24.0,9.0
2022041313,0.003,0.3,0.03,0.024,14.0,8.0
2022041314,0.003,0.3,0.031,0.025,15.0,6.0
2022041315,0.003,0.3,0.032,0.024,19.0,6.0
2022041316,0.002,0.3,0.032,0.023,25.0,13.0
