dataTime,so2Value,coValue,o3Value,no2Value,pm10Value,pm25Value
2022042101,0.003,0.3,0.040999999999999995,0.052000000000000005,43.0,22.0
2022042102,0.002,0.2,0.07400000000000001,0.017,45.0,20.0
2022042103,0.002,0.3,0.068,0.021,35.0,10.0
2022042104,0.004,0.3,0.045,0.032,31.0,10.0
2022042105,0.002,0.3,0.045,0.026000000000000002,38.0,17.0
2022042106,0.003,0.3,0.043,0.028999999999999998,34.0,13.0
2022042107,0.003,0.3,0.028999999999999998,0.051,33.0,16.0
2022042108,0.003,0.4,0.017,0.075,44.0,18.0
2022042109,0.003,0.4,0.025,0.06,51.0,19.0
2022042110,0.003,0.4,0.024,0.059000000000000004,71.0,24.0
2022042111,0.002,0.3,0.025,0.059000000000000004,54.0,21.0
2022042112,0.002,0.3,0.024,0.061,47.0,24.0
2022042113,,,,,,
2022042114,,,,,,
2022042115,0.002,0.3,0.040999999999999995,0.036000000000000004,25.0,20.0
2022042116,0.002,0.3,0.043,0.034,32.0,18.0
2022042117,0.002,0.3,0.039,0.033,33.0,21.0
2022042118,0.002,0.3,0.048,0.021,32.0,16.0
2022042119,0.002,0.3,0.046,0.024,18.0,12.0
2022042120,0.002,0.4,0.023,0.043,23.0,12.0
2022042121,0.002,0.3,0.02,0.042,29.0,17.0
2022042122,0.002,0.3,0.037000000000000005,0.02,28.0,20.0
2022042123,0.002,0.3,0.008,0.054000000000000006,37.0,20.0
2022042124,0.002,0.3,0.017,0.040999999999999995,44.0,26.0
2022042201,0.002,0.3,0.013000000000000001,0.039,29.0,16.0
2022042202,0.002,0.3,0.012,0.045,43.0,20.0
2022042203,0.003,0.3,0.032,0.033,37.0,24.0
2022042204,0.004,0.4,0.015,0.048,27.0,17.0
2022042205,0.003,0.4,0.012,0.045,40.0,20.0
2022042206,0.003,0.4,0.016,0.040999999999999995,47.0,25.0
2022042207,0.003,0.4,0.009000000000000001,0.045,39.0,24.0
2022042208,0.004,0.4,0.008,0.063,40.0,23.0
2022042209,0.004,0.3,0.042,0.031,59.0,29.0
2022042210,0.003,0.4,0.045,0.031,31.0,12.0
2022042211,0.003,0.3,0.036000000000000004,0.038,37.0,13.0
2022042212,0.003,0.3,0.039,0.037000000000000005,37.0,19.0
2022042213,0.003,0.3,0.055999999999999994,0.021,32.0,12.0
2022042214,0.003,0.3,0.052000000000000005,0.032,33.0,13.0
2022042215,0.003,0.3,0.057999999999999996,0.024,49.0,19.0
2022042216,0.003,0.3,0.062,0.023,67.0,17.0
