dataTime,so2Value,coValue,o3Value,no2Value,pm10Value,pm25Value
2022040817,0.004,0.2,0.057,0.025,45,9.0
2022040818,0.003,0.2,0.055999999999999994,0.022000000000000002,39,12.0
2022040819,0.003,0.2,0.06,0.018000000000000002,38,14.0
2022040820,0.004,0.2,0.057999999999999996,0.018000000000000002,40,8.0
2022040821,0.004,0.2,0.026000000000000002,0.053,43,12.0
2022040822,0.004,0.2,0.017,0.06,40,13.0
2022040823,0.004,0.2,0.016,0.065,48,13.0
2022040824,0.004,0.2,0.026000000000000002,0.051,46,14.0
2022040901,0.004,0.2,0.024,0.051,41,17.0
2022040902,0.004,0.2,0.043,0.026000000000000002,47,25.0
2022040903,0.004,0.2,0.034,0.037000000000000005,43,13.0
2022040904,0.004,0.2,0.027000000000000003,0.038,47,14.0
2022040905,0.005,0.2,0.012,0.057,40,13.0
2022040906,0.005,0.2,0.01,0.055999999999999994,46,14.0
2022040907,0.005,0.2,0.015,0.053,45,21.0
2022040908,0.005,0.3,0.021,0.051,48,16.0
2022040909,0.005,0.2,0.042,0.03,54,17.0
2022040910,0.004,0.2,0.044000000000000004,0.028999999999999998,36,13.0
2022040911,0.004,0.2,0.044000000000000004,0.032,39,11.0
2022040912,0.004,0.2,0.052000000000000005,0.023,34,14.0
2022040913,0.004,0.2,0.062,0.013000000000000001,38,12.0
2022040914,0.004,0.2,0.062,0.012,31,9.0
2022040915,0.004,0.2,0.062,0.012,30,6.0
2022040916,0.004,0.2,0.054000000000000006,0.018000000000000002,30,8.0
2022040917,0.004,0.2,0.037000000000000005,0.037000000000000005,33,10.0
2022040918,0.011000000000000001,0.2,0.034,0.040999999999999995,37,12.0
2022040919,0.004,0.2,0.027999999999999997,0.046,35,17.0
2022040920,0.004,0.2,0.039,0.035,35,9.0
2022040921,0.005,0.2,0.017,0.067,32,5.0
2022040922,0.004,0.2,0.032,0.044000000000000004,37,13.0
2022040923,0.004,0.2,0.005,0.079,35,12.0
2022040924,0.004,0.2,0.012,0.061,32,12.0
2022041001,0.004,0.2,0.013999999999999999,0.059000000000000004,28,12.0
2022041002,0.003,0.2,0.038,0.026000000000000002,30,10.0
2022041003,0.003,0.2,0.043,0.019,25,6.0
2022041004,0.003,0.2,0.04,0.023,24,4.0
2022041005,0.004,0.2,0.016,0.051,26,7.0
