dataTime,so2Value,coValue,o3Value,no2Value,pm10Value,pm25Value
2022042101,0.003,0.3,0.04,0.06,47,25.0
2022042102,0.003,0.3,0.015,0.092,50,28.0
2022042103,0.003,0.3,0.018000000000000002,0.081,47,10.0
2022042104,0.003,0.3,0.027999999999999997,0.064,38,19.0
2022042105,0.003,0.4,0.017,0.07400000000000001,31,13.0
2022042106,0.003,0.3,0.008,0.083,44,28.0
2022042107,0.004,0.4,0.008,0.091,40,21.0
2022042108,0.003,0.4,0.016,0.071,58,31.0
2022042109,0.003,0.4,0.012,0.078,49,23.0
2022042110,0.005,0.4,0.006999999999999999,0.09,53,27.0
2022042111,0.005,0.3,0.006999999999999999,0.098,76,25.0
2022042112,0.006,0.3,0.009000000000000001,0.09699999999999999,50,23.0
2022042113,0.005,0.3,0.019,0.079,57,22.0
2022042114,0.004,0.3,0.011000000000000001,0.096,45,26.0
2022042115,0.003,0.3,0.027999999999999997,0.065,38,27.0
2022042116,0.003,0.2,0.043,0.036000000000000004,30,14.0
2022042117,0.002,0.3,0.043,0.035,27,10.0
2022042118,0.003,0.3,0.019,0.067,19,13.0
2022042119,0.003,0.3,0.015,0.068,31,17.0
2022042120,0.003,0.3,0.012,0.07200000000000001,26,13.0
2022042121,0.003,0.3,0.006,0.07200000000000001,27,17.0
2022042122,0.003,0.3,0.004,0.071,30,19.0
2022042123,0.003,0.3,0.003,0.06,33,15.0
2022042124,0.003,0.3,0.016,0.038,34,19.0
2022042201,0.003,0.3,0.015,0.035,29,23.0
2022042202,0.003,0.3,0.009000000000000001,0.052000000000000005,35,30.0
2022042203,0.003,0.3,0.02,0.035,33,18.0
2022042204,0.003,0.3,0.01,0.055,30,17.0
2022042205,0.003,0.3,0.022000000000000002,0.039,33,22.0
2022042206,0.003,0.3,0.017,0.046,28,19.0
2022042207,0.003,0.3,0.012,0.057,27,14.0
2022042208,0.003,0.3,0.040999999999999995,0.022000000000000002,31,17.0
2022042209,0.003,0.3,0.04,0.028999999999999998,21,15.0
2022042210,0.003,0.3,0.053,0.017,19,13.0
2022042211,0.003,0.3,0.062,0.013999999999999999,27,14.0
2022042212,0.003,0.3,0.063,0.021,25,15.0
2022042213,0.003,0.3,0.069,0.023,41,14.0
2022042214,0.003,0.3,0.08,0.013999999999999999,44,15.0
2022042215,0.002,0.3,0.069,0.027000000000000003,50,16.0
2022042216,0.003,0.2,0.076,0.017,64,17.0
