dataTime,so2Value,coValue,o3Value,no2Value,pm10Value,pm25Value
2022040817,0.005,0.4,0.055,0.021,58,22
2022040818,0.005,0.4,0.055,0.016,64,22
2022040819,0.004,0.4,0.051,0.020,45,16
2022040820,0.003,0.4,0.053,0.017,42,13
2022040821,0.003,0.4,0.050,0.017,35,8
2022040822,0.003,0.4,0.046,0.020,37,10
2022040823,0.003,0.4,0.057,0.012,38,9
2022040824,0.003,0.3,0.063,0.007,35,9
2022040901,0.002,0.3,0.058,0.008,45,12
2022040902,0.002,0.4,0.052,0.010,37,14
2022040903,0.003,0.4,0.048,0.013,42,16
2022040904,0.003,0.4,0.039,0.017,42,14
2022040905,0.003,0.4,0.029,0.024,39,12
2022040906,0.004,0.4,0.030,0.020,49,16
2022040907,0.004,0.4,0.023,0.030,41,17
2022040908,0.005,0.5,0.013,0.043,43,15
2022040909,0.004,0.4,0.033,0.027,53,19
2022040910,0.004,0.4,0.046,0.015,51,14
2022040911,0.004,0.4,0.043,0.024,40,15
2022040912,0.004,0.4,0.055,0.020,59,22
2022040913,0.003,0.4,0.063,0.013,71,21
2022040914,0.003,0.4,0.062,0.014,49,17
2022040915,0.003,0.4,0.056,0.016,45,16
2022040916,0.003,0.4,0.054,0.017,54,16
2022040917,0.004,0.3,0.053,0.016,47,18
2022040918,0.004,0.4,0.048,0.018,41,16
2022040919,0.003,0.4,0.052,0.014,58,13
2022040920,0.003,0.3,0.048,0.014,17,9
2022040921,0.002,0.3,0.047,0.013,11,8
2022040922,0.002,0.3,0.055,0.007,20,5
2022040923,0.002,0.3,0.047,0.012,17,3
2022040924,0.002,0.3,0.055,0.007,21,6
2022041001,0.002,0.3,0.058,0.004,23,13
2022041002,0.002,0.3,0.059,0.004,21,10
2022041003,0.002,0.3,0.060,0.003,16,10
2022041004,0.002,0.3,0.059,0.003,25,7
2022041005,0.002,0.3,0.058,0.004,22,10
2022041006,0.002,0.3,0.056,0.004,24,7
2022041007,0.002,0.3,0.057,0.004,24,8
2022041008,0.002,0.3,0.057,0.004,21,10
2022041009,0.002,0.3,0.056,0.005,21,10
2022041010,0.002,0.3,0.056,0.006,25,13
2022041011,0.003,0.3,0.058,0.007,24,11
2022041012,0.003,0.3,0.059,0.008,33,13
2022041013,0.003,0.3,0.061,0.008,35,18
2022041014,0.003,0.3,0.055,0.013,26,14
2022041015,0.003,0.3,0.058,0.011,38,16
2022041016,0.004,0.4,0.052,0.016,40,17
2022041017,0.004,0.4,0.053,0.015,50,24
2022041018,0.004,0.5,0.051,0.016,68,29
2022041019,0.004,0.4,0.045,0.019,38,25
2022041020,0.003,0.4,0.043,0.018,36,19
2022041021,0.003,0.3,0.054,0.008,27,19
2022041022,0.003,0.3,0.049,0.009,19,13
2022041023,0.003,0.3,0.051,0.008,32,15
2022041024,0.003,0.3,0.054,0.005,36,18
2022041101,0.003,0.3,0.053,0.004,39,19
2022041102,0.003,0.3,0.048,0.005,39,18
2022041103,0.003,0.3,0.049,0.005,34,15
2022041104,0.003,0.3,0.033,0.018,38,19
2022041105,0.004,0.4,0.009,0.039,34,21
2022041106,0.004,0.4,0.012,0.032,43,25
2022041107,0.004,0.4,0.022,0.021,41,19
2022041108,0.005,0.5,0.013,0.035,43,19
2022041109,0.007,0.5,0.009,0.047,47,22
2022041110,0.007,0.4,0.014,0.039,63,26
2022041111,0.007,0.4,0.032,0.019,62,25
2022041112,0.006,0.4,0.029,0.023,53,22
2022041113,,,,,40,16
2022041114,,,,,38,14
2022041115,0.002,0.3,0.039,0.012,45,18
2022041116,0.003,0.3,0.041,0.009,45,13
2022041117,0.003,0.3,0.038,0.013,40,21
2022041118,0.003,0.4,0.033,0.017,34,20
2022041119,0.003,0.3,0.037,0.014,37,17
2022041120,0.003,0.4,0.028,0.018,38,22
2022041121,0.003,0.4,0.020,0.022,44,20
2022041122,0.003,0.4,0.015,0.023,37,27
2022041123,0.003,0.4,0.004,0.038,37,19
2022041124,0.004,0.4,0.004,0.040,41,22
2022041201,0.004,0.3,0.015,0.026,35,22
2022041202,0.003,0.2,0.035,0.006,21,14
2022041203,0.003,0.2,0.035,0.004,12,11
2022041204,0.003,0.2,0.030,0.008,12,9
2022041205,0.002,0.3,0.019,0.019,10,9
2022041206,0.002,0.2,0.027,0.010,11,9
2022041207,0.003,0.4,0.007,0.029,11,8
2022041208,0.003,0.4,0.005,0.035,24,14
2022041209,0.005,0.4,0.011,0.029,32,21
2022041210,0.004,0.3,0.027,0.014,26,16
2022041211,0.004,0.3,0.023,0.020,17,11
2022041212,0.004,0.3,0.027,0.018,29,12
2022041213,0.003,0.3,0.030,0.014,25,10
2022041214,0.003,0.3,0.026,0.020,28,8
2022041215,0.003,0.3,0.031,0.018,35,11
2022041216,0.003,0.3,0.029,0.019,31,13
2022041217,0.003,0.3,0.027,0.020,30,11
2022041218,0.003,0.3,0.028,0.018,30,16
2022041219,0.003,0.3,0.022,0.019,27,15
2022041220,0.003,0.4,0.017,0.023,24,20
2022041221,0.003,0.3,0.011,0.028,25,17
2022041222,0.003,0.4,0.007,0.032,24,15
2022041223,0.003,0.3,0.002,0.036,20,11
2022041224,0.003,0.3,0.018,0.015,31,17
2022041301,0.003,0.3,0.019,0.021,19,12
2022041302,0.003,0.3,0.046,0.007,28,15
2022041303,0.003,0.3,0.048,0.006,38,19
2022041304,0.002,0.3,0.048,0.006,43,24
2022041305,0.002,0.3,0.045,0.008,42,21
2022041306,0.002,0.3,0.042,0.010,40,19
2022041307,0.002,0.3,0.040,0.011,41,18
2022041308,0.004,0.4,0.039,0.014,33,19
2022041309,0.004,0.4,0.030,0.018,36,23
2022041310,0.005,0.4,0.029,0.018,36,24
2022041311,0.003,0.4,0.030,0.015,33,17
2022041312,0.002,0.3,0.033,0.012,22,11
2022041313,0.002,0.3,0.037,0.010,14,11
2022041314,0.002,0.3,0.041,0.010,17,10
2022041315,0.002,0.3,0.042,0.011,11,9
2022041316,0.002,0.3,0.042,0.009,25,9
2022041317,0.002,0.3,0.042,0.008,24,10
2022041318,0.001,0.3,0.039,0.009,11,8
2022041319,0.001,0.3,0.037,0.008,9,5
2022041320,0.002,0.3,0.036,0.008,8,3
2022041321,0.002,0.3,0.037,0.008,9,4
2022041322,0.002,0.3,0.039,0.007,15,6
2022041323,0.002,0.3,0.040,0.007,16,9
2022041324,0.002,0.3,0.041,0.006,20,10
2022041401,0.001,0.3,0.041,0.005,26,7
2022041402,0.001,0.3,0.041,0.004,20,6
2022041403,0.001,0.3,0.040,0.004,17,5
2022041404,0.001,0.3,0.039,0.005,15,8
2022041405,0.001,0.3,0.039,0.005,19,8
2022041406,0.001,0.3,0.039,0.006,19,8
2022041407,0.002,0.3,0.038,0.007,20,8
2022041408,0.002,0.3,0.035,0.010,23,8
2022041409,0.001,0.3,0.032,0.011,14,7
2022041410,0.001,0.3,0.033,0.011,5,
2022041411,0.001,0.3,0.033,0.011,5,3
2022041412,0.001,0.3,0.033,0.010,5,
2022041413,0.002,0.3,0.036,0.008,7,6
2022041414,0.001,0.3,0.037,0.008,6,4
2022041415,0.002,0.3,0.036,0.009,7,7
2022041416,0.001,0.3,0.037,0.008,9,6
2022041417,0.001,0.3,0.038,0.008,8,8
2022041418,0.001,0.3,0.038,0.008,9,5
2022041419,0.001,0.3,0.037,0.009,9,7
2022041420,0.001,0.3,0.037,0.009,10,6
2022041421,0.001,0.3,0.039,0.008,13,9
2022041422,0.001,0.3,0.041,0.007,14,6
2022041423,0.001,0.3,0.043,0.006,16,8
2022041424,0.001,0.3,0.043,0.005,11,7
2022041501,0.001,0.3,0.043,0.005,20,9
2022041502,0.001,0.3,0.042,0.004,19,10
2022041503,0.001,0.3,0.042,0.004,25,7
2022041504,0.001,0.3,0.043,0.004,22,9
2022041505,0.001,0.3,0.042,0.004,17,9
2022041506,0.001,0.3,0.040,0.006,19,8
2022041507,0.001,0.3,0.039,0.007,26,7
2022041508,0.001,0.3,0.040,0.007,24,5
2022041509,0.002,0.3,0.041,0.007,21,7
2022041510,0.002,0.3,0.045,0.006,18,8
2022041511,0.002,0.3,0.045,0.008,17,8
2022041512,0.002,0.3,0.048,0.008,17,8
2022041513,0.002,0.3,0.049,0.008,24,9
2022041514,0.002,0.3,0.050,0.009,29,12
2022041515,0.003,0.3,0.044,0.013,21,11
