dataTime,so2Value,coValue,o3Value,no2Value,pm10Value,pm25Value
2022042101,0.003,0.3,0.083,0.004,42,20
2022042102,0.003,0.3,0.088,0.004,45,15
2022042103,0.003,0.3,0.089,0.004,45,14
2022042104,0.003,0.3,0.061,0.015,38,17
2022042105,0.003,0.3,0.042,0.022,35,18
2022042106,0.003,0.3,0.046,0.020,38,16
2022042107,0.003,0.3,0.052,0.017,36,16
2022042108,0.004,0.4,0.041,0.031,36,20
2022042109,0.003,0.5,0.046,0.029,41,18
2022042110,0.003,0.3,0.045,0.028,37,14
2022042111,0.003,0.3,0.056,0.020,39,18
2022042112,0.003,0.4,0.059,0.016,39,21
2022042113,0.002,0.3,0.061,0.013,30,18
2022042114,0.002,0.3,0.063,0.011,32,16
2022042115,0.002,0.3,0.050,0.021,26,15
2022042116,0.002,0.3,0.050,0.021,29,16
2022042117,0.002,0.3,0.052,0.015,29,20
2022042118,0.002,0.3,0.058,0.009,23,9
2022042119,0.002,0.3,0.053,0.009,16,13
2022042120,0.002,0.3,0.046,0.012,17,
2022042121,0.002,0.3,0.044,0.012,18,13
2022042122,0.002,0.3,0.044,0.011,21,10
2022042123,0.002,0.3,0.042,0.010,33,26
2022042124,0.002,0.3,0.040,0.009,18,11
2022042201,0.002,0.3,0.031,0.015,15,11
2022042202,0.002,0.4,0.024,0.024,24,13
2022042203,0.003,0.3,0.058,0.005,32,18
2022042204,0.004,0.4,0.054,0.006,20,15
2022042205,0.003,0.4,0.052,0.007,21,16
2022042206,0.002,0.4,0.026,0.020,22,15
2022042207,0.002,0.4,0.030,0.024,34,23
2022042208,0.003,0.4,0.022,0.035,29,17
2022042209,0.003,0.4,0.064,0.010,42,19
2022042210,0.003,0.4,0.059,0.011,35,12
2022042211,0.003,0.4,0.045,0.023,30,14
2022042212,0.003,0.4,0.041,0.026,37,19
2022042213,0.003,0.3,0.057,0.016,47,15
2022042214,0.003,0.3,0.062,0.016,35,17
2022042215,0.002,0.3,0.068,0.011,52,17
2022042216,0.002,0.4,0.068,0.011,50,16
