dataTime,so2Value,coValue,o3Value,no2Value,pm10Value,pm25Value
2022040817,0.004,0.3,0.054,0.017,72,17
2022040818,0.003,0.3,0.046,0.018,51,20
2022040819,0.003,0.3,0.045,0.019,32,8
2022040820,0.003,0.3,0.047,0.018,35,13
2022040821,0.003,0.3,0.044,0.020,35,17
2022040822,0.003,0.3,0.046,0.017,40,16
2022040823,0.003,0.3,0.052,0.011,38,15
2022040824,0.003,0.3,0.052,0.010,35,14
2022040901,0.003,0.3,0.051,0.008,33,14
2022040902,0.003,0.3,0.048,0.009,36,17
2022040903,0.003,0.3,0.046,0.010,36,18
2022040904,0.003,0.3,0.043,0.011,40,18
2022040905,0.003,0.3,0.044,0.011,41,20
2022040906,0.005,0.4,0.043,0.013,36,19
2022040907,0.006,0.3,0.038,0.016,35,15
2022040908,0.005,0.3,0.033,0.023,34,13
2022040909,0.004,0.3,0.034,0.024,25,12
2022040910,0.004,0.3,0.042,0.017,39,11
2022040911,0.004,0.3,0.047,0.011,29,13
2022040912,0.004,0.3,0.047,0.016,28,10
2022040913,0.004,0.3,0.054,0.015,38,12
2022040914,0.004,0.3,0.053,0.014,48,17
2022040915,0.003,0.3,0.053,0.014,38,15
2022040916,0.003,0.3,0.053,0.009,43,15
2022040917,0.003,0.2,0.053,0.008,28,10
2022040918,0.003,0.3,0.045,0.013,27,13
2022040919,0.003,0.3,0.046,0.011,27,11
2022040920,0.003,0.2,0.043,0.013,23,12
2022040921,0.003,0.3,0.045,0.011,26,10
2022040922,0.003,0.3,0.046,0.010,25,8
2022040923,0.003,0.3,0.048,0.009,25,9
2022040924,0.003,0.3,0.048,0.009,20,12
2022041001,0.003,0.2,0.048,0.007,21,13
2022041002,0.003,0.2,0.049,0.006,16,10
2022041003,0.003,0.2,0.049,0.006,24,12
2022041004,0.003,0.2,0.049,0.005,18,16
2022041005,0.003,0.2,0.048,0.006,16,10
2022041006,0.003,0.2,0.045,0.008,14,12
2022041007,0.003,0.2,0.043,0.012,24,15
2022041008,0.003,0.2,0.045,0.009,23,10
2022041009,0.003,0.3,0.046,0.009,15,14
2022041010,0.004,0.2,0.050,0.006,15,11
2022041011,0.004,0.2,0.052,0.005,22,11
2022041012,0.004,0.2,0.055,0.004,27,13
2022041013,0.004,0.3,0.056,0.004,21,14
2022041014,0.004,0.2,0.056,0.004,24,20
2022041015,0.004,0.2,0.056,0.004,27,14
2022041016,0.004,0.3,0.049,0.010,23,15
2022041017,0.004,0.3,0.048,0.009,30,24
2022041018,0.004,0.3,0.043,0.012,27,21
2022041019,0.004,0.3,0.042,0.012,32,25
2022041020,0.003,0.3,0.047,0.006,36,23
2022041021,0.003,0.3,0.046,0.007,33,23
2022041022,0.003,0.3,0.041,0.011,27,26
2022041023,0.003,0.3,0.040,0.012,31,20
2022041024,0.003,0.3,0.042,0.009,31,25
2022041101,0.003,0.3,0.043,0.007,32,24
2022041102,0.003,0.3,0.040,0.008,34,22
2022041103,0.004,0.3,0.038,0.009,34,24
2022041104,0.004,0.3,0.034,0.010,34,23
2022041105,0.003,0.3,0.033,0.011,35,21
2022041106,0.003,0.3,0.018,0.025,30,20
2022041107,0.004,0.4,0.003,0.042,30,24
2022041108,0.004,0.4,0.005,0.041,40,25
2022041109,0.005,0.3,0.015,0.033,45,26
2022041110,0.005,0.3,0.021,0.025,38,25
2022041111,0.005,0.3,0.026,0.019,36,19
2022041112,0.005,0.3,0.029,0.016,40,25
2022041113,0.004,0.3,0.031,0.015,38,17
2022041114,0.004,0.3,0.029,0.020,32,16
2022041115,0.003,0.3,0.033,0.012,34,22
2022041116,0.003,0.3,0.027,0.016,20,17
2022041117,0.003,0.3,0.027,0.017,26,18
2022041118,0.004,0.3,0.019,0.025,23,16
2022041119,0.004,0.3,0.019,0.028,32,18
2022041120,0.003,0.3,0.020,0.025,35,24
2022041121,0.003,0.3,0.016,0.026,33,25
2022041122,0.003,0.4,0.011,0.030,33,26
2022041123,0.003,0.3,0.021,0.017,27,21
2022041124,0.003,0.3,0.023,0.014,25,15
2022041201,0.003,0.2,0.025,0.012,18,9
2022041202,0.003,0.2,0.028,0.007,15,10
2022041203,0.003,0.2,0.024,0.011,14,9
2022041204,0.003,0.2,0.026,0.007,10,7
2022041205,0.003,0.2,0.024,0.008,8,6
2022041206,0.003,0.2,0.020,0.013,6,
2022041207,0.003,0.3,0.009,0.023,12,
2022041208,0.003,0.3,0.008,0.026,15,14
2022041209,0.003,0.3,0.015,0.020,17,15
2022041210,0.003,0.3,0.027,0.011,20,12
2022041211,0.003,0.2,0.034,0.008,17,11
2022041212,0.003,0.3,0.030,0.015,17,11
2022041213,0.003,0.3,0.035,0.012,21,13
2022041214,0.003,0.3,0.029,0.016,25,11
2022041215,0.004,0.3,0.030,0.018,32,17
2022041216,0.003,0.3,0.028,0.019,29,17
2022041217,0.003,0.3,0.029,0.018,23,15
2022041218,0.003,0.3,0.027,0.017,27,11
2022041219,0.003,0.3,0.022,0.019,25,16
2022041220,0.003,0.3,0.020,0.021,13,13
2022041221,0.003,0.3,0.015,0.026,18,16
2022041222,0.003,0.3,0.019,0.020,22,14
2022041223,0.003,0.3,0.025,0.010,22,11
2022041224,0.003,0.3,0.027,0.010,13,11
2022041301,0.003,0.3,0.035,0.007,21,11
2022041302,0.003,0.3,0.045,0.004,24,18
2022041303,0.003,0.3,0.047,0.003,35,24
2022041304,0.003,0.3,0.046,0.003,35,19
2022041305,0.003,0.3,0.045,0.003,33,25
2022041306,0.003,0.3,0.041,0.005,37,22
2022041307,0.003,0.3,0.037,0.010,35,21
2022041308,0.003,0.3,0.032,0.015,29,23
2022041309,0.004,0.4,0.022,0.022,32,22
2022041310,0.005,0.4,0.021,0.023,29,24
2022041311,0.004,0.3,0.022,0.019,30,20
2022041312,0.003,0.3,0.025,0.015,14,11
2022041313,0.003,0.3,0.029,0.014,14,11
2022041314,,,,,20,10
2022041315,,,,,13,10
2022041316,0.003,0.3,0.034,0.011,25,11
2022041317,0.003,0.3,0.035,0.009,17,10
2022041318,0.003,0.3,0.034,0.008,18,11
2022041319,0.003,0.3,0.032,0.008,5,
2022041320,0.003,0.3,0.032,0.008,13,5
2022041321,0.003,0.3,0.032,0.008,10,8
2022041322,0.003,0.3,0.034,0.007,10,9
2022041323,0.003,0.3,0.035,0.006,10,
2022041324,0.003,0.3,0.037,0.005,15,9
2022041401,0.003,0.2,0.037,0.004,14,11
2022041402,0.003,0.2,0.037,0.003,12,8
2022041403,0.003,0.2,0.036,0.003,11,10
2022041404,0.003,0.2,0.036,0.003,16,13
2022041405,0.003,0.2,0.036,0.003,23,12
2022041406,0.003,0.2,0.035,0.005,14,10
2022041407,0.003,0.3,0.032,0.008,11,8
2022041408,0.003,0.3,0.031,0.010,18,12
2022041409,0.003,0.3,0.026,0.013,12,11
2022041410,0.003,0.3,0.027,0.012,9,7
2022041411,0.003,0.3,0.026,0.013,7,7
2022041412,0.003,0.3,0.027,0.012,11,6
2022041413,0.003,0.3,0.030,0.010,8,7
2022041414,0.003,0.3,0.031,0.009,8,
2022041415,0.003,0.3,0.030,0.010,13,6
2022041416,0.003,0.3,0.031,0.010,10,10
2022041417,0.003,0.3,0.031,0.010,11,11
2022041418,0.003,0.3,0.030,0.011,12,7
2022041419,0.003,0.4,0.030,0.013,13,8
2022041420,0.003,0.4,0.031,0.011,15,10
2022041421,0.003,0.3,0.035,0.008,16,15
2022041422,0.003,0.3,0.035,0.008,12,
2022041423,0.003,0.3,0.036,0.007,12,11
2022041424,0.003,0.3,0.037,0.006,16,12
2022041501,0.003,0.3,0.037,0.005,15,12
2022041502,0.003,0.3,0.035,0.005,15,9
2022041503,0.003,0.3,0.036,0.004,20,12
2022041504,0.003,0.3,0.037,0.003,20,9
2022041505,0.003,0.3,0.036,0.004,20,7
2022041506,0.003,0.3,0.034,0.006,20,9
2022041507,0.003,0.3,0.031,0.010,18,9
2022041508,0.003,0.3,0.031,0.011,21,14
2022041509,0.003,0.3,0.028,0.015,15,12
2022041510,0.003,0.3,0.032,0.013,19,11
2022041511,0.003,0.3,0.035,0.012,22,8
2022041512,0.003,0.3,0.037,0.011,20,9
2022041513,0.003,0.3,0.041,0.007,20,15
2022041514,0.003,0.3,0.042,0.009,18,9
2022041515,0.004,0.3,0.041,0.011,27,16
2022041516,0.005,0.3,0.040,0.012,23,9
2022041517,0.005,0.3,0.039,0.012,27,9
2022041518,0.005,0.3,0.041,0.010,25,14
2022041519,0.006,0.3,0.037,0.014,20,12
2022041520,0.006,0.3,0.036,0.012,20,10
2022041521,0.004,0.3,0.037,0.010,16,15
2022041522,0.003,0.3,0.039,0.008,15,9
2022041523,0.003,0.3,0.041,0.006,20,9
2022041524,0.003,0.3,0.041,0.006,17,7
2022041601,0.003,0.3,0.041,0.006,13,12
2022041602,0.004,0.3,0.041,0.005,12,9
2022041603,0.004,0.3,0.041,0.005,15,9
2022041604,0.004,0.3,0.043,0.004,15,8
2022041605,0.003,0.3,0.043,0.004,8,8
2022041606,0.003,0.3,0.040,0.006,8,
2022041607,0.003,0.3,0.037,0.010,8,8
2022041608,0.003,0.3,0.036,0.012,10,10
2022041609,0.003,0.3,0.038,0.011,12,9
2022041610,0.003,0.3,0.042,0.007,16,8
2022041611,0.006,0.3,0.044,0.010,9,
2022041612,0.006,0.3,0.047,0.009,19,9
2022041613,0.004,0.3,0.048,0.007,24,13
2022041614,0.004,0.3,0.049,0.007,18,9
2022041615,0.003,0.2,0.050,0.005,18,10
