dataTime,so2Value,coValue,o3Value,no2Value,pm10Value,pm25Value
2022042101,0.003,0.3,0.066,0.009,33,24
2022042102,0.003,0.3,0.067,0.007,31,15
2022042103,0.003,0.3,0.066,0.009,34,17
2022042104,0.004,0.3,0.059,0.014,31,20
2022042105,0.005,0.3,0.046,0.023,29,22
2022042106,0.004,0.3,0.040,0.024,31,19
2022042107,0.004,0.3,0.031,0.037,27,18
2022042108,0.004,0.4,0.021,0.050,30,24
2022042109,0.004,0.4,0.025,0.048,33,20
2022042110,0.004,0.3,0.027,0.046,39,21
2022042111,0.003,0.3,0.038,0.034,44,16
2022042112,0.003,0.3,0.048,0.022,43,24
2022042113,0.003,0.3,0.053,0.015,27,23
2022042114,0.003,0.3,0.048,0.016,29,23
2022042115,0.003,0.3,0.043,0.017,22,14
2022042116,0.003,0.3,0.043,0.017,23,18
2022042117,0.003,0.3,0.046,0.013,21,13
2022042118,0.003,0.3,0.042,0.017,20,13
2022042119,0.003,0.3,0.042,0.014,16,15
2022042120,0.003,0.4,0.034,0.018,17,14
2022042121,0.003,0.3,0.025,0.022,18,
2022042122,0.003,0.4,0.017,0.025,19,
2022042123,0.003,0.4,0.011,0.030,29,26
2022042124,0.003,0.4,0.013,0.029,32,28
2022042201,0.003,0.3,0.014,0.027,35,31
2022042202,0.003,0.3,0.024,0.015,34,30
2022042203,0.003,0.3,0.037,0.009,27,27
2022042204,0.003,0.3,0.033,0.010,24,24
2022042205,0.003,0.3,0.028,0.013,27,24
2022042206,0.003,0.3,0.024,0.016,29,27
2022042207,0.003,0.3,0.029,0.016,35,30
2022042208,0.003,0.3,0.026,0.022,29,23
2022042209,0.003,0.3,0.033,0.022,27,23
2022042210,0.004,0.3,0.040,0.021,34,25
2022042211,0.003,0.3,0.055,0.012,33,20
2022042212,0.003,0.3,0.052,0.017,25,15
2022042213,0.003,0.3,0.051,0.017,32,18
2022042214,0.003,0.3,0.054,0.015,32,18
2022042215,0.003,0.3,0.054,0.018,37,20
2022042216,0.003,0.3,0.066,0.009,42,19
