dataTime,so2Value,coValue,o3Value,no2Value,pm10Value,pm25Value
2022040817,0.004,0.4,0.030,0.058,56,17
2022040818,0.003,0.5,0.024,0.057,56,18
2022040819,0.003,0.4,0.025,0.050,46,16
2022040820,0.003,0.4,0.036,0.036,38,9
2022040821,0.003,0.3,0.040,0.029,47,16
2022040822,0.003,0.3,0.050,0.018,45,14
2022040823,0.003,0.3,0.051,0.015,40,11
2022040824,0.003,0.3,0.050,0.015,42,20
2022040901,0.003,0.3,0.047,0.015,45,14
2022040902,0.003,0.3,0.046,0.013,42,11
2022040903,0.002,0.4,0.032,0.022,37,16
2022040904,0.002,0.4,0.019,0.033,42,17
2022040905,0.002,0.3,0.031,0.021,37,18
2022040906,0.003,0.4,0.012,0.043,38,20
2022040907,0.003,0.6,0.004,0.056,39,21
2022040908,0.004,0.4,0.010,0.051,55,22
2022040909,0.004,0.4,0.021,0.043,49,17
2022040910,0.004,0.4,0.022,0.044,47,14
2022040911,0.004,0.4,0.024,0.044,52,18
2022040912,0.004,0.4,0.026,0.047,37,10
2022040913,0.003,0.4,0.034,0.039,37,8
2022040914,0.003,0.3,0.037,0.031,42,9
2022040915,0.003,0.3,0.038,0.038,40,12
2022040916,0.003,0.3,0.034,0.038,39,10
2022040917,0.003,0.3,0.030,0.043,27,6
2022040918,0.003,0.4,0.031,0.037,33,7
2022040919,0.003,0.4,0.027,0.038,27,11
2022040920,0.003,0.3,0.038,0.023,29,10
2022040921,0.003,0.3,0.031,0.029,32,14
2022040922,0.003,0.3,0.037,0.023,36,9
2022040923,0.003,0.3,0.035,0.024,28,8
2022040924,0.003,0.3,0.039,0.020,34,14
2022041001,0.003,0.3,0.039,0.018,28,12
2022041002,0.003,0.3,0.042,0.014,29,12
2022041003,0.003,0.3,0.039,0.016,27,7
2022041004,0.003,0.2,0.042,0.013,28,10
2022041005,0.003,0.2,0.047,0.008,25,8
2022041006,0.003,0.2,0.046,0.011,17,7
2022041007,0.003,0.2,0.043,0.016,15,8
2022041008,0.003,0.2,0.037,0.025,26,9
2022041009,0.003,0.2,0.044,0.015,25,7
2022041010,0.003,0.3,0.041,0.016,32,10
2022041011,0.003,0.2,0.043,0.016,30,8
2022041012,0.003,0.3,0.042,0.018,31,14
2022041013,0.004,0.3,0.045,0.018,29,11
2022041014,0.004,0.3,0.045,0.020,37,10
2022041015,0.004,0.3,0.047,0.018,41,13
2022041016,0.003,0.3,0.048,0.016,42,17
2022041017,0.003,0.3,0.038,0.027,37,14
2022041018,0.003,0.3,0.038,0.022,41,21
2022041019,0.003,0.3,0.040,0.018,43,17
2022041020,0.003,0.3,0.042,0.015,42,21
2022041021,0.003,0.3,0.038,0.018,42,17
2022041022,0.003,0.3,0.039,0.016,35,18
2022041023,0.003,0.3,0.041,0.014,36,21
2022041024,0.003,0.3,0.041,0.012,29,15
2022041101,0.003,0.3,0.040,0.011,38,23
2022041102,0.003,0.3,0.036,0.014,37,16
2022041103,0.003,0.2,0.041,0.007,34,18
2022041104,0.003,0.3,0.032,0.015,33,17
2022041105,0.003,0.3,0.016,0.030,33,19
2022041106,0.003,0.4,0.005,0.045,39,25
2022041107,0.004,0.5,0.003,0.047,50,20
2022041108,0.004,0.5,0.005,0.050,53,30
2022041109,0.004,0.6,0.007,0.054,64,26
2022041110,0.004,0.4,0.015,0.039,63,26
2022041111,0.004,0.3,0.018,0.031,49,16
2022041112,0.004,0.3,0.023,0.028,50,18
2022041113,0.004,0.3,0.022,0.031,50,22
2022041114,0.004,0.3,0.021,0.035,48,17
2022041115,0.003,0.3,0.024,0.026,53,17
2022041116,0.003,0.3,0.021,0.026,31,16
2022041117,0.003,0.3,0.019,0.029,29,17
2022041118,0.003,0.3,0.019,0.028,38,17
2022041119,0.003,0.3,0.019,0.029,46,17
2022041120,0.003,0.4,0.012,0.037,48,22
2022041121,0.003,0.4,0.009,0.037,51,25
2022041122,0.003,0.4,0.009,0.034,43,25
2022041123,0.003,0.3,0.023,0.016,43,23
2022041124,0.003,0.3,0.021,0.016,24,14
2022041201,0.003,0.3,0.026,0.010,14,11
2022041202,0.003,0.3,0.026,0.011,10,9
2022041203,0.003,0.3,0.019,0.015,15,8
2022041204,0.003,0.2,0.025,0.010,12,9
2022041205,0.003,0.2,0.022,0.011,10,
2022041206,0.003,0.2,0.016,0.020,11,8
2022041207,0.003,0.3,0.006,0.039,14,6
2022041208,0.003,0.4,0.007,0.035,31,11
2022041209,0.003,0.4,0.012,0.030,40,11
2022041210,0.003,0.3,0.016,0.028,40,7
