dataTime,so2Value,coValue,o3Value,no2Value,pm10Value,pm25Value
2022042101,0.003,0.4,0.062,0.021,48,14
2022042102,0.003,0.4,0.056,0.025,49,18
2022042103,0.003,0.3,0.050,0.022,43,20
2022042104,0.003,0.3,0.044,0.020,34,17
2022042105,0.003,0.3,0.029,0.032,29,19
2022042106,0.003,0.3,0.013,0.049,38,19
2022042107,0.003,0.4,0.008,0.054,44,20
2022042108,0.003,0.5,0.004,0.059,44,17
2022042109,0.004,0.6,0.004,0.065,60,24
2022042110,0.004,0.5,0.014,0.065,66,20
2022042111,0.003,0.4,0.028,0.054,62,22
2022042112,0.003,0.4,0.039,0.040,69,18
2022042113,0.003,0.3,0.044,0.031,37,25
2022042114,0.003,0.3,0.040,0.031,33,19
2022042115,0.003,0.3,0.044,0.017,32,14
2022042116,0.003,0.3,0.034,0.029,19,12
2022042117,0.003,0.3,0.038,0.021,29,12
2022042118,0.003,0.3,0.035,0.022,18,13
2022042119,0.002,0.3,0.034,0.021,10,9
2022042120,0.002,0.3,0.035,0.020,16,11
2022042121,0.002,0.3,0.028,0.025,23,10
2022042122,0.002,0.4,0.016,0.029,31,23
2022042123,0.002,0.4,0.014,0.026,40,24
2022042124,0.002,0.4,0.013,0.026,39,24
2022042201,0.002,0.3,0.017,0.025,38,26
2022042202,0.002,0.3,0.026,0.018,42,26
2022042203,0.002,0.3,0.037,0.012,32,24
2022042204,0.002,0.3,0.039,0.010,29,17
2022042205,0.002,0.3,0.031,0.014,33,18
2022042206,0.002,0.3,0.018,0.027,36,27
2022042207,0.003,0.4,0.012,0.042,43,26
2022042208,0.003,0.4,0.014,0.042,49,29
2022042209,0.003,0.4,0.017,0.046,57,27
2022042210,0.003,0.4,0.030,0.043,51,24
2022042211,0.003,0.4,0.043,0.039,53,23
2022042212,0.003,0.4,0.052,0.032,50,17
2022042213,0.003,0.4,0.047,0.035,57,20
2022042214,0.003,0.3,0.051,0.036,61,17
2022042215,0.003,0.3,0.053,0.039,62,18
2022042216,0.003,0.3,0.058,0.031,60,19
