dataTime,so2Value,coValue,o3Value,no2Value,pm10Value,pm25Value
2022040817,0.003,0.2,0.064,0.018,37,17
2022040818,0.003,0.3,0.059,0.022,44,18
2022040819,0.003,0.3,0.051,0.025,40,16
2022040820,0.003,0.2,0.053,0.017,38,22
2022040821,0.003,0.3,0.051,0.017,37,14
2022040822,0.003,0.2,0.053,0.013,35,18
2022040823,0.003,0.2,0.055,0.011,37,15
2022040824,0.003,0.2,0.063,0.009,33,18
2022040901,0.003,0.2,0.062,0.009,33,11
2022040902,0.003,0.2,0.062,0.007,36,16
2022040903,0.003,0.2,0.065,0.005,34,13
2022040904,0.003,0.2,0.063,0.005,35,16
2022040905,0.003,0.2,0.060,0.005,36,17
2022040906,0.003,0.2,0.057,0.005,32,15
2022040907,0.003,0.2,0.043,0.014,26,13
2022040908,0.003,0.2,0.053,0.006,23,13
2022040909,0.003,0.2,0.053,0.006,27,10
2022040910,0.003,0.2,0.053,0.007,30,13
2022040911,0.003,0.2,0.053,0.009,25,11
2022040912,0.003,0.2,0.057,0.010,27,9
2022040913,0.003,0.2,0.061,0.007,27,12
2022040914,0.003,0.2,0.063,0.007,28,8
2022040915,0.003,0.2,0.062,0.007,26,8
2022040916,0.003,0.2,0.061,0.007,26,9
2022040917,0.003,0.2,0.059,0.007,27,14
2022040918,0.003,0.2,0.057,,21,10
2022040919,0.003,0.2,0.054,0.009,19,9
2022040920,0.003,0.2,0.045,0.016,19,8
2022040921,0.003,0.2,0.049,0.011,22,9
2022040922,0.003,0.2,0.048,0.011,21,14
2022040923,0.003,0.2,0.041,0.014,21,14
2022040924,0.003,0.2,0.045,0.012,18,11
2022041001,0.003,0.2,0.044,0.012,21,13
2022041002,0.003,0.2,0.045,0.010,20,10
2022041003,0.003,0.2,0.049,0.007,23,11
2022041004,0.003,0.2,0.049,0.006,20,16
2022041005,0.003,0.2,0.049,0.006,19,12
2022041006,0.003,0.2,0.053,0.005,21,14
2022041007,0.003,0.2,0.058,0.004,18,10
2022041008,0.003,0.2,0.057,0.005,21,10
2022041009,0.003,0.2,0.059,0.004,18,9
2022041010,0.003,0.1,0.061,0.004,15,10
2022041011,0.003,0.2,0.060,0.005,15,13
2022041012,0.003,0.2,0.063,0.006,16,12
2022041013,0.003,0.2,0.065,0.005,18,15
2022041014,0.003,0.2,0.066,0.005,15,
2022041015,0.003,0.2,0.066,0.006,20,9
2022041016,0.003,0.2,0.065,0.006,21,14
2022041017,0.003,0.2,0.063,0.006,26,15
2022041018,0.003,0.2,0.058,0.008,24,18
2022041019,0.003,0.2,0.058,0.006,29,19
2022041020,0.003,0.2,0.057,0.005,22,20
2022041021,0.003,0.2,0.055,0.005,35,20
2022041022,0.003,0.2,0.054,0.006,25,22
2022041023,0.003,0.2,0.050,0.007,27,18
2022041024,0.003,0.2,0.052,0.005,27,21
2022041101,0.003,0.2,0.054,0.003,28,18
2022041102,0.003,0.2,0.054,0.002,30,18
2022041103,0.003,0.2,0.054,0.002,31,20
2022041104,0.003,0.2,0.051,0.003,31,25
2022041105,0.003,0.2,0.042,0.007,29,20
2022041106,0.003,0.2,0.035,0.008,30,19
2022041107,0.002,0.2,0.027,0.012,27,22
2022041108,0.003,0.3,0.021,0.023,28,23
2022041109,0.003,0.2,0.037,0.010,31,22
2022041110,0.003,0.2,0.038,0.007,32,17
2022041111,0.003,0.2,0.035,0.011,32,14
2022041112,0.003,0.2,0.036,0.012,31,16
2022041113,0.003,0.2,0.035,0.016,33,17
2022041114,0.003,0.2,0.036,0.016,34,19
2022041115,0.003,0.2,0.037,0.015,34,18
2022041116,0.003,0.2,0.038,0.008,33,18
2022041117,0.002,0.2,0.035,0.009,18,18
2022041118,0.003,0.2,0.032,0.012,20,17
2022041119,0.002,0.2,0.029,0.013,25,18
2022041120,0.002,0.2,0.029,0.015,19,17
2022041121,0.002,0.2,0.031,0.011,23,21
2022041122,0.002,0.2,0.030,0.010,21,18
2022041123,0.002,0.1,0.038,0.004,12,11
2022041124,0.002,0.1,0.037,0.004,12,9
2022041201,0.002,0.1,0.037,0.003,13,8
2022041202,0.002,0.1,0.036,0.003,8,6
2022041203,0.002,0.1,0.035,0.003,8,5
2022041204,0.002,0.1,0.032,0.004,8,7
2022041205,0.002,0.1,0.033,0.004,13,10
2022041206,0.002,0.1,0.033,0.004,13,9
2022041207,0.002,0.1,0.033,0.005,10,9
2022041208,0.002,0.2,0.033,0.006,9,9
2022041209,0.002,0.2,0.037,0.006,9,6
2022041210,0.002,0.2,0.039,0.008,8,6
2022041211,,,,,,
2022041212,,,,,,
2022041213,,,,,,
2022041214,,,,,,
2022041215,,,,,,
2022041216,,,,,,
2022041217,,,,,,
2022041218,0.002,0.2,0.040,0.021,,
2022041219,0.002,0.2,0.032,0.026,31,21
2022041220,0.002,0.2,0.028,0.026,33,17
2022041221,0.002,0.2,0.030,0.023,28,18
2022041222,0.002,0.2,0.036,0.015,32,22
2022041223,0.002,0.2,0.042,0.011,27,16
2022041224,0.002,0.2,0.045,0.010,29,18
2022041301,0.002,0.2,0.053,0.006,32,27
2022041302,0.002,0.2,0.054,0.005,41,23
2022041303,0.002,0.2,0.053,0.005,46,27
2022041304,0.002,0.2,0.051,0.006,47,24
2022041305,0.002,0.2,0.046,0.007,43,28
2022041306,0.002,0.2,0.045,0.009,44,24
2022041307,0.003,0.3,0.040,0.016,44,21
2022041308,0.002,0.3,0.036,0.015,40,28
2022041309,0.002,0.3,0.033,0.016,20,14
2022041310,0.002,0.2,0.038,0.009,17,14
2022041311,0.002,0.2,0.037,0.009,14,11
2022041312,0.002,0.2,0.038,0.009,8,6
2022041313,0.002,0.2,0.041,0.009,21,6
2022041314,0.002,0.2,0.044,0.008,13,8
2022041315,0.002,0.2,0.046,0.008,18,9
2022041316,0.002,0.2,0.045,0.008,18,8
2022041317,0.002,0.2,0.043,0.008,18,6
2022041318,0.002,0.2,0.042,0.007,14,5
2022041319,0.002,0.2,0.040,0.008,7,4
2022041320,0.002,0.2,0.040,0.006,9,2
