dataTime,so2Value,coValue,o3Value,no2Value,pm10Value,pm25Value
2022042101,0.003,0.2,0.084,0.008,37,21
2022042102,0.003,0.2,0.078,0.008,38,22
2022042103,0.003,0.2,0.069,0.008,34,20
2022042104,0.003,0.2,0.064,0.007,33,17
2022042105,0.002,0.2,0.062,0.008,30,20
2022042106,0.002,0.2,0.062,0.008,29,14
2022042107,0.002,0.2,0.058,0.011,27,19
2022042108,0.003,0.4,0.041,0.027,26,18
2022042109,0.003,0.3,0.032,0.045,37,27
2022042110,0.003,0.3,0.051,0.032,36,17
2022042111,0.003,0.3,0.038,0.043,47,19
2022042112,0.003,0.3,0.054,0.027,41,17
2022042113,0.002,0.3,0.062,0.019,29,15
2022042114,0.002,0.3,0.049,0.025,26,19
2022042115,0.002,0.2,0.051,0.017,25,19
2022042116,0.002,0.3,0.046,0.022,18,14
2022042117,0.002,0.2,0.051,0.015,21,17
2022042118,0.002,0.3,0.041,0.019,20,14
2022042119,0.002,0.3,0.042,0.017,19,17
2022042120,0.002,0.3,0.019,0.024,21,14
2022042121,0.002,0.3,0.029,0.014,20,18
2022042122,0.002,0.3,0.029,0.017,22,18
2022042123,0.002,0.3,0.025,0.013,27,23
2022042124,0.002,0.3,0.029,0.011,23,17
2022042201,0.002,0.2,0.034,0.009,26,17
2022042202,0.002,0.2,0.039,0.007,20,16
2022042203,0.002,0.2,0.041,0.007,17,14
2022042204,0.002,0.3,0.038,0.009,23,18
2022042205,0.002,0.3,0.038,0.011,27,16
2022042206,0.003,0.4,0.032,0.019,23,18
2022042207,0.002,0.4,0.024,0.027,35,26
2022042208,0.003,0.3,0.058,0.008,34,28
2022042209,0.002,0.3,0.063,0.009,28,20
2022042210,0.002,0.3,0.072,0.009,30,16
2022042211,0.002,0.3,0.077,0.010,39,18
2022042212,0.002,0.3,0.082,0.009,41,25
2022042213,0.002,0.3,0.084,0.008,39,23
2022042214,0.002,0.3,0.084,0.009,44,23
2022042215,0.002,0.3,0.087,0.009,42,19
2022042216,0.002,0.3,0.085,0.010,51,22
