dataTime,so2Value,coValue,o3Value,no2Value,pm10Value,pm25Value
2022040817,0.003,0.3,0.056,0.011,52,16
2022040818,0.003,0.3,0.052,0.011,42,17
2022040819,0.003,0.3,0.051,0.014,37,12
2022040820,0.002,0.3,0.047,0.016,42,20
2022040821,0.002,0.3,0.048,0.014,41,21
2022040822,0.002,0.3,0.039,0.022,39,18
2022040823,0.002,0.4,0.021,0.038,41,18
2022040824,0.003,0.3,0.037,0.022,49,22
2022040901,0.002,0.3,0.040,0.018,46,20
2022040902,0.002,0.4,0.038,0.018,42,19
2022040903,0.003,0.5,0.024,0.022,45,19
2022040904,0.003,0.6,0.019,0.027,78,58
2022040905,0.003,0.5,0.015,0.034,90,66
2022040906,0.003,0.4,0.006,0.046,61,37
2022040907,0.003,0.4,0.005,0.047,42,22
2022040908,0.004,0.4,0.019,0.037,45,26
2022040909,0.005,0.4,0.028,0.030,48,25
2022040910,0.004,0.3,0.043,0.016,48,22
2022040911,0.004,0.3,0.050,0.014,43,14
2022040912,0.003,0.3,0.059,0.011,36,16
2022040913,0.003,0.3,0.065,0.007,41,20
2022040914,0.003,0.3,0.059,0.010,45,18
2022040915,0.003,0.3,0.058,0.008,44,18
2022040916,0.003,0.3,0.056,0.008,39,16
2022040917,0.003,0.3,0.053,0.008,34,14
2022040918,0.003,0.3,0.052,0.008,31,13
2022040919,0.003,0.3,0.048,0.010,29,11
2022040920,0.003,0.3,0.039,0.015,28,11
2022040921,0.003,0.3,0.034,0.019,27,11
2022040922,0.003,0.3,0.027,0.029,29,14
2022040923,0.003,0.3,0.033,0.022,26,13
2022040924,0.003,0.3,0.036,0.017,25,12
2022041001,0.002,0.3,0.037,0.015,27,16
2022041002,0.002,0.3,0.026,0.025,29,16
2022041003,0.003,0.3,0.036,0.017,23,13
2022041004,0.002,0.3,0.035,0.016,22,10
2022041005,0.003,0.3,0.029,0.019,24,14
2022041006,0.003,0.4,0.017,0.031,24,16
2022041007,0.002,0.3,0.017,0.035,24,21
2022041008,0.003,0.3,0.032,0.021,26,19
2022041009,0.003,0.3,0.039,0.014,34,17
2022041010,0.003,0.3,0.046,0.009,21,15
2022041011,0.003,0.3,0.050,0.007,29,13
2022041012,0.003,0.3,0.053,0.007,34,12
2022041013,0.003,0.3,0.054,0.007,27,17
2022041014,0.003,0.3,0.053,0.008,25,14
2022041015,0.003,0.3,0.053,0.008,28,17
2022041016,0.003,0.3,0.054,0.006,26,21
2022041017,0.003,0.3,0.052,0.005,28,22
2022041018,0.003,0.3,0.051,0.005,28,22
2022041019,0.003,0.3,0.050,0.007,30,25
2022041020,0.003,0.3,0.051,0.005,33,29
2022041021,0.003,0.3,0.048,0.008,28,24
2022041022,0.003,0.3,0.040,0.011,30,28
2022041023,0.003,0.3,0.032,0.017,34,26
2022041024,0.003,0.3,0.019,0.027,31,30
2022041101,0.003,0.3,0.011,0.033,34,27
2022041102,0.003,0.3,0.012,0.030,38,33
2022041103,0.003,0.3,0.012,0.029,43,35
2022041104,0.003,0.4,0.012,0.031,37,29
2022041105,0.003,0.4,0.008,0.034,35,28
2022041106,0.003,0.4,0.004,0.037,37,29
2022041107,0.003,0.5,0.004,0.039,35,28
2022041108,0.004,0.6,0.004,0.039,41,32
2022041109,0.004,0.5,0.008,0.040,72,45
2022041110,0.004,0.3,0.025,0.022,67,41
2022041111,0.004,0.3,0.031,0.015,40,25
2022041112,0.004,0.3,0.037,0.010,39,21
2022041113,0.004,0.3,0.040,0.010,33,23
2022041114,0.003,0.3,0.033,0.017,33,22
2022041115,0.003,0.3,0.029,0.020,32,23
2022041116,0.003,0.3,0.033,0.018,27,22
2022041117,0.003,0.3,0.037,0.014,30,26
2022041118,0.003,0.3,0.040,0.011,42,32
2022041119,0.003,0.3,0.034,0.015,35,27
2022041120,0.003,0.3,0.033,0.012,34,25
2022041121,0.003,0.3,0.030,0.011,31,23
2022041122,0.003,0.3,0.018,0.021,29,24
2022041123,0.003,0.4,0.009,0.029,33,23
2022041124,0.003,0.4,0.009,0.029,40,29
2022041201,0.003,0.3,0.008,0.030,29,27
2022041202,0.003,0.4,0.005,0.034,27,23
2022041203,0.003,0.3,0.004,0.035,24,23
2022041204,0.003,0.3,0.006,0.033,19,19
2022041205,0.003,0.3,0.010,0.023,16,14
2022041206,0.003,0.3,0.009,0.024,18,17
2022041207,0.003,0.3,0.013,0.019,38,23
2022041208,0.003,0.3,0.014,0.019,20,17
2022041209,0.003,0.3,0.019,0.016,29,19
2022041210,0.003,0.3,0.025,0.014,32,14
2022041211,0.003,0.3,0.028,0.010,20,16
2022041212,0.003,0.3,0.025,0.012,17,13
2022041213,0.003,0.3,0.029,0.011,18,15
2022041214,0.003,0.3,0.032,0.012,19,13
2022041215,0.004,0.3,0.035,0.010,26,13
2022041216,0.003,0.3,0.036,0.009,23,14
2022041217,0.003,0.3,0.036,0.009,25,13
2022041218,0.003,0.3,0.036,0.008,18,10
2022041219,0.003,0.3,0.033,0.009,16,10
2022041220,0.003,0.3,0.026,0.014,9,
2022041221,0.003,0.3,0.019,0.019,16,13
2022041222,0.003,0.3,0.019,0.017,21,14
2022041223,0.003,0.3,0.019,0.019,23,16
2022041224,0.002,0.3,0.021,0.018,21,18
2022041301,0.003,0.3,0.022,0.015,17,14
2022041302,0.003,0.3,0.026,0.016,17,16
2022041303,0.003,0.4,0.037,0.010,26,20
2022041304,0.003,0.3,0.038,0.009,34,26
2022041305,0.003,0.3,0.033,0.013,34,27
2022041306,0.003,0.3,0.034,0.012,34,21
2022041307,0.003,0.3,0.023,0.023,34,19
2022041308,0.003,0.4,0.016,0.032,37,22
2022041309,0.003,0.4,0.019,0.026,40,27
2022041310,0.004,0.4,0.018,0.026,39,27
2022041311,0.004,0.4,0.018,0.025,44,23
2022041312,0.003,0.3,0.021,0.020,35,18
2022041313,0.003,0.3,0.030,0.012,28,11
2022041314,0.003,0.3,0.030,0.017,25,8
2022041315,0.003,0.3,0.029,0.019,69,13
2022041316,0.003,0.3,0.030,0.018,56,15
2022041317,0.003,0.3,0.031,0.015,48,15
2022041318,0.003,0.3,0.036,0.008,27,10
2022041319,0.003,0.3,0.035,0.007,24,8
2022041320,0.003,0.3,0.034,0.007,6,6
2022041321,0.003,0.3,0.033,0.007,8,7
2022041322,0.003,0.3,0.035,0.006,13,10
2022041323,0.004,0.3,0.035,0.006,16,12
2022041324,0.003,0.3,0.039,0.005,19,14
2022041401,0.003,0.3,0.039,0.004,16,11
2022041402,0.003,0.3,0.039,0.004,14,8
2022041403,0.003,0.3,0.037,0.004,16,10
2022041404,0.003,0.3,0.037,0.004,13,8
2022041405,0.003,0.3,0.037,0.004,18,13
2022041406,0.003,0.3,0.035,0.006,17,12
2022041407,0.003,0.3,0.032,0.010,19,10
2022041408,0.003,0.3,0.030,0.013,22,12
2022041409,0.003,0.3,0.030,0.012,18,11
2022041410,0.003,0.3,0.024,0.018,7,
2022041411,0.003,0.3,0.029,0.012,14,9
2022041412,,,,,,
2022041413,0.003,0.3,0.032,0.008,,
2022041414,0.003,0.3,0.034,0.007,9,7
2022041415,0.003,0.3,0.032,0.009,13,6
2022041416,0.003,0.3,0.033,0.010,12,5
2022041417,0.003,0.3,0.033,0.009,11,5
2022041418,0.003,0.3,0.032,0.011,14,5
2022041419,0.003,0.3,0.035,0.008,18,9
2022041420,0.003,0.3,0.035,0.008,16,10
2022041421,0.003,0.3,0.037,0.006,13,9
2022041422,0.003,0.3,0.040,0.005,17,10
2022041423,0.003,0.3,0.042,0.004,16,11
2022041424,0.003,0.3,0.042,0.004,15,9
2022041501,0.002,0.3,0.042,0.004,12,11
2022041502,0.003,0.3,0.040,0.004,15,11
2022041503,0.003,0.3,0.036,0.006,20,13
2022041504,0.003,0.3,0.040,0.004,20,15
2022041505,0.002,0.3,0.042,0.003,19,10
2022041506,0.002,0.3,0.039,0.006,16,8
2022041507,0.003,0.3,0.032,0.012,17,10
2022041508,0.003,0.4,0.024,0.019,19,12
2022041509,0.003,0.3,0.028,0.017,37,16
2022041510,0.004,0.3,0.031,0.015,31,13
2022041511,0.003,0.3,0.034,0.016,26,15
2022041512,0.004,0.3,0.036,0.014,38,10
2022041513,0.004,0.3,0.042,0.011,32,10
2022041514,0.004,0.3,0.035,0.020,27,10
2022041515,0.004,0.3,0.031,0.025,30,11
2022041516,0.004,0.3,0.033,0.022,67,13
2022041517,0.004,0.3,0.034,0.021,78,13
2022041518,0.004,0.3,0.036,0.017,58,12
2022041519,0.004,0.3,0.037,0.014,52,7
2022041520,0.005,0.3,0.035,0.015,27,9
2022041521,0.004,0.3,0.037,0.011,23,10
2022041522,0.003,0.3,0.041,0.007,22,10
2022041523,0.003,0.3,0.043,0.006,15,8
2022041524,0.003,0.3,0.044,0.005,17,7
2022041601,0.003,0.3,0.045,0.004,14,8
2022041602,0.003,0.3,0.042,0.006,13,11
2022041603,0.003,0.3,0.040,0.007,16,9
2022041604,0.004,0.3,0.041,0.007,12,7
2022041605,0.003,0.3,0.040,0.009,13,8
2022041606,0.003,0.3,0.036,0.013,12,7
2022041607,0.003,0.3,0.022,0.024,16,9
2022041608,0.003,0.3,0.022,0.024,20,16
2022041609,0.003,0.3,0.031,0.018,30,17
2022041610,0.004,0.3,0.037,0.016,21,11
2022041611,0.004,0.3,0.040,0.015,24,12
2022041612,0.004,0.3,0.043,0.015,18,9
2022041613,0.004,0.3,0.049,0.010,24,13
2022041614,0.004,0.3,0.044,0.017,24,11
2022041615,0.004,0.3,0.045,0.016,37,16
2022041616,0.003,0.3,0.050,0.013,52,19
2022041617,0.003,0.3,0.053,0.010,27,15
2022041618,0.003,0.3,0.051,0.010,19,10
2022041619,0.003,0.3,0.049,0.010,20,10
2022041620,0.003,0.3,0.048,0.010,19,8
2022041621,0.003,0.3,0.047,0.010,17,13
2022041622,0.003,0.3,0.051,,23,11
2022041623,0.003,0.3,0.037,0.023,17,13
2022041624,0.003,0.3,0.049,0.012,17,11
2022041701,0.003,0.3,0.043,0.016,20,14
2022041702,0.003,0.3,0.037,0.013,24,15
2022041703,0.003,0.3,0.031,0.013,29,22
2022041704,0.003,0.4,0.028,0.014,25,14
2022041705,0.003,0.3,0.035,0.010,26,16
2022041706,0.003,0.3,0.035,0.011,23,19
2022041707,0.003,0.3,0.032,0.012,26,20
2022041708,0.003,0.3,0.033,0.013,28,21
2022041709,0.004,0.3,0.039,0.013,25,23
2022041710,0.004,0.3,0.045,0.011,30,22
2022041711,0.003,0.3,0.054,0.008,37,19
2022041712,0.003,0.3,0.050,0.012,33,16
2022041713,0.003,0.3,0.052,0.013,35,18
2022041714,0.003,0.3,0.056,0.012,28,16
2022041715,0.003,0.3,0.060,0.010,34,17
2022041716,0.003,0.3,0.063,0.008,32,10
2022041717,0.003,0.3,0.070,0.007,27,11
2022041718,0.003,0.3,0.076,0.008,29,13
2022041719,0.003,0.3,0.071,0.009,28,15
