dataTime,so2Value,coValue,o3Value,no2Value,pm10Value,pm25Value
2022042101,0.004,0.4,0.040,0.030,49,29
2022042102,0.004,0.3,0.049,0.021,39,26
2022042103,0.004,0.4,0.040,0.024,41,22
2022042104,0.003,0.3,0.042,0.020,41,25
2022042105,0.003,0.3,0.044,0.018,35,25
2022042106,0.004,0.3,0.042,0.020,35,27
2022042107,0.003,0.4,0.025,0.040,37,23
2022042108,0.004,0.3,0.047,0.024,44,23
2022042109,0.004,0.3,0.050,0.022,37,18
2022042110,0.004,0.4,0.045,0.025,36,17
2022042111,0.003,0.3,0.048,0.023,42,24
2022042112,0.004,0.4,0.049,0.022,35,25
2022042113,0.004,0.3,0.052,0.020,30,22
2022042114,0.003,0.3,0.036,0.034,28,21
2022042115,0.004,0.4,0.037,0.033,26,16
2022042116,0.003,0.4,0.032,0.033,29,25
2022042117,0.003,0.4,0.035,0.030,38,27
2022042118,0.003,0.4,0.037,0.027,32,27
2022042119,0.003,0.4,0.032,0.028,27,22
2022042120,0.003,0.4,0.032,0.025,27,21
2022042121,0.003,0.4,0.021,0.032,38,32
2022042122,0.003,0.4,0.015,0.031,42,22
2022042123,0.003,0.4,0.014,0.028,42,25
2022042124,0.003,0.4,0.008,0.032,32,25
2022042201,0.003,0.3,0.012,0.026,35,29
2022042202,0.003,0.3,0.020,0.021,30,25
2022042203,0.003,0.3,0.019,0.022,26,25
2022042204,0.003,0.3,0.019,0.022,30,22
2022042205,0.003,0.4,0.015,0.023,28,27
2022042206,0.003,0.4,0.010,0.027,37,36
2022042207,0.003,0.4,0.009,0.035,40,35
2022042208,0.003,0.4,0.011,0.031,39,28
2022042209,0.003,0.4,0.020,0.028,46,30
2022042210,0.004,0.4,0.037,0.020,43,27
2022042211,0.005,0.4,0.052,0.014,29,20
2022042212,0.005,0.4,0.055,0.012,37,16
2022042213,0.004,0.3,0.061,0.010,33,20
2022042214,0.004,0.3,0.065,0.010,34,15
2022042215,0.004,0.3,0.066,0.009,45,19
2022042216,0.004,0.3,0.067,0.011,50,17
