dataTime,so2Value,coValue,o3Value,no2Value,pm10Value,pm25Value
2022040817,0.003,0.3,0.057,0.015,44,15
2022040818,0.003,0.3,0.055,0.015,45,17
2022040819,0.003,0.3,0.052,0.015,33,11
2022040820,0.003,0.4,0.044,0.021,32,16
2022040821,0.003,0.4,0.036,0.027,41,21
2022040822,0.003,0.3,0.051,0.016,44,20
2022040823,0.003,0.3,0.057,0.012,42,15
2022040824,0.003,0.3,0.057,0.011,39,14
2022040901,0.003,0.3,0.056,0.010,39,18
2022040902,0.003,0.3,0.050,0.011,41,12
2022040903,0.003,0.3,0.049,0.011,43,18
2022040904,0.003,0.4,0.043,0.015,38,19
2022040905,0.003,0.4,0.039,0.017,44,17
2022040906,0.004,0.4,0.044,0.015,42,17
2022040907,0.005,0.4,0.035,0.021,38,15
2022040908,0.004,0.3,0.045,0.014,35,16
2022040909,0.004,0.3,0.049,0.012,30,12
2022040910,0.004,0.3,0.049,0.013,28,15
2022040911,0.003,0.3,0.049,0.012,32,11
2022040912,0.003,0.3,0.054,0.013,26,13
2022040913,0.003,0.3,0.062,0.011,36,12
2022040914,0.003,0.3,0.062,0.010,44,18
2022040915,0.003,0.3,0.060,0.011,43,16
2022040916,0.003,0.3,0.059,0.011,39,18
2022040917,0.003,0.3,0.055,0.011,36,15
2022040918,0.003,0.3,0.051,0.011,33,14
2022040919,0.003,0.3,0.046,0.014,26,11
2022040920,0.003,0.3,0.045,0.014,28,12
2022040921,0.003,0.3,0.052,0.009,24,10
2022040922,0.003,0.3,0.052,0.009,24,13
2022040923,0.003,0.3,0.053,0.009,22,11
2022040924,0.003,0.3,0.054,0.008,23,11
2022041001,0.003,0.3,0.055,0.006,24,11
2022041002,0.003,0.3,0.053,0.008,21,12
2022041003,0.003,0.3,0.055,0.006,21,10
2022041004,0.003,0.3,0.056,0.004,18,10
2022041005,0.003,0.3,0.056,0.005,17,10
2022041006,0.003,0.3,0.054,0.006,16,12
2022041007,0.003,0.3,0.052,0.008,25,10
2022041008,0.003,0.3,0.052,0.007,24,12
2022041009,0.003,0.3,0.052,0.007,19,11
2022041010,0.003,0.3,0.055,0.006,23,10
2022041011,0.003,0.3,0.057,0.005,22,9
2022041012,0.003,0.3,0.059,0.006,27,13
2022041013,0.003,0.3,0.061,0.006,27,17
2022041014,0.003,0.3,0.060,0.007,26,17
2022041015,0.003,0.3,0.059,0.007,25,12
2022041016,0.003,0.3,0.057,0.007,29,21
2022041017,0.003,0.3,0.056,0.006,31,19
2022041018,0.004,0.3,0.052,0.007,42,19
2022041019,0.004,0.3,0.047,0.010,37,22
2022041020,0.003,0.3,0.044,0.012,35,23
2022041021,0.003,0.3,0.045,0.011,32,25
2022041022,0.003,0.3,0.048,0.009,37,21
2022041023,0.003,0.3,0.044,0.010,30,23
2022041024,0.003,0.3,0.041,0.012,33,23
2022041101,0.003,0.3,0.039,0.012,37,26
2022041102,0.003,0.3,0.036,0.013,32,21
2022041103,0.004,0.3,0.040,0.010,34,20
2022041104,0.003,0.3,0.038,0.011,35,24
2022041105,0.003,0.3,0.033,0.012,35,20
2022041106,0.003,0.3,0.025,0.019,29,21
2022041107,0.003,0.4,0.006,0.032,33,17
2022041108,0.004,0.5,0.005,0.031,42,27
2022041109,0.004,0.4,0.018,0.027,56,29
2022041110,0.005,0.3,0.029,0.017,43,23
2022041111,0.004,0.3,0.032,0.014,39,23
2022041112,0.004,0.3,0.039,0.013,33,19
2022041113,0.004,0.3,0.037,0.015,39,17
2022041114,0.004,0.3,0.037,0.015,35,19
2022041115,0.004,0.3,0.033,0.017,37,18
2022041116,0.003,0.3,0.026,0.021,29,21
2022041117,0.003,0.3,0.030,0.016,27,18
2022041118,0.004,0.3,0.028,0.018,27,17
2022041119,0.004,0.3,0.029,0.018,28,21
2022041120,0.003,0.3,0.025,0.021,29,24
2022041121,0.003,0.4,0.018,0.023,35,27
2022041122,0.003,0.4,0.011,0.026,29,24
2022041123,0.003,0.3,0.018,0.021,28,17
2022041124,0.003,0.3,0.030,0.011,20,16
2022041201,0.003,0.3,0.031,0.009,14,9
2022041202,0.003,0.3,0.031,0.008,12,11
2022041203,0.003,0.3,0.031,0.007,14,8
2022041204,0.003,0.3,0.030,0.007,10,7
2022041205,0.003,0.3,0.029,0.007,9,6
2022041206,0.003,0.3,0.028,0.008,7,5
2022041207,0.003,0.3,0.013,0.020,7,6
2022041208,0.003,0.3,0.014,0.020,12,11
2022041209,0.003,0.3,0.025,0.013,17,12
2022041210,0.003,0.3,0.022,0.018,17,9
2022041211,0.003,0.3,0.030,0.015,24,16
2022041212,0.003,0.3,0.036,0.010,11,
2022041213,0.003,0.3,0.039,0.010,13,
2022041214,0.003,0.3,0.038,0.012,21,16
2022041215,0.003,0.3,0.041,0.011,20,13
2022041216,0.003,0.3,0.043,0.009,26,14
2022041217,0.003,0.3,0.039,0.010,19,15
2022041218,0.003,0.3,0.032,0.014,23,11
