dataTime,so2Value,coValue,o3Value,no2Value,pm10Value,pm25Value
2022042101,0.003,0.3,0.065,0.015,41,21
2022042102,0.003,0.3,0.072,0.007,35,17
2022042103,0.003,0.3,0.072,0.010,30,17
2022042104,0.003,0.4,0.057,0.019,31,21
2022042105,0.004,0.3,0.046,0.022,36,19
2022042106,0.004,0.3,0.038,0.027,36,20
2022042107,0.003,0.3,0.046,0.024,35,21
2022042108,0.004,0.4,0.023,0.043,29,18
2022042109,0.004,0.3,0.036,0.037,45,20
2022042110,0.003,0.3,0.034,0.036,35,17
2022042111,0.003,0.3,0.051,0.022,40,19
2022042112,0.003,0.3,0.055,0.017,35,13
2022042113,0.003,0.3,0.054,0.018,25,20
2022042114,0.003,0.3,0.047,0.023,25,18
2022042115,0.003,0.3,0.044,0.022,22,18
2022042116,0.003,0.3,0.047,0.017,22,18
2022042117,0.003,0.3,0.041,0.021,16,15
2022042118,0.003,0.3,0.036,0.023,22,18
2022042119,0.003,0.3,0.031,0.026,24,17
2022042120,0.003,0.4,0.025,0.029,21,20
2022042121,0.003,0.4,0.015,0.035,27,18
2022042122,0.003,0.4,0.015,0.030,27,22
2022042123,0.003,0.4,0.004,0.035,30,21
2022042124,0.003,0.4,0.007,0.032,30,24
2022042201,0.003,0.4,0.015,0.027,40,28
2022042202,0.003,0.3,0.036,0.014,33,27
2022042203,0.003,0.3,0.037,0.011,25,19
2022042204,0.003,0.3,0.034,0.012,25,22
2022042205,0.003,0.4,0.024,0.015,28,22
2022042206,0.003,0.4,0.030,0.014,26,21
2022042207,0.003,0.4,0.025,0.022,28,
2022042208,0.003,0.4,0.022,0.027,30,26
2022042209,0.004,0.3,0.036,0.022,35,29
2022042210,0.004,0.3,0.052,0.016,33,17
2022042211,0.003,0.3,0.054,0.017,34,15
2022042212,0.003,0.3,0.053,0.018,30,18
2022042213,0.003,0.3,0.059,0.012,37,22
2022042214,0.003,0.3,0.065,0.010,29,20
2022042215,0.003,0.3,0.067,0.010,39,17
2022042216,0.003,0.3,0.066,0.011,47,20
