dataTime,so2Value,coValue,o3Value,no2Value,pm10Value,pm25Value
2022040817,0.004,0.2,0.061,0.012,54,11
2022040818,0.003,0.2,0.052,0.013,44,13
2022040819,0.003,0.3,0.050,0.014,39,11
2022040820,0.003,0.3,0.051,0.013,37,12
2022040821,0.003,0.3,0.053,0.012,30,13
2022040822,0.003,0.3,0.058,0.009,38,16
2022040823,0.003,0.3,0.050,0.013,31,14
2022040824,0.003,0.3,0.056,0.010,23,13
2022040901,0.002,0.3,0.056,0.009,42,15
2022040902,0.002,0.3,0.051,0.009,50,11
2022040903,0.002,0.3,0.053,0.007,41,14
2022040904,0.002,0.2,0.053,0.007,45,14
2022040905,0.003,0.3,0.043,0.010,43,14
2022040906,0.003,0.3,0.038,0.014,42,18
2022040907,0.004,0.3,0.029,0.018,44,16
2022040908,0.004,0.3,0.034,0.018,42,13
2022040909,0.003,0.3,0.038,0.017,41,11
2022040910,0.004,0.2,0.047,0.013,47,15
2022040911,0.004,0.3,0.040,0.019,49,12
2022040912,0.003,0.3,0.052,0.016,60,16
2022040913,0.003,0.2,0.059,0.012,70,16
2022040914,0.003,0.2,0.058,0.012,48,17
2022040915,0.003,0.2,0.058,0.011,46,14
2022040916,0.003,0.2,0.055,0.012,43,11
2022040917,0.003,0.2,0.049,0.013,42,8
2022040918,0.003,0.2,0.041,0.016,28,9
2022040919,0.003,0.2,0.045,0.013,26,10
2022040920,0.003,0.2,0.046,0.011,26,15
2022040921,0.003,0.2,0.053,0.007,22,8
2022040922,0.003,0.2,0.054,0.006,19,6
2022040923,0.003,0.2,0.054,0.007,21,7
2022040924,0.003,0.2,0.053,0.007,24,8
2022041001,0.003,0.2,0.051,0.007,16,7
2022041002,0.003,0.2,0.051,0.007,14,10
2022041003,0.003,0.2,0.057,0.004,4,
2022041004,0.002,0.2,0.058,0.003,17,6
2022041005,0.002,0.2,0.057,0.004,16,5
2022041006,0.002,0.2,0.054,0.005,17,5
2022041007,0.003,0.2,0.050,0.007,17,7
2022041008,0.003,0.2,0.053,0.006,25,9
2022041009,0.003,0.2,0.055,0.005,29,9
2022041010,0.003,0.2,0.057,0.005,23,8
2022041011,0.003,0.2,0.059,0.004,31,8
2022041012,0.003,0.2,0.061,0.005,55,11
2022041013,0.004,0.2,0.063,0.005,26,10
2022041014,0.004,0.2,0.056,0.009,28,10
2022041015,0.004,0.2,0.055,0.010,34,15
2022041016,0.004,0.2,0.053,0.010,30,12
2022041017,0.004,0.2,0.052,0.009,33,13
2022041018,0.004,0.3,0.045,0.012,33,17
2022041019,0.004,0.3,0.043,0.012,40,20
2022041020,0.004,0.3,0.045,0.011,41,17
2022041021,0.003,0.3,0.048,0.008,36,18
2022041022,0.003,0.2,0.051,0.006,29,20
2022041023,0.003,0.2,0.047,0.008,29,20
2022041024,0.003,0.3,0.041,0.010,34,22
2022041101,0.003,0.3,0.043,0.009,39,23
