dataTime,so2Value,coValue,o3Value,no2Value,pm10Value,pm25Value
2022042101,0.003,0.3,0.061,0.013,45,23
2022042102,0.003,0.3,0.072,0.008,37,17
2022042103,0.003,0.3,0.070,0.009,10,
2022042104,0.005,0.2,0.050,0.019,54,15
2022042105,0.005,0.2,0.032,0.027,36,19
2022042106,0.005,0.2,0.035,0.024,31,18
2022042107,0.005,0.2,0.031,0.028,28,14
2022042108,0.004,0.3,0.024,0.036,33,12
2022042109,0.004,0.3,0.022,0.038,48,19
2022042110,0.003,0.3,0.042,0.025,43,17
2022042111,,,,,,
2022042112,,,,,,
2022042113,0.003,0.2,0.056,0.014,38,23
2022042114,0.003,0.2,0.057,0.013,24,16
2022042115,0.003,0.3,0.050,0.014,12,8
2022042116,0.003,0.3,0.041,0.020,7,
2022042117,0.002,0.2,0.051,0.011,22,14
2022042118,0.003,0.3,0.049,0.013,11,8
2022042119,0.002,0.3,0.043,0.017,9,8
2022042120,0.002,0.3,0.032,0.020,25,11
2022042121,0.002,0.3,0.024,0.022,32,21
2022042122,0.002,0.3,0.022,0.021,36,27
2022042123,0.002,0.3,0.031,0.014,42,31
2022042124,0.002,0.3,0.028,0.016,34,30
2022042201,0.002,0.3,0.017,0.020,33,24
2022042202,0.002,0.3,0.025,0.014,39,26
2022042203,0.002,0.3,0.029,0.012,31,26
2022042204,0.002,0.3,0.030,0.012,32,21
2022042205,0.003,0.3,0.028,0.011,25,22
2022042206,0.002,0.3,0.024,0.013,33,29
2022042207,0.002,0.3,0.017,0.020,38,28
2022042208,0.003,0.3,0.018,0.021,42,31
2022042209,0.003,0.3,0.027,0.021,35,27
2022042210,0.003,0.3,0.042,0.018,40,25
2022042211,0.004,0.3,0.043,0.020,41,19
2022042212,0.004,0.3,0.045,0.020,51,15
2022042213,0.004,0.2,0.052,0.017,36,19
2022042214,0.004,0.2,0.055,0.017,42,15
2022042215,0.003,0.3,0.059,0.016,34,11
2022042216,0.003,0.3,0.065,0.013,52,17
