dataTime,so2Value,coValue,o3Value,no2Value,pm10Value,pm25Value
2022040817,0.003,0.3,0.057,0.007,36,13
2022040818,0.003,0.3,0.053,0.008,44,15
2022040819,0.003,0.3,0.053,0.008,40,19
2022040820,0.003,0.4,0.049,0.011,40,14
2022040821,0.003,0.4,0.047,0.011,43,17
2022040822,0.003,0.3,0.049,0.010,45,17
2022040823,0.003,0.3,0.057,0.007,44,15
2022040824,0.003,0.3,0.059,0.006,37,14
2022040901,0.003,0.3,0.057,0.006,40,11
2022040902,0.003,0.3,0.055,0.005,42,10
2022040903,0.003,0.3,0.052,0.006,44,15
2022040904,0.003,0.3,0.044,0.009,43,18
2022040905,0.003,0.4,0.045,0.008,44,15
2022040906,0.003,0.4,0.044,0.009,45,18
2022040907,0.004,0.4,0.037,0.012,43,17
2022040908,0.004,0.3,0.039,0.011,43,15
2022040909,0.003,0.3,0.042,0.011,32,11
2022040910,0.003,0.3,0.038,0.014,45,11
2022040911,0.003,0.3,0.051,0.009,42,13
2022040912,0.003,0.3,0.063,0.006,39,13
2022040913,0.003,0.3,0.063,0.005,42,16
2022040914,0.003,0.3,0.062,0.005,50,16
2022040915,0.003,0.3,0.061,0.005,43,10
2022040916,0.003,0.3,0.057,0.006,37,12
2022040917,0.003,0.3,0.055,0.006,40,10
2022040918,0.003,0.3,0.052,0.006,34,11
2022040919,0.003,0.3,0.050,0.008,35,12
2022040920,0.003,0.3,0.044,0.010,49,10
2022040921,0.003,0.3,0.043,0.010,36,11
2022040922,0.003,0.3,0.048,0.007,31,10
2022040923,0.003,0.3,0.051,0.005,28,10
2022040924,0.003,0.3,0.054,0.005,21,12
2022041001,0.003,0.3,0.050,0.006,28,8
2022041002,0.003,0.3,0.050,0.006,26,8
2022041003,0.002,0.3,0.052,0.005,27,10
2022041004,0.002,0.3,0.052,0.005,21,8
2022041005,0.002,0.3,0.053,0.004,24,6
2022041006,0.003,0.3,0.054,0.003,24,11
2022041007,0.003,0.3,0.053,0.004,21,8
2022041008,0.003,0.3,0.053,0.004,27,10
2022041009,0.003,0.3,0.053,0.004,26,10
2022041010,0.003,0.3,0.053,0.004,27,8
2022041011,0.003,0.3,0.054,0.004,29,11
2022041012,0.003,0.3,0.057,,27,11
2022041013,0.003,0.3,0.057,,28,14
2022041014,0.003,0.3,0.057,,31,16
2022041015,0.003,0.3,0.055,0.005,34,16
2022041016,0.003,0.3,0.055,0.005,30,11
2022041017,0.003,0.3,0.054,0.004,33,20
2022041018,0.003,0.3,0.051,0.004,31,20
2022041019,0.003,0.3,0.051,0.005,42,22
2022041020,0.003,0.3,0.046,0.007,38,20
2022041021,0.003,0.3,0.044,0.007,40,25
2022041022,0.003,0.3,0.043,0.008,40,24
2022041023,0.003,0.3,0.043,0.008,34,20
2022041024,0.003,0.3,0.044,0.007,38,25
2022041101,0.003,0.3,0.044,0.006,37,21
2022041102,0.003,0.3,0.045,0.006,40,23
2022041103,0.003,0.3,0.043,0.006,39,17
2022041104,0.003,0.3,0.040,0.006,37,21
2022041105,0.003,0.3,0.029,0.011,36,17
2022041106,0.003,0.3,0.029,0.011,38,25
2022041107,0.003,0.3,0.030,0.011,40,22
2022041108,0.003,0.3,0.030,0.012,38,19
2022041109,0.004,0.3,0.031,0.011,39,21
2022041110,0.004,0.3,0.030,0.012,37,21
2022041111,0.003,0.3,0.043,0.005,43,18
2022041112,0.003,0.3,0.046,0.005,32,16
2022041113,0.003,0.3,0.042,0.007,37,12
2022041114,0.003,0.3,0.046,0.005,33,14
2022041115,0.003,0.3,0.036,0.011,37,19
2022041116,0.003,0.3,0.030,0.011,36,20
2022041117,0.003,0.3,0.029,0.011,34,18
2022041118,0.003,0.3,0.032,0.009,35,15
2022041119,0.003,0.3,0.033,0.009,27,15
2022041120,0.003,0.3,0.031,0.010,27,19
2022041121,0.003,0.3,0.029,0.010,30,20
2022041122,0.003,0.3,0.023,0.013,36,22
2022041123,0.003,0.3,0.024,0.010,32,22
2022041124,0.003,0.3,0.016,0.015,25,10
2022041201,0.003,0.3,0.030,0.007,29,17
2022041202,0.003,0.2,0.033,0.004,18,8
2022041203,0.003,0.3,0.023,0.010,14,7
2022041204,0.003,0.2,0.026,0.007,17,13
2022041205,0.003,0.3,0.017,0.012,11,8
2022041206,0.003,0.3,0.014,0.014,15,7
2022041207,0.003,0.3,0.014,0.013,17,7
2022041208,0.003,0.3,0.010,0.015,19,8
2022041209,0.003,0.3,0.019,0.010,23,13
2022041210,0.003,0.3,0.023,0.009,20,10
2022041211,0.003,0.3,0.028,0.007,17,8
