dataTime,so2Value,coValue,o3Value,no2Value,pm10Value,pm25Value
2022042101,0.003,0.3,0.068,0.008,44,19
2022042102,0.003,0.3,0.071,0.005,43,19
2022042103,0.003,0.3,0.064,0.008,38,18
2022042104,0.003,0.3,0.047,0.012,35,12
2022042105,0.003,0.3,0.046,0.011,37,15
2022042106,0.003,0.3,0.033,0.017,33,18
2022042107,0.003,0.3,0.037,0.020,40,15
2022042108,0.003,0.3,0.043,0.019,33,18
2022042109,0.003,0.3,0.036,0.024,40,18
2022042110,0.003,0.3,0.048,0.016,42,13
2022042111,0.003,0.3,0.051,0.015,35,13
2022042112,0.002,0.3,0.049,0.015,39,20
2022042113,0.002,0.3,0.053,0.012,34,18
2022042114,0.002,0.3,0.052,0.014,36,19
2022042115,0.002,0.3,0.048,0.012,25,17
2022042116,0.002,0.3,0.053,0.008,26,14
2022042117,0.002,0.3,0.050,0.009,19,11
2022042118,0.002,0.3,0.044,0.012,21,14
2022042119,0.002,0.4,0.038,0.014,22,17
2022042120,0.002,0.4,0.025,0.016,27,15
2022042121,0.002,0.4,0.026,0.013,22,13
2022042122,0.002,0.4,0.023,0.015,24,11
2022042123,0.002,0.4,0.025,0.013,25,15
2022042124,0.002,0.4,0.021,0.017,29,20
2022042201,0.002,0.3,0.035,0.010,35,27
2022042202,0.002,0.3,0.044,0.008,33,18
2022042203,0.002,0.3,0.046,0.006,25,14
2022042204,0.002,0.4,0.044,0.006,23,17
2022042205,0.003,0.4,0.041,0.006,25,16
2022042206,0.003,0.4,0.040,0.007,34,23
2022042207,0.002,0.3,0.039,0.009,35,21
2022042208,0.002,0.3,0.044,0.010,26,19
2022042209,0.003,0.3,0.046,0.011,34,14
2022042210,0.002,0.3,0.053,0.010,34,18
2022042211,0.002,0.3,0.050,0.009,35,9
2022042212,0.002,0.3,0.057,0.007,27,13
2022042213,0.002,0.3,0.063,0.006,23,17
2022042214,0.002,0.3,0.067,0.005,27,12
2022042215,0.002,0.3,0.068,0.006,37,16
2022042216,0.002,0.3,0.069,0.007,44,11
