dataTime,so2Value,coValue,o3Value,no2Value,pm10Value,pm25Value
2022040817,,,0.057,0.018000000000000002,41.0,13.0
2022040818,,,0.054000000000000006,0.02,45.0,19.0
2022040819,,,0.049,0.02,41.0,18.0
2022040820,,,0.051,0.018000000000000002,35.0,16.0
2022040821,,,0.035,0.027999999999999997,38.0,13.0
2022040822,,,0.033,0.028999999999999998,34.0,14.0
2022040823,,,0.022000000000000002,0.036000000000000004,36.0,14.0
2022040824,,,0.022000000000000002,0.031,34.0,17.0
2022040901,,,0.028999999999999998,0.023,32.0,16.0
2022040902,,,0.03,0.017,35.0,20.0
2022040903,,,0.026000000000000002,0.019,27.0,17.0
2022040904,,,0.034,0.013000000000000001,31.0,14.0
2022040905,,,0.031,0.016,33.0,14.0
2022040906,,,0.024,0.021,32.0,14.0
2022040907,,,0.009000000000000001,0.036000000000000004,30.0,15.0
2022040908,,,0.006999999999999999,0.043,37.0,23.0
2022040909,,,0.032,0.021,44.0,23.0
2022040910,,,0.047,0.008,28.0,12.0
2022040911,,,0.051,0.008,26.0,9.0
2022040912,,,0.054000000000000006,0.008,24.0,11.0
2022040913,,,0.055999999999999994,0.005,31.0,10.0
2022040914,,,0.057,0.006,29.0,8.0
2022040915,,,0.055999999999999994,0.004,29.0,11.0
2022040916,,,0.055,0.004,29.0,8.0
2022040917,,,0.054000000000000006,0.005,27.0,8.0
2022040918,,,0.052000000000000005,0.006,18.0,7.0
2022040919,,,0.05,0.008,23.0,8.0
2022040920,,,0.05,0.006999999999999999,26.0,8.0
2022040921,,,0.051,0.006999999999999999,22.0,10.0
2022040922,,,0.054000000000000006,0.005,20.0,11.0
2022040923,,,0.055,0.004,21.0,10.0
2022040924,,,0.048,0.006999999999999999,16.0,10.0
2022041001,,,0.047,0.006999999999999999,21.0,9.0
2022041002,,,0.040999999999999995,0.006999999999999999,20.0,7.0
2022041003,,,0.042,0.005,15.0,10.0
2022041004,,,0.045,0.005,18.0,8.0
2022041005,,,0.047,0.005,18.0,7.0
2022041006,,,0.044000000000000004,0.008,15.0,9.0
2022041007,,,0.031,0.02,19.0,11.0
2022041008,,,0.031,0.019,18.0,9.0
2022041009,,,0.047,0.008,22.0,16.0
2022041010,,,0.053,0.005,19.0,7.0
2022041011,,,0.055999999999999994,0.003,19.0,8.0
2022041012,,,0.057999999999999996,0.003,21.0,7.0
2022041013,,,0.059000000000000004,0.003,26.0,9.0
2022041014,,,0.059000000000000004,0.003,21.0,13.0
2022041015,,,0.059000000000000004,0.004,25.0,15.0
2022041016,,,0.057999999999999996,0.004,27.0,13.0
2022041017,,,0.057,0.005,25.0,16.0
2022041018,,,0.054000000000000006,0.005,28.0,18.0
2022041019,,,0.052000000000000005,0.005,30.0,21.0
2022041020,,,0.05,0.005,25.0,20.0
2022041021,,,0.05,0.004,22.0,16.0
2022041022,,,0.048,0.006,26.0,17.0
2022041023,,,0.05,0.004,27.0,22.0
2022041024,,,0.051,0.003,27.0,20.0
2022041101,,,0.051,0.002,27.0,17.0
2022041102,,,0.051,0.001,25.0,18.0
2022041103,,,0.051,0.001,29.0,21.0
2022041104,,,0.049,0.002,34.0,17.0
2022041105,,,0.048,0.002,22.0,20.0
2022041106,,,0.017,0.023,25.0,17.0
2022041107,,,0.006,0.035,30.0,18.0
2022041108,,,0.005,0.040999999999999995,42.0,23.0
2022041109,,,0.016,0.03,42.0,24.0
2022041110,,,0.027999999999999997,0.018000000000000002,39.0,16.0
2022041111,,,0.036000000000000004,0.006999999999999999,38.0,20.0
2022041112,,,0.038,0.008,27.0,16.0
2022041113,,,0.035,0.012,34.0,20.0
2022041114,,,0.037000000000000005,0.009000000000000001,32.0,16.0
2022041115,,,0.038,0.008,31.0,16.0
2022041116,,,0.038,0.006,27.0,17.0
2022041117,,,0.038,0.005,20.0,14.0
2022041118,,,0.032,0.01,25.0,15.0
2022041119,,,0.032,0.01,23.0,17.0
2022041120,,,0.031,0.011000000000000001,22.0,13.0
2022041121,,,0.025,0.016,16.0,12.0
2022041122,,,0.024,0.013999999999999999,22.0,14.0
2022041123,,,0.023,0.013000000000000001,20.0,13.0
2022041124,,,0.021,0.012,20.0,15.0
2022041201,,,0.018000000000000002,0.012,19.0,17.0
2022041202,,,0.017,0.01,16.0,14.0
2022041203,,,0.019,0.006,14.0,10.0
2022041204,,,0.017,0.008,13.0,8.0
2022041205,,,0.016,0.012,11.0,9.0
2022041206,,,0.013000000000000001,0.016,13.0,9.0
2022041207,,,0.011000000000000001,0.018000000000000002,11.0,9.0
2022041208,,,0.011000000000000001,0.023,16.0,8.0
2022041209,,,0.028999999999999998,0.011000000000000001,15.0,7.0
2022041210,,,0.036000000000000004,0.006,7.0,4.0
2022041211,,,0.035,0.009000000000000001,17.0,5.0
2022041212,,,0.04,0.006999999999999999,20.0,8.0
2022041213,,,0.047,0.006,19.0,9.0
2022041214,,,0.051,0.006,20.0,10.0
2022041215,,,0.047,0.01,19.0,11.0
2022041216,,,0.04,0.017,28.0,11.0
2022041217,,,0.035,0.019,27.0,12.0
2022041218,,,0.027999999999999997,0.023,26.0,13.0
2022041219,,,0.021,0.027000000000000003,25.0,13.0
2022041220,,,0.02,0.024,24.0,14.0
2022041221,,,0.012,0.027000000000000003,22.0,15.0
2022041222,,,0.005,0.031,18.0,17.0
2022041223,,,0.015,0.018000000000000002,21.0,14.0
2022041224,,,0.017,0.016,22.0,14.0
2022041301,,,0.045,0.004,16.0,15.0
2022041302,,,0.048,0.002,26.0,19.0
2022041303,,,0.048,0.002,30.0,16.0
2022041304,,,0.048,0.002,34.0,20.0
2022041305,,,0.046,0.003,31.0,21.0
2022041306,,,0.04,0.006,35.0,23.0
2022041307,,,0.034,0.013000000000000001,37.0,20.0
2022041308,,,0.025,0.021,37.0,23.0
2022041309,,,0.027000000000000003,0.017,34.0,24.0
2022041310,,,0.027999999999999997,0.013000000000000001,15.0,8.0
2022041311,,,0.026000000000000002,0.013000000000000001,10.0,6.0
2022041312,,,0.027999999999999997,0.012,8.0,7.0
2022041313,,,0.033,0.011000000000000001,12.0,5.0
2022041314,,,0.035,0.009000000000000001,25.0,15.0
2022041315,,,,,,
2022041316,,,,,,
2022041317,,,0.037000000000000005,0.009000000000000001,13.0,9.0
2022041318,,,0.035,0.009000000000000001,9.0,5.0
2022041319,,,0.034,0.008,7.0,3.0
2022041320,,,0.034,0.006999999999999999,8.0,3.0
2022041321,,,0.035,0.006999999999999999,5.0,
2022041322,,,0.036000000000000004,0.006,4.0,
2022041323,,,0.039,0.004,6.0,6.0
2022041324,,,0.04,0.004,6.0,5.0
2022041401,,,0.04,0.003,8.0,6.0
2022041402,,,0.039,0.003,8.0,5.0
2022041403,,,0.039,0.003,9.0,5.0
2022041404,,,0.039,0.003,12.0,5.0
2022041405,,,0.039,0.003,10.0,6.0
2022041406,,,0.038,0.005,9.0,7.0
2022041407,,,0.036000000000000004,0.006999999999999999,11.0,5.0
2022041408,,,0.036000000000000004,0.006999999999999999,10.0,5.0
2022041409,,,0.033,0.009000000000000001,8.0,3.0
2022041410,,,0.033,0.01,7.0,3.0
2022041411,,,0.033,0.01,9.0,5.0
2022041412,,,0.028999999999999998,0.013000000000000001,9.0,5.0
2022041413,,,0.033,0.011000000000000001,10.0,6.0
2022041414,,,0.035,0.009000000000000001,15.0,6.0
2022041415,,,0.036000000000000004,0.008,11.0,4.0
2022041416,,,0.036000000000000004,0.009000000000000001,9.0,4.0
2022041417,,,0.036000000000000004,0.009000000000000001,12.0,6.0
2022041418,,,0.036000000000000004,0.01,9.0,9.0
2022041419,,,0.034,0.012,13.0,9.0
2022041420,,,0.035,0.01,17.0,9.0
2022041421,,,0.038,0.006999999999999999,25.0,17.0
2022041422,,,0.040999999999999995,0.005,18.0,13.0
2022041423,,,0.042,0.005,14.0,9.0
2022041424,,,0.042,0.004,13.0,6.0
2022041501,,,0.040999999999999995,0.005,17.0,7.0
2022041502,,,0.04,0.004,18.0,5.0
2022041503,,,0.04,0.003,17.0,9.0
2022041504,,,0.037000000000000005,0.004,14.0,8.0
2022041505,,,0.036000000000000004,0.004,20.0,7.0
2022041506,,,0.033,0.006999999999999999,19.0,9.0
2022041507,,,0.031,0.011000000000000001,17.0,9.0
2022041508,,,0.03,0.013000000000000001,20.0,9.0
2022041509,,,0.036000000000000004,0.008,17.0,10.0
2022041510,,,0.04,0.006999999999999999,15.0,6.0
2022041511,,,0.039,0.006999999999999999,11.0,5.0
2022041512,,,0.042,0.008,20.0,4.0
2022041513,,,0.044000000000000004,0.006999999999999999,18.0,7.0
2022041514,,,0.046,0.006999999999999999,20.0,10.0
2022041515,,,0.048,0.006999999999999999,18.0,7.0
2022041516,,,0.047,0.009000000000000001,14.0,9.0
2022041517,,,0.046,0.012,18.0,9.0
2022041518,,,0.04,0.013999999999999999,25.0,7.0
2022041519,,,0.035,0.017,22.0,9.0
2022041520,,,0.038,0.013000000000000001,14.0,6.0
2022041521,,,0.038,0.01,11.0,6.0
2022041522,,,0.043,0.006,9.0,7.0
2022041523,,,0.043,0.005,10.0,6.0
2022041524,,,0.043,0.005,14.0,6.0
2022041601,,,0.04,0.006,13.0,6.0
2022041602,,,0.039,0.006,12.0,7.0
2022041603,,,0.036000000000000004,0.008,15.0,4.0
2022041604,,,0.036000000000000004,0.008,13.0,4.0
