dataTime,so2Value,coValue,o3Value,no2Value,pm10Value,pm25Value
2022042101,,,0.027999999999999997,0.012,31.0,16.0
2022042102,,,0.023,0.019,30.0,22.0
2022042103,,,0.02,0.02,26.0,20.0
2022042104,,,0.019,0.018000000000000002,32.0,20.0
2022042105,,,0.013999999999999999,0.027999999999999997,26.0,18.0
2022042106,,,0.01,0.038,27.0,22.0
2022042107,,,0.005,0.053,27.0,21.0
2022042108,,,0.005,0.057999999999999996,32.0,18.0
2022042109,,,0.005,0.063,50.0,24.0
2022042110,,,,,48.0,26.0
2022042111,,,,,55.0,22.0
2022042112,,,0.051,0.022000000000000002,47.0,21.0
2022042113,,,0.057999999999999996,0.013999999999999999,28.0,17.0
2022042114,,,0.054000000000000006,0.013000000000000001,26.0,14.0
2022042115,,,0.036000000000000004,0.026000000000000002,20.0,14.0
2022042116,,,0.033,0.03,22.0,17.0
2022042117,,,0.027000000000000003,0.036000000000000004,20.0,17.0
2022042118,,,0.027000000000000003,0.03,27.0,24.0
2022042119,,,0.024,0.027000000000000003,22.0,15.0
2022042120,,,0.033,0.016,27.0,18.0
2022042121,,,0.031,0.013000000000000001,12.0,
2022042122,,,0.024,0.017,13.0,12.0
2022042123,,,0.03,0.011000000000000001,14.0,10.0
2022042124,,,0.026000000000000002,0.01,13.0,7.0
2022042201,,,0.012,0.016,17.0,7.0
2022042202,,,0.01,0.017,15.0,8.0
2022042203,,,0.019,0.011000000000000001,13.0,11.0
2022042204,,,0.025,0.008,15.0,12.0
2022042205,,,0.023,0.01,14.0,13.0
2022042206,,,0.021,0.013999999999999999,17.0,15.0
2022042207,,,0.017,0.02,21.0,17.0
2022042208,,,0.013999999999999999,0.03,27.0,18.0
2022042209,,,0.025,0.027000000000000003,35.0,26.0
2022042210,,,0.06,0.01,29.0,22.0
2022042211,,,0.061,0.013999999999999999,31.0,16.0
2022042212,,,0.071,0.009000000000000001,34.0,21.0
2022042213,,,0.07200000000000001,0.008,32.0,21.0
2022042214,,,0.07400000000000001,0.008,35.0,20.0
2022042215,,,0.076,0.008,33.0,13.0
2022042216,,,0.07400000000000001,0.008,43.0,18.0
