dataTime,so2Value,coValue,o3Value,no2Value,pm10Value,pm25Value
2022040817,0.002,0.2,0.058,0.010,43,11
2022040818,0.002,0.2,0.057,0.006,38,9
2022040819,0.002,0.2,0.058,0.008,31,8
2022040820,0.002,0.2,0.059,0.007,38,11
2022040821,0.002,0.2,0.056,0.010,34,9
2022040822,0.002,0.2,0.056,0.010,37,12
2022040823,0.002,0.2,0.050,0.017,28,10
2022040824,0.003,0.2,0.051,0.015,38,9
2022040901,0.002,0.2,0.052,0.014,41,12
2022040902,0.003,0.2,0.050,0.016,40,14
2022040903,0.003,0.3,0.050,0.015,40,16
2022040904,0.004,0.4,0.048,0.015,41,15
2022040905,0.003,0.3,0.050,0.012,108,79
2022040906,0.004,0.3,0.048,0.010,39,
2022040907,0.003,0.2,0.048,0.009,35,12
2022040908,0.003,0.2,0.045,0.015,28,10
2022040909,0.002,0.2,0.045,0.016,26,8
2022040910,0.003,0.2,0.045,0.016,37,10
2022040911,0.002,0.2,0.060,0.007,34,13
2022040912,0.002,0.2,0.066,0.006,33,14
2022040913,0.002,0.2,0.065,0.007,45,14
2022040914,0.002,0.2,0.063,0.006,38,15
2022040915,0.002,0.2,0.065,0.005,38,9
2022040916,0.002,0.2,0.063,0.005,33,15
2022040917,0.002,0.2,0.059,0.005,30,10
2022040918,0.002,0.2,0.057,0.005,31,6
2022040919,0.002,0.2,0.054,0.006,26,8
2022040920,0.002,0.2,0.050,0.008,25,9
2022040921,0.002,0.2,0.047,0.011,25,9
2022040922,0.002,0.2,0.043,0.017,21,7
2022040923,0.002,0.2,0.045,0.015,23,9
2022040924,0.002,0.2,0.053,0.007,25,8
2022041001,0.002,0.2,0.046,0.013,19,9
2022041002,0.002,0.2,0.046,0.012,21,7
2022041003,0.002,0.2,0.047,0.011,22,7
2022041004,0.002,0.2,0.050,0.008,26,8
2022041005,0.002,0.2,0.048,0.009,20,7
2022041006,0.002,0.2,0.045,0.012,21,9
2022041007,0.002,0.2,0.044,0.014,24,7
2022041008,0.002,0.2,0.048,0.010,26,7
2022041009,0.002,0.2,0.048,0.009,24,10
2022041010,0.002,0.2,0.051,0.006,25,8
2022041011,0.002,0.2,0.054,0.005,19,9
