dataTime,so2Value,coValue,o3Value,no2Value,pm10Value,pm25Value
2022042101,0.004,0.2,0.065,0.017,41,16
2022042102,0.003,0.2,0.071,0.010,32,17
2022042103,0.003,0.2,0.071,0.011,29,11
2022042104,0.002,0.2,0.070,0.008,31,13
2022042105,0.002,0.2,0.061,0.009,28,18
2022042106,0.003,0.2,0.061,0.009,23,11
2022042107,0.002,0.2,0.070,0.008,28,11
2022042108,0.002,0.2,0.061,0.012,27,11
2022042109,0.002,0.2,0.061,0.012,26,11
2022042110,0.002,0.2,0.065,0.008,23,10
2022042111,0.002,0.2,0.064,0.009,30,11
2022042112,0.002,0.2,0.060,0.012,30,13
2022042113,0.002,0.2,0.057,0.015,32,18
2022042114,0.002,0.2,0.058,0.016,24,17
2022042115,0.002,0.3,0.041,0.029,22,14
2022042116,0.002,0.3,0.043,0.026,28,19
2022042117,0.002,0.2,0.043,0.023,25,20
2022042118,0.002,0.2,0.044,0.022,24,17
2022042119,0.002,0.2,0.042,0.018,15,14
2022042120,0.002,0.3,0.037,0.021,19,12
2022042121,0.002,0.3,0.039,0.016,26,17
2022042122,0.002,0.2,0.041,0.013,23,16
2022042123,0.002,0.2,0.044,0.012,28,24
2022042124,0.002,0.2,0.035,0.017,19,10
2022042201,0.002,0.2,0.033,0.019,27,25
2022042202,0.002,0.3,0.037,0.016,28,22
2022042203,0.002,0.2,0.044,0.009,26,19
2022042204,0.002,0.2,0.042,0.010,25,23
2022042205,0.002,0.3,0.044,0.009,28,20
2022042206,0.002,0.5,0.042,0.014,30,21
2022042207,0.002,0.3,0.039,0.018,24,22
2022042208,0.003,0.2,0.045,0.016,24,17
2022042209,0.003,0.2,0.051,0.013,24,13
2022042210,0.003,0.2,0.051,0.013,21,13
2022042211,0.002,0.2,0.059,0.008,26,15
2022042212,0.002,0.2,0.062,0.006,24,10
2022042213,0.002,0.2,0.065,0.006,24,11
2022042214,0.002,0.2,0.069,0.005,20,9
2022042215,0.002,0.2,0.070,0.004,30,9
2022042216,0.002,0.2,0.071,0.006,31,11
