dataTime,so2Value,coValue,o3Value,no2Value,pm10Value,pm25Value
2022040815,0.003,0.4,0.052,0.022,48,14
2022040816,0.003,0.3,0.055,0.019,51,17
2022040817,0.003,0.4,0.049,0.024,53,16
2022040818,0.003,0.3,0.049,0.019,50,17
2022040819,0.003,0.4,0.046,0.022,39,11
2022040820,0.003,0.4,0.043,0.024,36,11
2022040822,0.003,0.4,0.046,0.020,44,15
2022040823,0.003,0.4,0.045,0.023,40,9
2022040824,0.002,0.3,0.060,0.010,40,10
2022040901,0.002,0.4,0.053,0.014,38,9
2022040902,0.002,0.4,0.043,0.018,40,17
2022040903,0.002,0.4,0.041,0.018,41,18
2022040904,0.002,0.4,0.027,0.030,44,11
2022040905,0.003,0.4,0.020,0.034,41,10
2022040906,0.002,0.4,0.020,0.032,49,21
2022040907,0.003,0.5,0.011,0.046,43,18
2022040908,0.004,0.4,0.013,0.045,53,21
2022040909,0.003,0.3,0.037,0.026,52,21
2022040910,0.003,0.3,0.044,0.019,37,11
2022040911,0.003,0.4,0.041,0.027,35,10
2022040912,0.003,0.3,0.052,0.021,49,19
2022040913,0.002,0.3,0.060,0.015,60,17
2022040914,0.002,0.3,0.058,0.016,44,16
2022040915,0.002,0.3,0.053,0.018,44,12
2022040916,0.002,0.3,0.048,0.021,50,17
2022040917,0.002,0.3,0.047,0.017,43,9
2022040918,0.002,0.3,0.045,0.018,30,11
2022040919,0.002,0.3,0.048,0.014,29,8
2022040920,0.002,0.3,0.044,0.015,29,8
2022040921,0.002,0.3,0.042,0.017,32,9
2022040922,0.002,0.3,0.052,0.008,27,8
2022040923,0.002,0.3,0.042,0.016,17,6
2022040924,0.002,0.3,0.051,0.009,25,5
2022041001,0.002,0.3,0.055,0.006,18,6
2022041002,0.002,0.2,0.057,0.004,20,8
2022041003,0.002,0.2,0.059,0.003,21,5
2022041004,0.002,0.2,0.057,0.003,20,3
2022041005,0.002,0.3,0.054,0.005,19,7
2022041006,0.002,0.3,0.054,0.005,19,11
2022041007,0.002,0.3,0.052,0.007,22,10
2022041008,0.002,0.2,0.054,0.005,21,7
2022041009,0.002,0.3,0.053,0.006,19,8
2022041010,0.002,0.3,0.053,0.006,21,9
2022041011,0.003,0.3,0.053,0.008,24,9
2022041012,0.003,0.3,0.055,0.008,25,16
2022041013,0.003,0.3,0.056,0.008,25,12
2022041014,0.003,0.3,0.052,0.013,23,13
2022041015,0.003,0.3,0.052,0.012,33,17
2022041016,0.003,0.3,0.049,0.014,35,16
2022041017,0.003,0.3,0.049,0.012,35,19
2022041018,0.003,0.4,0.045,0.013,35,19
2022041019,0.003,0.4,0.039,0.017,32,25
2022041020,0.003,0.4,0.038,0.019,35,19
2022041021,0.003,0.3,0.046,0.010,36,23
2022041022,0.003,0.3,0.041,0.013,33,17
2022041023,0.003,0.3,0.039,0.014,31,21
2022041024,0.003,0.3,0.043,0.010,36,23
2022041101,0.003,0.3,0.049,0.005,32,19
2022041102,0.003,0.3,0.030,0.022,32,20
2022041103,0.003,0.4,0.026,0.026,38,24
2022041104,0.004,0.4,0.007,0.045,41,18
2022041105,0.003,0.4,0.011,0.034,48,28
2022041106,0.003,0.4,0.007,0.040,44,25
2022041107,0.003,0.4,0.012,0.032,49,28
2022041108,0.004,0.5,0.009,0.042,38,21
2022041109,0.004,0.5,0.007,0.054,49,29
2022041110,0.005,0.4,0.012,0.043,71,33
2022041111,0.004,0.4,0.026,0.025,60,29
2022041112,0.004,0.3,0.028,0.025,48,16
2022041113,0.004,0.3,0.020,0.035,50,22
2022041114,,,,,43,19
2022041115,,,,,41,24
2022041116,0.003,0.3,0.035,0.014,31,19
2022041117,0.003,0.4,0.028,0.021,32,18
2022041118,0.003,0.4,0.027,0.022,36,18
2022041119,0.003,0.4,0.027,0.021,38,19
2022041120,0.003,0.4,0.020,0.025,34,17
2022041121,0.003,0.4,0.017,0.025,39,22
