dataTime,so2Value,coValue,o3Value,no2Value,pm10Value,pm25Value
2022042101,0.003,0.3,,,59,32
2022042102,0.003,0.3,0.089,0.004,47,12
2022042103,0.003,0.3,0.071,0.018,31,16
2022042104,0.004,0.3,0.040,0.032,26,16
2022042105,0.003,0.3,0.039,0.025,37,20
2022042106,0.003,0.4,0.034,0.031,30,18
2022042107,0.003,0.4,0.024,0.046,38,17
2022042108,0.003,0.4,0.032,0.041,41,17
2022042109,0.003,0.4,0.036,0.039,37,17
2022042110,0.003,0.4,0.042,0.034,35,13
2022042111,0.002,0.4,0.042,0.034,37,14
2022042112,0.002,0.4,0.054,0.022,45,20
2022042113,0.002,0.3,0.058,0.019,29,23
2022042114,0.002,0.3,0.056,0.019,29,17
2022042115,0.002,0.3,0.052,0.021,21,16
2022042116,0.002,0.3,0.051,0.020,26,16
2022042117,0.002,0.3,0.053,0.015,32,20
2022042118,0.002,0.3,0.059,0.010,20,19
2022042119,0.002,0.3,0.053,0.012,15,11
2022042120,0.002,0.3,0.043,0.015,15,
2022042121,0.002,0.3,0.041,0.016,20,15
2022042122,0.002,0.3,0.043,0.013,20,9
2022042123,0.002,0.3,0.033,0.020,28,19
2022042124,0.002,0.3,0.037,0.013,19,14
2022042201,0.002,0.4,0.027,0.018,20,10
2022042202,0.002,0.4,0.017,0.030,25,17
2022042203,0.002,0.4,0.055,0.007,39,23
2022042204,0.003,0.4,0.047,0.012,19,11
2022042205,0.003,0.4,0.044,0.012,25,18
2022042206,0.002,0.4,0.023,0.025,24,19
2022042207,0.002,0.5,0.008,0.041,35,21
2022042208,0.003,0.5,0.014,0.044,44,29
2022042209,0.003,0.4,0.058,0.015,55,25
2022042210,0.003,0.3,0.055,0.016,28,11
2022042211,0.004,0.4,0.039,0.029,25,13
2022042212,0.004,0.3,0.045,0.026,43,19
2022042213,0.003,0.3,0.055,0.019,48,19
2022042214,0.003,0.3,0.056,0.023,38,19
2022042215,0.002,0.3,0.067,0.014,60,16
2022042216,0.002,0.4,0.064,0.018,48,16
