dataTime,so2Value,coValue,o3Value,no2Value,pm10Value,pm25Value
2022040817,0.003,0.3,0.058,0.014,32,9
2022040818,0.003,0.3,0.055,0.013,30,6
2022040819,0.003,0.3,0.063,0.009,30,6
2022040820,0.003,0.3,0.063,0.009,33,6
2022040821,0.003,0.3,0.057,0.012,29,8
2022040822,0.003,0.3,0.060,0.010,28,8
2022040823,0.003,0.3,0.047,0.019,35,9
2022040824,0.003,0.3,0.038,0.025,33,12
2022040901,0.003,0.3,0.034,0.029,34,11
2022040902,0.003,0.3,0.042,0.022,33,13
2022040903,0.003,0.3,0.048,0.017,34,10
2022040904,0.003,0.3,0.045,0.020,39,17
2022040905,0.003,0.3,0.026,0.035,44,13
2022040906,0.004,0.3,0.009,0.051,60,30
2022040907,0.004,0.3,0.006,0.052,54,18
2022040908,0.004,0.3,0.016,0.043,47,15
2022040909,0.004,0.3,0.025,0.036,45,14
2022040910,0.004,0.3,0.041,0.023,40,17
2022040911,0.004,0.3,0.057,0.020,33,11
2022040912,0.003,0.3,0.070,0.011,35,13
2022040913,0.003,0.3,0.067,0.013,34,13
2022040914,0.003,0.3,0.070,0.012,39,14
2022040915,0.003,0.3,0.069,0.012,30,11
2022040916,0.003,0.2,0.068,0.009,33,10
2022040917,0.003,0.2,0.063,0.010,30,8
2022040918,0.003,0.2,0.058,0.011,25,8
2022040919,0.003,0.2,0.056,0.010,27,8
2022040920,0.003,0.2,0.053,0.011,27,4
2022040921,0.003,0.2,0.052,0.009,30,6
2022040922,0.003,0.2,0.046,0.012,23,5
2022040923,0.003,0.2,0.041,0.019,28,5
2022040924,0.003,0.2,0.040,0.020,23,7
2022041001,0.003,0.3,0.034,0.023,23,8
2022041002,0.003,0.3,0.028,0.029,23,7
2022041003,0.003,0.2,0.031,0.024,19,8
2022041004,0.003,0.2,0.036,0.021,19,9
2022041005,0.003,0.2,0.041,0.015,18,9
2022041006,0.003,0.2,0.032,0.023,22,6
2022041007,0.003,0.3,0.023,0.034,18,7
2022041008,0.003,0.3,0.032,0.026,23,7
2022041009,0.003,0.2,0.040,0.020,25,8
2022041010,0.003,0.2,0.047,0.016,20,9
2022041011,0.003,0.2,0.053,0.011,22,11
2022041012,0.003,0.2,0.050,0.012,18,9
2022041013,0.003,0.2,0.054,0.010,19,8
2022041014,0.003,0.2,0.059,0.008,19,7
2022041015,0.003,0.2,0.060,0.009,23,6
2022041016,0.003,0.2,0.060,0.010,22,7
2022041017,0.003,0.2,0.058,0.009,23,9
2022041018,0.003,0.2,0.061,0.007,29,17
2022041019,0.003,0.2,0.058,0.008,28,11
2022041020,0.003,0.2,0.059,0.006,32,15
2022041021,0.003,0.3,0.057,0.006,32,17
2022041022,0.003,0.3,0.047,0.010,30,13
2022041023,0.003,0.2,0.049,0.008,30,15
2022041024,0.003,0.3,0.046,0.011,30,15
2022041101,0.003,0.3,0.040,0.014,30,17
2022041102,0.004,0.3,0.022,0.030,30,10
2022041103,0.004,0.3,0.027,0.024,38,18
2022041104,0.003,0.3,0.030,0.018,35,18
2022041105,0.003,0.3,0.018,0.027,29,12
2022041106,0.004,0.3,0.018,0.031,29,19
2022041107,0.004,0.2,0.027,0.022,37,14
2022041108,0.004,0.3,0.027,0.023,30,9
2022041109,0.004,0.3,0.025,0.026,34,12
2022041110,0.005,0.2,0.046,0.006,34,14
2022041111,0.005,0.2,0.048,0.006,25,11
2022041112,0.005,0.2,0.044,0.011,31,14
2022041113,,,,,29,12
2022041114,,,,,29,15
2022041115,0.004,0.2,0.018,0.035,30,13
2022041116,0.004,0.3,0.029,0.023,30,13
2022041117,0.004,0.2,0.031,0.021,30,13
2022041118,0.004,0.2,0.033,0.020,29,15
2022041119,0.003,0.2,0.036,0.016,28,15
2022041120,0.003,0.2,0.036,0.013,29,11
2022041121,0.003,0.2,0.033,0.013,32,11
2022041122,0.003,0.2,0.028,0.016,28,12
2022041123,0.003,0.2,0.025,0.016,29,12
2022041124,0.003,0.2,0.025,0.015,24,10
2022041201,0.003,0.3,0.009,0.031,19,10
2022041202,0.003,0.3,0.008,0.030,25,11
2022041203,0.003,0.2,0.009,0.028,24,10
2022041204,0.003,0.2,0.007,0.029,20,9
2022041205,0.003,0.2,0.015,0.020,8,7
2022041206,0.003,0.2,0.014,0.019,10,4
2022041207,0.003,0.2,0.013,0.020,12,12
2022041208,0.003,0.2,0.007,0.028,12,8
2022041209,0.003,0.2,0.012,0.022,8,5
2022041210,0.003,0.2,0.014,0.020,8,5
2022041211,0.003,0.2,0.022,0.013,5,5
2022041212,0.003,0.2,0.021,0.016,5,2
2022041213,0.003,0.2,0.021,0.016,5,2
2022041214,0.003,0.2,0.021,0.016,8,4
2022041215,0.003,0.2,0.021,0.017,10,3
2022041216,0.003,0.2,0.027,0.013,13,6
2022041217,0.003,0.2,0.029,0.014,14,6
2022041218,0.003,0.2,0.036,0.009,17,7
2022041219,0.003,0.2,0.033,0.011,10,5
2022041220,0.003,0.2,0.030,0.011,12,2
2022041221,0.003,0.2,0.027,0.013,7,2
2022041222,0.002,0.2,0.023,0.014,4,2
2022041223,0.003,0.2,0.023,0.013,5,2
2022041224,0.003,0.2,0.018,0.018,7,2
2022041301,0.003,0.2,0.032,0.009,13,3
2022041302,0.003,0.3,0.052,0.003,18,4
2022041303,0.003,0.3,0.053,0.004,37,9
2022041304,0.003,0.3,0.053,0.004,35,13
2022041305,0.003,0.3,0.051,0.005,37,14
2022041306,0.003,0.3,0.051,0.004,34,15
2022041307,0.003,0.3,0.049,0.005,37,13
2022041308,0.003,0.3,0.045,0.005,35,12
2022041309,0.003,0.3,0.041,0.007,23,9
2022041310,0.003,0.3,0.040,0.008,22,6
2022041311,0.003,0.3,0.038,0.008,14,4
2022041312,0.003,0.3,0.041,0.007,12,2
2022041313,0.003,0.2,0.045,0.006,24,3
2022041314,0.003,0.2,0.048,0.005,18,10
2022041315,0.003,0.2,0.048,0.005,15,5
2022041316,0.004,0.3,0.044,0.008,18,4
2022041317,0.003,0.3,0.043,0.007,23,8
2022041318,0.003,0.3,0.040,0.007,10,8
2022041319,0.003,0.3,0.039,0.006,10,5
2022041320,0.003,0.3,0.039,0.006,8,2
2022041321,0.003,0.2,0.044,0.003,10,2
2022041322,0.003,0.2,0.044,0.003,12,2
2022041323,0.003,0.2,0.046,0.003,18,4
2022041324,0.003,0.2,0.045,0.004,13,5
2022041401,0.003,0.3,0.042,0.005,17,5
2022041402,0.003,0.3,0.042,0.005,19,4
2022041403,0.003,0.2,0.043,0.004,18,4
2022041404,0.003,0.2,0.043,0.004,9,5
2022041405,0.003,0.2,0.043,0.004,14,5
2022041406,0.003,0.2,0.044,0.003,15,5
2022041407,0.003,0.2,0.044,0.003,12,3
2022041408,0.003,0.2,0.042,0.004,17,2
2022041409,0.003,0.3,0.039,0.007,10,2
2022041410,0.003,0.3,0.037,0.008,12,3
2022041411,0.003,0.2,0.038,0.007,7,3
2022041412,0.003,0.3,0.038,0.007,5,2
2022041413,0.003,0.2,0.039,0.006,7,3
2022041414,0.003,0.2,0.041,0.005,5,3
2022041415,0.003,0.2,0.041,0.005,8,2
2022041416,0.003,0.2,0.042,0.005,5,2
2022041417,0.003,0.2,0.042,0.005,4,2
2022041418,0.003,0.2,0.041,0.006,3,2
2022041419,0.003,0.2,0.044,0.004,5,3
2022041420,0.003,0.2,0.043,0.005,8,2
2022041421,0.003,0.2,0.044,0.005,10,3
2022041422,0.003,0.2,0.045,0.005,17,7
2022041423,0.003,0.2,0.047,0.004,10,6
2022041424,0.003,0.2,0.047,0.004,19,4
2022041501,0.003,0.2,0.047,0.004,15,5
2022041502,0.003,0.2,0.045,0.004,17,5
2022041503,0.003,0.2,0.043,0.006,19,6
2022041504,0.003,0.2,0.043,0.006,22,6
2022041505,0.003,0.2,0.045,0.005,19,5
2022041506,0.003,0.2,0.045,0.005,15,4
2022041507,0.003,0.2,0.043,0.006,23,4
2022041508,0.003,0.2,0.044,0.005,24,7
2022041509,0.003,0.2,0.046,0.006,19,7
2022041510,0.003,0.2,0.048,0.005,18,7
2022041511,0.005,0.2,0.051,0.006,20,7
2022041512,0.007,0.2,0.056,0.004,20,6
2022041513,0.005,0.2,0.054,0.003,25,7
2022041514,0.003,0.2,0.055,0.003,23,6
2022041515,0.003,0.2,0.054,0.003,24,6
2022041516,0.003,0.2,0.054,0.003,19,6
2022041517,0.003,0.2,0.055,0.003,24,10
2022041518,0.003,0.2,0.056,0.002,24,7
2022041519,0.003,0.2,0.054,0.002,22,5
2022041520,0.004,0.2,0.052,0.004,24,5
2022041521,0.006,0.2,0.047,0.007,22,7
2022041522,0.003,0.2,0.050,0.005,20,7
2022041523,0.003,0.2,0.051,0.004,15,7
2022041524,0.003,0.2,0.050,0.005,14,5
2022041601,0.003,0.2,0.049,0.006,18,6
2022041602,0.003,0.2,0.047,0.006,11,5
2022041603,0.003,0.3,0.048,0.006,11,7
2022041604,0.003,0.2,0.049,0.005,9,7
2022041605,0.003,0.2,0.049,0.005,11,4
2022041606,0.003,0.2,0.049,0.005,15,3
2022041607,0.003,0.3,0.048,0.007,9,3
2022041608,0.003,0.2,0.045,0.009,13,4
2022041609,0.003,0.2,0.046,0.009,13,4
2022041610,0.004,0.3,0.051,0.006,17,5
2022041611,0.004,0.2,0.054,0.005,17,6
2022041612,0.003,0.2,0.055,0.004,17,7
2022041613,0.003,0.2,0.057,0.004,13,6
2022041614,0.003,0.2,0.059,0.004,18,5
2022041615,0.003,0.2,0.061,0.004,17,4
2022041616,0.003,0.2,0.062,0.004,20,5
2022041617,0.003,0.2,0.061,,13,5
2022041618,0.003,0.2,0.059,,17,5
2022041619,0.003,0.2,0.056,0.003,18,5
2022041620,0.003,0.2,0.056,0.004,17,5
2022041621,0.003,0.2,0.055,0.007,18,7
2022041622,0.003,0.2,0.058,0.006,25,7
2022041623,0.003,0.2,0.060,0.007,18,7
2022041624,0.003,0.2,0.053,0.010,19,7
2022041701,0.003,0.2,0.047,0.016,18,9
2022041702,0.003,0.3,0.044,0.019,23,7
2022041703,0.003,0.3,0.040,0.019,18,8
2022041704,0.003,0.3,0.037,0.021,19,9
2022041705,0.003,0.3,0.034,0.024,25,12
2022041706,0.003,0.3,0.032,0.024,25,9
2022041707,0.004,0.3,0.026,0.031,28,11
2022041708,0.004,0.3,0.027,0.028,29,
2022041709,0.004,0.3,0.025,0.031,35,14
2022041710,0.004,0.3,0.044,0.019,37,13
2022041711,0.003,0.3,0.055,0.009,34,10
2022041712,0.003,0.3,0.048,0.018,25,10
2022041713,0.003,0.3,0.050,0.022,28,9
2022041714,0.003,0.3,0.055,0.020,29,8
2022041715,0.003,0.3,0.060,0.018,29,8
2022041716,0.003,0.3,0.062,0.019,30,10
2022041717,0.003,0.3,0.076,0.015,22,10
2022041718,0.003,0.3,0.076,0.012,27,10
2022041719,0.003,0.3,0.067,0.012,29,8
2022041720,0.003,0.3,0.070,0.012,27,7
2022041721,0.003,0.3,0.061,0.018,28,8
2022041722,0.003,0.3,0.059,0.017,29,9
2022041723,0.003,0.3,0.049,0.021,28,10
